country,iso_alpha3,year,internet daily,did online course,internet at least once/week
Slovakia,SVK,2014,62,,76
Slovenia,SVN,2014,58,,68
Spain,ESP,2014,60,,71
Sweden,SWE,2014,83,,91
Switzerland,CHE,2014,76,,86
Turkey,TUR,2014,35,,45
United Kingdom,GBR,2014,81,,89
Austria,AUT,2015,68,4,81
Belgium,BEL,2015,73,6,83
Bosnia and Herzegovina,BIH,2015,,,
Bulgaria,BGR,2015,46,3,55
Croatia,HRV,2015,60,3,66
Cyprus,CYP,2015,63,3,70
Czechia,CZE,2015,63,3,77
Denmark,DNK,2015,87,7,93
Estonia,EST,2015,77,9,86
Finland,FIN,2015,84,13,90
France,FRA,2015,68,5,81
Germany,DEU,2015,75,4,84
Greece,GRC,2015,55,5,63
Hungary,HUN,2015,63,3,72
Iceland,ISL,2015,,,
Ireland,IRL,2015,67,4,78
Italy,ITA,2015,62,4,63
Kosovo,XKX,2015,,,
Latvia,LVA,2015,66,4,75
Lithuania,LTU,2015,56,5,69
Luxembourg,LUX,2015,92,10,97
Malta,MLT,2015,70,5,75
Montenegro,MNE,2015,,,
Netherlands,NLD,2015,85,8,91
North Macedonia,MKD,2015,60,6,69
Norway,NOR,2015,89,10,96
Poland,POL,2015,52,3,65
Portugal,PRT,2015,55,4,65
Romania,ROU,2015,37,4,52
Serbia,SRB,2015,55,3,62
Slovakia,SVK,2015,60,3,74
Slovenia,SVN,2015,61,3,71
Spain,ESP,2015,64,11,75
Sweden,SWE,2015,82,7,89
Switzerland,CHE,2015,,,
Turkey,TUR,2015,40,2,48
United Kingdom,GBR,2015,83,11,90
Austria,AUT,2016,72,4,82
Belgium,BEL,2016,74,9,84
Bosnia and Herzegovina,BIH,2016,,,
Bulgaria,BGR,2016,49,2,58
Croatia,HRV,2016,63,5,71
Cyprus,CYP,2016,69,3,74
Czechia,CZE,2016,65,3,79
Denmark,DNK,2016,89,,94
Estonia,EST,2016,77,8,85
Finland,FIN,2016,85,14,91
France,FRA,2016,70,5,82
Germany,DEU,2016,78,5,87
Greece,GRC,2016,57,5,66
Hungary,HUN,2016,71,4,78
Iceland,ISL,2016,,,
Ireland,IRL,2016,70,5,79
Italy,ITA,2016,66,5,67
Kosovo,XKX,2016,,,
Latvia,LVA,2016,68,4,77
Lithuania,LTU,2016,60,7,72
Luxembourg,LUX,2016,93,9,97
Malta,MLT,2016,71,3,77
Montenegro,MNE,2016,,,
Netherlands,NLD,2016,86,9,92
North Macedonia,MKD,2016,61,5,70
Norway,NOR,2016,92,12,96
Poland,POL,2016,57,4,70
Portugal,PRT,2016,60,4,68
Romania,ROU,2016,42,3,56
Serbia,SRB,2016,,,
Slovakia,SVK,2016,68,3,78
Slovenia,SVN,2016,64,3,73
Spain,ESP,2016,67,11,76
Sweden,SWE,2016,85,8,91
Switzerland,CHE,2016,,,
Turkey,TUR,2016,49,2,55
United Kingdom,GBR,2016,88,12,93
Austria,AUT,2017,74,5,85
Belgium,BEL,2017,76,8,86
Bosnia and Herzegovina,BIH,2017,,,
Bulgaria,BGR,2017,54,2,62
Croatia,HRV,2017,58,2,65
Cyprus,CYP,2017,74,4,79
Czechia,CZE,2017,68,3,81
Denmark,DNK,2017,91,9,95
Estonia,EST,2017,79,11,86
Finland,FIN,2017,87,16,92
France,FRA,2017,70,6,83
Germany,DEU,2017,79,6,87
Greece,GRC,2017,59,5,67
Hungary,HUN,2017,69,4,76
Iceland,ISL,2017,96,20,98
Ireland,IRL,2017,70,4,79
Italy,ITA,2017,68,5,69
Kosovo,XKX,2017,76,3,82
Latvia,LVA,2017,70,4,78
Lithuania,LTU,2017,64,7,75
Luxembourg,LUX,2017,91,9,96
Malta,MLT,2017,76,6,80
Montenegro,MNE,2017,62,6,69
Netherlands,NLD,2017,90,10,94
North Macedonia,MKD,2017,62,4,73
Norway,NOR,2017,92,14,96
Poland,POL,2017,61,4,73
Portugal,PRT,2017,63,5,71
Romania,ROU,2017,47,3,61
Serbia,SRB,2017,62,5,68
Slovakia,SVK,2017,69,4,79
Slovenia,SVN,2017,68,5,77
Spain,ESP,2017,69,12,80
Sweden,SWE,2017,90,18,95
Switzerland,CHE,2017,82,9,91
Turkey,TUR,2017,57,2,61
United Kingdom,GBR,2017,85,13,93
Austria,AUT,2018,76,,85
Belgium,BEL,2018,82,,87
Bosnia and Herzegovina,BIH,2018,61,,68
Bulgaria,BGR,2018,55,,64
Croatia,HRV,2018,66,,73
Cyprus,CYP,2018,77,,84
Czechia,CZE,2018,75,,84
Denmark,DNK,2018,92,,95
Estonia,EST,2018,82,,87
Finland,FIN,2018,88,,93
France,FRA,2018,75,,85
Germany,DEU,2018,84,,90
Greece,GRC,2018,61,,70
Hungary,HUN,2018,69,,75
Iceland,ISL,2018,96,,99
Ireland,IRL,2018,74,,80
Italy,ITA,2018,71,,72
Kosovo,XKX,2018,82,,86
Latvia,LVA,2018,73,,81
Lithuania,LTU,2018,68,,78
Luxembourg,LUX,2018,86,,92
Malta,MLT,2018,77,,80
Montenegro,MNE,2018,63,,70
Netherlands,NLD,2018,90,,94
North Macedonia,MKD,2018,68,,78
Norway,NOR,2018,93,,97
Poland,POL,2018,64,,75
Portugal,PRT,2018,64,,71
Romania,ROU,2018,53,,68
Serbia,SRB,2018,68,,72
Slovakia,SVK,2018,68,,78
Slovenia,SVN,2018,71,,79
Spain,ESP,2018,72,,83
Sweden,SWE,2018,88,,91
Switzerland,CHE,2018,,,
Turkey,TUR,2018,63,,69
United Kingdom,GBR,2018,91,,94
Austria,AUT,2019,80,8,86
Belgium,BEL,2019,85,9,89
Bosnia and Herzegovina,BIH,2019,65,3,69
Bulgaria,BGR,2019,60,2,67
Croatia,HRV,2019,71,5,77
Cyprus,CYP,2019,79,6,85
Czechia,CZE,2019,76,6,85
Denmark,DNK,2019,92,12,95
Estonia,EST,2019,83,14,88
Finland,FIN,2019,90,21,93
France,FRA,2019,77,8,87
Germany,DEU,2019,85,8,91
Greece,GRC,2019,65,6,74
Hungary,HUN,2019,75,6,80
Iceland,ISL,2019,97,20,98
Ireland,IRL,2019,83,13,88
Italy,ITA,2019,73,7,74
Kosovo,XKX,2019,87,4,90
Latvia,LVA,2019,75,4,84
Lithuania,LTU,2019,73,7,81
Luxembourg,LUX,2019,87,10,93
Malta,MLT,2019,82,12,85
Montenegro,MNE,2019,65,7,72
Netherlands,NLD,2019,92,13,95
North Macedonia,MKD,2019,73,6,80
Norway,NOR,2019,95,16,98
Poland,POL,2019,68,5,78
Portugal,PRT,2019,65,6,73
Romania,ROU,2019,57,3,72
Serbia,SRB,2019,72,5,76
Slovakia,SVK,2019,76,5,82
Slovenia,SVN,2019,74,5,81
Spain,ESP,2019,78,15,88
Sweden,SWE,2019,91,18,95
Switzerland,CHE,2019,89,12,95
Turkey,TUR,2019,67,2,73
United Kingdom,GBR,2019,91,19,95
