Report Type,Program,Activity,Latitude,Longitude,Activity Date,Submission Date,Start Time,End Time,Length hours,Length minutes,Journal Entry,Medical Consults,Nurse Practitioner Consults,Nursing/Paramedic Consults,Conversations about health education,Allied Health,Referrals (Formal and informal),Patient Conversations,Service provider conversations,Mental health,Suicide prevention/planning,Substance use,Medication education,Patients turned away,Telehealth consults that happened at Clinic,Patient Feedback Received ,Service Provider Feedback Received ,Complete debrief,Complete all progress notes,Enter all doctor and nurse practitioner appointments,Wipe down clinic area,Shift Safety
Default,Fraser Coast ,Hervey Bay Neighbourhood/ Community Centre ,-25.2818438,152.8350298,12/9/2020,12/9/2020,4:00 PM,6:00 PM,2:00,120,,1,0,2,4,0,0,16,10,2,0,0,0,0,2,N/A,N/A,Yes,Yes,Yes,Yes,5
Default,Fraser Coast ,Hervey Bay Neighbourhood/ Community Centre ,-25.2818438,152.8350298,12/16/2020,12/16/2020,4:00 PM,5:30 PM,1:30,90,A great day for networking! ,0,0,0,4,0,0,26,5,0,0,0,0,0,0,Patient who could not wait for Dr Nova last week advised she would not be back. ,,Yes,Yes,Yes,Yes,5
Default,Fraser Coast ,Hervey Bay Neighbourhood/ Community Centre ,-25.2818438,152.8350298,12/23/2020,12/23/2020,4:00 PM,5:22 PM,1:22,82,,0,0,0,5,0,1,15,5,1,1,1,0,0,0,N/A,,Yes,Yes,Yes,Yes,5
Default,Fraser Coast ,Hervey Bay Neighbourhood/ Community Centre ,-25.2818438,152.8350298,2/10/2021,2/10/2021,4:00 PM,6:00 PM,2:00,120,,0,0,0,3,0,1,11,6,2,1,1,0,0,0,N/A,N/A,Yes,Yes,Yes,Yes,5
Default,Fraser Coast ,Hervey Bay Neighbourhood/ Community Centre ,-25.2818438,152.8350298,2/24/2021,2/24/2021,4:15 PM,5:32 PM,1:17,77,,0,0,0,1,0,0,12,4,1,0,0,0,0,0,N/A,,Yes,Yes,Yes,Yes,4
Default,Fraser Coast ,Hervey Bay Neighbourhood/ Community Centre ,-25.2818438,152.8350298,3/3/2021,3/3/2021,4:00 PM,5:30 PM,1:30,90,,0,0,0,2,0,0,9,5,0,0,0,0,0,0,N/A,,Yes,Yes,Yes,Yes,5
Default,Fraser Coast ,Hervey Bay Neighbourhood/ Community Centre ,-25.2818438,152.8350298,3/10/2021,3/10/2021,4:00 PM,5:29 PM,1:29,89,Lynda away until 10/4/2021,0,0,0,2,0,0,5,3,0,0,0,0,0,0,N/A,"Thankful we are here. Sorry that consumers are coming before we start. From 1/4/2021 changing the way they run the meals. Strict with times 4pm-6pm. Police, Centrelink and other agencies will be here as Job seeker finishes so will be linking new people. ",Yes,Yes,Yes,Yes,5
Default,Fraser Coast ,Hervey Bay Neighbourhood/ Community Centre ,-25.2818438,152.8350298,3/17/2021,3/17/2021,4:00 PM,5:30 PM,1:30,90,,0,0,0,2,0,0,7,5,1,0,0,0,0,0,Nil,Nil,Yes,Yes,Yes,Yes,4
Default,Fraser Coast ,Hervey Bay Neighbourhood/ Community Centre ,-25.2818438,152.8350298,3/24/2021,3/25/2021,4:00 PM,6:00 PM,2:00,120,NO staff to cover shift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,5
Default,Fraser Coast ,Hervey Bay Neighbourhood/ Community Centre ,-25.2818438,152.8350298,4/14/2021,4/19/2021,4:00 PM,5:30 PM,1:30,90,Dr. Chris and his nurse present.,0,0,0,24,0,0,24,15,0,0,0,0,0,0,0,0,Yes,No,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,8/13/2019,8/14/2019,4:30 PM,7:00 PM,2:30,150,"new with Queenie out back next to OS worked well
need to teach team about F8 messaging",10,0,5,0,0,2,4,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,4
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,8/20/2019,8/20/2019,4:30 PM,7:27 PM,2:57,177,Patients frustrated with weight times and people jumping queue. May need to organize ticket system to allow fairness. ,10,0,11,0,0,0,15,0,0,0,0,0,0,0,,,No,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,8/22/2019,8/22/2019,4:30 PM,6:24 PM,1:54,114,"Stock needed - dressing trays, blueys, glucometer, saline . ",0,0,11,0,0,0,2,0,0,0,0,0,0,0,,,Yes,Yes,No,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,8/27/2019,8/27/2019,4:29 PM,6:30 PM,2:01,121,List for GP to complete,0,0,12,0,0,0,6,0,0,0,0,0,0,0,,,Yes,Yes,No,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,8/29/2019,8/29/2019,4:24 PM,6:25 PM,2:01,121,Quiet clinic tonight. Nurses kit needs dressing packs ,0,0,4,0,0,0,4,0,0,0,0,0,0,0,,,Yes,Yes,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,9/3/2019,9/3/2019,4:24 PM,6:27 PM,2:03,123,"Client upset about Nova not being here.
Podiatrist commenced tonight for MNC",0,0,5,0,0,0,6,0,0,0,0,0,0,0,,,Yes,Yes,No,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,9/5/2019,9/5/2019,4:25 PM,6:25 PM,2:00,120,,0,0,3,0,0,1,24,0,0,0,0,0,0,0,,,Yes,No,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,9/10/2019,9/10/2019,4:30 PM,6:30 PM,2:00,120,,0,2,6,0,0,5,19,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,9/12/2019,9/12/2019,4:30 PM,6:44 PM,2:14,134,"3 new patients tonight. IT issues, Noytech notified, one laptop sorted. Problems connecting to WiFi using new Telstra dongle, staff using their phones for hotspot ",0,2,4,0,0,2,18,0,0,0,0,0,0,0,,,Yes,Yes,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,9/17/2019,9/17/2019,4:03 PM,6:44 PM,2:41,161,Kit needs gauze squares & thanks to Nat laptops up & running. T shirt for Andrea L,0,0,6,0,0,4,29,0,0,0,0,0,0,0,,,Yes,No,No,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,9/19/2019,10/7/2019,4:30 PM,6:30 PM,2:00,120,,0,0,4,0,0,5,19,0,0,0,0,0,0,0,,,Yes,Yes,No,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,9/24/2019,9/24/2019,4:31 PM,6:31 PM,2:00,120,,4,2,2,0,0,3,11,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,9/26/2019,9/26/2019,4:30 PM,6:30 PM,2:00,120,Nursing kit needs some more gauze restocked please,0,1,2,0,0,0,16,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,10/1/2019,10/1/2019,4:30 PM,6:30 PM,2:00,120,Patient admission forms required ,0,3,2,0,0,0,5,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,10/3/2019,10/3/2019,4:30 PM,6:30 PM,2:00,120,Maybe need some cleanup wipes for end of shift ??? ,2,5,1,0,0,4,33,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,10/10/2019,10/10/2019,4:28 PM,6:33 PM,2:05,125,,3,3,3,0,0,2,14,0,0,0,0,0,0,0,,,Yes,Yes,No,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,10/15/2019,10/15/2019,4:30 PM,6:30 PM,2:00,120,,0,2,9,0,0,0,10,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,10/17/2019,10/17/2019,4:30 PM,6:32 PM,2:02,122,Glucometer not available ,0,1,1,0,0,0,11,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,10/22/2019,10/22/2019,4:30 PM,6:30 PM,2:00,120,,0,3,6,0,0,2,9,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,10/24/2019,10/24/2019,4:30 PM,6:58 PM,2:28,148,Great clinic! New Dr loved it! Printer issue ,3,3,5,0,0,8,31,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,10/29/2019,10/29/2019,4:30 PM,6:30 PM,2:00,120,"Can we please have gauze, dressing packs and interpose when possible.
Sharon requests QML forms please. ",0,2,3,0,0,3,5,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,10/31/2019,10/31/2019,4:30 PM,6:30 PM,2:00,120,Halloween night seemed quieter than usual,0,1,1,0,0,0,8,1,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,11/5/2019,11/7/2019,4:30 PM,6:30 PM,2:00,120,Lou to follow up Di re patient concerns ,0,0,5,0,0,2,5,0,0,1,1,2,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,11/7/2019,11/8/2019,4:30 PM,6:30 PM,2:00,120,Ask Di to follow up patient tomorrow ,0,4,5,0,0,3,5,0,2,1,1,2,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,11/11/2019,1/22/2020,10:00 AM,1:00 PM,3:00,180,,15,10,0,0,0,0,18,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,11/12/2019,11/12/2019,4:30 PM,6:30 PM,2:00,120,,0,2,2,0,0,2,9,1,0,1,0,2,0,0,,,Yes,Yes,No,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,11/14/2019,11/14/2019,4:30 PM,6:30 PM,2:00,120,,0,1,2,0,0,3,8,0,3,1,0,1,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,11/19/2019,11/19/2019,4:30 PM,6:30 PM,2:00,120,Quiet clinic tonight ,0,1,1,0,0,2,7,1,1,0,1,1,0,0,,,Yes,Yes,No,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,11/21/2019,11/21/2019,4:30 PM,6:30 PM,2:00,120,,0,3,3,0,0,1,3,1,0,0,3,1,0,0,,,Yes,Yes,Yes,Yes,0
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,11/26/2019,11/26/2019,4:30 PM,6:30 PM,2:00,120,,0,0,3,0,0,3,6,2,1,1,1,0,0,0,,,Yes,Yes,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,11/28/2019,11/28/2019,4:30 PM,6:33 PM,2:03,123,Need gauze squares and dressing trays ,0,1,6,0,0,4,8,1,3,0,0,3,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,12/3/2019,12/3/2019,4:30 PM,6:30 PM,2:00,120,Low stock of sterile gauze,0,0,1,0,0,1,4,0,0,0,1,2,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,12/5/2019,12/9/2019,4:29 AM,6:35 AM,2:06,126,,0,0,2,0,0,0,4,0,0,0,2,0,0,0,,,Yes,Yes,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,12/10/2019,12/11/2019,4:30 PM,6:30 PM,2:00,120,,0,0,4,0,0,3,27,0,1,0,2,0,0,0,,,Yes,Yes,No,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,12/12/2019,12/12/2019,4:00 PM,6:28 PM,2:28,148,"Talking with people outside helps some people feel more comfortable talking about their health with nurses. 8 people had conversations with Tess outside, and 2 of them were referred to their session_reportss. Interesting enough, the one person in particular, session_reportst want me to open a file for her. The other referral was a couple who classify themselves as drifters, and also session_reportst want a file opened for the female. They will be at clinic next Tuesday - I will attend clinic next Tuesday, to follow up with the 2 people who were referred to their session_reportss.",0,0,2,0,0,2,12,0,3,0,0,0,0,0,,,Yes,Yes,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,12/17/2019,12/17/2019,4:36 PM,6:40 PM,2:04,124,Merry Christmas ,0,0,6,0,0,4,15,3,4,0,0,0,0,0,,,Yes,Yes,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,1/21/2020,1/21/2020,4:30 PM,6:10 PM,1:40,100,,0,0,1,0,0,2,2,1,1,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,1/23/2020,1/23/2020,4:30 PM,7:03 PM,2:33,153,Notes not done - software issue will complete 24/01,0,0,0,2,0,2,10,0,1,0,0,0,0,0,,,Yes,No,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,1/28/2020,1/28/2020,4:30 PM,6:31 PM,2:01,121,,0,0,2,1,0,2,5,1,2,0,0,0,0,0,,,Yes,Yes,No,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,1/30/2020,1/30/2020,4:15 PM,6:48 PM,2:33,153,"Very busy clinic as I was the only nurse on and had a Buddy shift . Notes not completed, but will do so on Monday. session_reportst call for help, too busy. In saying all of this, all went well. My buddy   Left before we could debrief because a patient with mental health issues needed to speak with me. Tash did say that she will be back, but I will contact her when I get home ",3,0,0,1,0,2,10,0,4,2,0,0,0,0,,,No,No,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,2/4/2020,2/4/2020,4:30 PM,6:44 PM,2:14,134,No time to do notes will do tomorrow ,0,0,7,11,0,5,11,0,2,1,0,0,0,0,,,Yes,No,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,2/6/2020,2/6/2020,4:31 PM,6:49 PM,2:18,138,"Busy clinic tonight. 2nd buddy shift for two new vollies.
Consider having Mental Health after hours contact details for easy access.
Need to replace glucometer ",0,0,7,2,0,2,15,2,2,1,1,2,0,0,,,Yes,Yes,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,2/11/2020,2/11/2020,4:00 PM,6:30 PM,2:30,150,,0,0,7,10,1,4,16,0,3,1,0,1,0,0,,,Yes,Yes,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,2/13/2020,2/13/2020,4:30 AM,7:00 PM,14:30,870,Could we seek out printer options and prescription forms (GP) ,2,0,6,6,0,5,9,0,6,0,1,2,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,2/18/2020,2/18/2020,4:20 PM,6:44 PM,2:24,144,,0,0,4,1,0,3,8,0,0,0,0,1,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,2/20/2020,2/20/2020,4:00 PM,6:50 PM,2:50,170,,0,0,8,10,2,8,16,0,8,2,1,2,0,0,,,Yes,Yes,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,2/25/2020,2/25/2020,4:29 PM,6:31 PM,2:02,122,,0,0,2,1,0,0,9,0,1,0,0,1,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,2/27/2020,2/27/2020,4:00 PM,6:50 PM,2:50,170,,0,0,6,6,2,6,19,0,5,0,0,1,0,0,,,Yes,Yes,No,No,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,3/3/2020,3/3/2020,4:30 PM,6:30 PM,2:00,120,,0,0,4,4,4,4,14,0,0,0,0,0,0,0,,,Yes,Yes,Yes,Yes,5
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,3/5/2020,3/5/2020,4:00 PM,7:15 PM,3:15,195,"Hectic clinic!! Not happy about turning patients away, but we were just too busy, and Bec and I left well after 7pm!! I am concerned that we have been leaving clinic late - not fair on all the volunteers, and Tuela.",5,0,4,10,3,4,19,0,2,0,2,3,3,0,,,Yes,Yes,Yes,No,4
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,3/10/2020,3/18/2020,4:00 PM,7:15 PM,3:15,195,MNC busy - Buddy shift with Peter. We need a doctor at MNC,0,0,7,4,0,4,13,2,4,0,0,3,0,0,,,Yes,Yes,No,No,4
Default,Sunshine Coast,Maroochy Neighbourhood Centre,-26.6569507,153.0987594,3/12/2020,3/18/2020,4:00 PM,6:45 PM,2:45,165,Great to meet and work with Rob - he was excellent with a mental health patient and reinforced what I have been saying to this patient for the past 2 months. Clinic busy.,0,3,4,4,0,3,11,2,2,0,0,3,0,0,,,Yes,Yes,No,No,4
