YEAR,STATE,Cesarean Delivery Rate,"Drug Overdose Mortality per 100,000",Percent of Babies Born to Unmarried Mothers,"Suicide Mortality per 100,000","Teen Births per 1,000"
2016,OH,30.8,39.1,43,14.2,21.8
2016,OK,32,21.5,42.3,21,33.4
2016,OR,27.2,11.9,35.8,17.8,16.6
2016,PA,29.8,37.9,40.7,14.7,15.8
2016,RI,31.2,30.8,44.9,11.2,12.9
2016,SC,33.5,18.1,45.3,15.7,23.7
2016,SD,25.3,8.4,36.9,20.2,25.1
2016,TN,32.5,24.5,43.6,16.3,28
2016,TX,34.4,10.1,41.3,12.6,31
2016,UT,22.3,22.4,18.6,21.8,15.6
2016,VT,25.7,22.2,39.4,17.3,10.3
2016,VA,33,16.7,34,13.2,15.5
2016,WA,27.4,14.5,31.7,14.9,16.6
2016,WV,34.9,52,45,19.3,29.3
2016,WI,26,19.3,37.2,14.7,15
2016,WY,27.4,17.6,32.8,25.2,26.1
2017,AL,35.1,18,47.1,16.6,27
2017,AK,22.5,20.2,35.3,27,22
2017,AZ,26.9,22.2,44.8,18.2,22
2017,AR,33.5,15.5,45.5,20.8,32.8
2017,CA,31.4,11.7,37.5,10.5,15.1
2017,CO,26.5,17.6,22.5,20.3,16.1
2017,CT,34.8,30.9,36.6,10.5,8.8
2017,DE,31.8,37,47.6,11.6,18.5
2017,FL,37.2,25.1,47,14,18.2
2017,GA,34.2,14.7,44.9,13.6,21.9
2017,HI,25.9,13.8,38.6,15.2,19.1
2017,ID,23.7,14.4,28.1,23.2,18.6
2017,IL,31.1,21.6,39.8,11.2,17.4
2017,IN,29.7,29.4,42.8,16.3,22.8
2017,IA,29.7,11.5,35.4,15,16
2017,KS,30,11.8,35.7,19.1,21.3
2017,KY,35.2,37.2,41.6,16.9,29
2017,LA,37.5,24.5,52.7,15.2,29.1
2017,ME,29.9,34.4,39,18.9,13.1
2017,MD,33.9,36.3,39.6,9.8,14.2
2017,MA,31.6,31.8,33,9.5,8.1
2017,MI,31.9,27.8,41.1,14.1,16.4
2017,MN,27.4,13.3,32,13.8,12.1
2017,MS,37.8,12.2,53.5,15,31
2017,MO,30.1,23.4,39.9,18.5,22.5
2017,MT,28.5,11.7,35.9,28.9,21.2
2017,NE,30.4,8.1,33.2,14.7,18.1
2017,NV,34.1,21.6,48.4,20.3,21.9
2017,NH,31,37,32.6,18.9,8.4
2017,NJ,35.9,30,33.9,8.3,10.3
2017,NM,24.7,24.8,51.7,23.3,27.9
2017,NY,34.1,19.4,38,8.1,12.5
2017,NC,29.4,24.1,40.9,14.3,20.6
2017,ND,28.3,9.2,31.5,20.1,16.2
2017,OH,30.3,46.3,43.2,14.8,20.8
2017,OK,32.2,20.1,42,19.1,29.7
2017,OR,28.1,12.4,36.2,19,15
2017,PA,30.5,44.3,41,15,14.8
2017,RI,31.5,31,43.9,11.8,11.4
2017,SC,33.5,20.5,46.1,16.3,21.7
2017,SD,24.5,8.5,37.2,22.5,22.6
2017,TN,32.4,26.6,43.6,16.8,26.6
2017,TX,35,10.5,41,13.4,27.6
2017,UT,22.8,22.3,18.5,22.7,15.2
2017,VT,25.7,23.2,40.1,18.3,10.1
2017,VA,32.6,17.9,34.6,13.4,15
2017,WA,27.7,15.2,31.6,16.9,14.8
2017,WV,35.2,57.8,45.6,21.1,27.1
2017,WI,26.4,21.2,37.7,15.4,13.8
2017,WY,26.4,12.2,33.5,26.9,24.6
2018,AL,34.7,16.6,46.8,16.5,25.2
2018,AK,22.4,14.6,35.3,24.6,19.3
2018,AZ,27.5,23.8,44.9,19.2,20.1
2018,AR,34.8,15.7,45.4,18.3,30.4
2018,CA,30.9,12.8,37.1,10.9,13.6
2018,CO,26.1,16.8,23.2,21.9,14.3
2018,CT,34.8,30.7,37.1,10.6,8.3
2018,DE,31.3,43.8,47,11.4,16.7
2018,FL,36.8,22.8,46.4,15.2,16.7
2018,GA,34,13.2,45.1,14.6,20.6
2018,HI,26.9,14.3,38.1,11.9,17.2
2018,ID,24,14.6,27,23.9,16
2018,IL,31.2,21.3,39.3,11.3,15.8
2018,IN,29.8,25.6,43.2,16,21.8
2018,IA,29.8,9.6,34.9,15.5,15.3
2018,KS,29.7,12.4,36.4,19.3,20
2018,KY,34.3,30.9,41.9,17.5,27.3
2018,LA,37,25.4,53.3,15.1,27.5
2018,ME,30.4,27.9,38.8,18.5,11.1
2018,MD,33.9,37.2,39.2,10.2,14.1
2018,MA,31.5,32.8,32.5,9.9,7.2
2018,MI,32.1,26.6,40.8,15,15.8
2018,MN,27,11.5,31.9,13.1,10.2
2018,MS,38.3,10.8,54.1,13.8,27.8
2018,MO,30,27.5,40.3,19.5,21.6
2018,MT,28.1,12.2,34.9,24.9,17.2
2018,NE,29.9,7.4,32.5,13.4,16.7
2018,NV,33.8,21.2,48.3,20.8,20.5
2018,NH,31.6,35.8,32.9,19.4,8
2018,NJ,34.9,33.1,33.8,8.3,10.3
2018,NM,25.3,26.7,51.2,25,25.3
2018,NY,33.9,18.4,37.5,8.3,11.7
2018,NC,29.4,22.4,40.9,13.7,18.7
2018,ND,26.5,10.2,31.9,19.2,16.4
2018,OH,30.8,35.9,43.2,15.3,18.9
2018,OK,32.8,18.4,42.2,20,27.2
2018,OR,28,12.6,36.3,19,13.3
2018,PA,30.1,36.1,40.8,14.9,14.1
2018,RI,32.2,30.1,43.6,9.5,11.5
2018,SC,33.5,22.6,46.2,15.4,22
2018,SD,24.6,6.9,36.1,19.3,20.4
2018,TN,32.4,27.5,43.5,16.6,25.3
2018,TX,35,10.4,40.8,13.7,25.3
2018,UT,22.7,21.2,19.2,22.2,13.1
2018,VT,25.9,26.6,38.5,18.8,8.8
2018,VA,32.4,17.1,34.7,14,14.3
2018,WA,27.9,14.8,31.1,15.9,12.7
2018,WV,34.1,51.5,45.7,21.2,25.4
2018,WI,26.6,19.2,37.4,14.8,13
2018,WY,27.4,11.1,33.3,25.2,20.8
2019,AL,34.6,16.3,48.3,16.3,25.6
2019,AK,21.6,17.8,36.3,28.5,18.3
2019,AZ,27.8,26.8,45.2,18.7,18.5
2019,AR,34.5,13.5,46.8,18,30
2019,CA,30.8,15,37.2,10.7,12.4
2019,CO,26.8,18,23.4,22.1,13.9
2019,CT,34.6,34.7,36.8,11.4,7.7
2019,DE,31.5,48,47.1,11.3,14.9
2019,FL,36.5,25.5,46.6,14.5,16.2
2019,GA,34.3,13.1,45.6,14.6,19.7
2019,HI,26.8,15.9,38.4,15.5,15.7
2019,ID,24,15.1,27.1,20.4,14.9
2019,IL,30.6,21.9,39.5,10.9,14.6
2019,IN,29.3,26.6,43.5,14.2,20.8
2019,IA,29.6,11.5,35.1,16.7,14.1
2019,KS,29.7,14.3,36.4,18.2,19.2
2019,KY,33.6,32.5,42.3,16.5,24.9
2019,LA,36.7,28.3,54,15,27.8
2019,ME,30.2,29.9,38.3,19.4,9.1
2019,MD,33,38.2,40.5,10.3,13.9
2019,MA,31.4,32.1,32.4,8.7,6.9
2019,MI,32,24.4,41,14.3,15.1
2019,MN,27.6,14.2,32,14.4,10.1
2019,MS,38.5,13.6,54.9,14.4,29.1
2019,MO,30.1,26.9,40.4,18.2,20.3
2019,MT,28.4,14.1,34.8,26.2,16.3
2019,NE,29.1,8.7,33.7,16.1,15.3
2019,NV,32.8,20.1,48.1,19.8,18.9
2019,NH,31.6,32,31.6,17.5,6.6
2019,NJ,33.8,31.7,33.6,8,10
2019,NM,26.4,30.2,51.5,24,24.4
2019,NY,33.2,18.2,37.5,8.3,11.4
2019,NC,29.1,22.3,41.6,12.5,18.2
2019,ND,26.5,11.4,32.1,18.1,15.6
2019,OH,31,38.3,43.6,15.1,18.8
2019,OK,32.1,16.7,43.6,20.5,27.4
2019,OR,28,14,36,20.4,12.1
2019,PA,30.2,35.6,40.9,14.1,13.3
2019,RI,32,29.5,44.4,10.7,10
2019,SC,33.2,22.7,46.7,16.2,21.6
2019,SD,24.5,10.5,36.2,20.9,19.2
2019,TN,31.8,31.2,44,17.2,23.7
2019,TX,34.8,10.8,41.4,13.4,24
2019,UT,23.1,18.9,19.2,21.2,12
2019,VT,25.8,23.8,39.8,16,7.6
2019,VA,31.9,18.3,35.1,12.8,13.6
2019,WA,27.8,15.8,31.3,15.9,12.7
2019,WV,34.6,52.8,46.7,18.5,25.2
2019,WI,26.7,21.1,37.6,14,12.5
2019,WY,26.3,14.1,33.6,29.3,19.4
2020,AL,35,22.3,48.4,16,24.8
2020,AK,22.9,22,36.5,27.5,17.7
2020,AZ,28.4,35.8,45.2,17.6,16.6
2020,AR,33.8,19.1,46.8,19,27.8
2020,CA,30.5,21.8,38.6,10,11
2020,CO,27.2,24.9,23.2,21.5,12.5
2020,CT,34.1,39.1,38.1,9.3,7.6
2020,DE,31.7,47.3,48.1,12.3,14.6
2020,FL,35.9,35,47.2,13.2,15.2
2020,GA,33.9,18,46.3,13.7,18.2
2020,HI,26.3,18.3,39.4,12.9,13
2020,ID,23.5,15.9,27.7,23.2,14.6
2020,IL,30.8,28.1,40.5,10.5,13.6
2020,IN,30.1,36.7,43.6,15,18.7
2020,IA,30.2,14.3,36.3,18,13.3
2020,KS,30.1,17.4,36.8,18.4,18.1
2020,KY,34.3,49.2,43.1,17.7,23.8
2020,LA,36.8,42.7,54.5,13.7,25.7
2020,ME,29.7,39.7,38.4,16.4,10.6
2020,MD,33.7,44.6,40.8,9.2,13.1
2020,MA,32.4,33.9,33,8.4,6.1
2020,MI,32.5,28.6,41.2,14,13.5
2020,MN,28.5,19,32.6,13.1,9.1
2020,MS,38.2,21.1,55.8,13.9,27.9
2020,MO,29.3,32.1,41.1,18.2,18.8
2020,MT,27.6,15.6,33.9,26.1,13.2
2020,NE,28.8,11.3,33.4,14.9,15.1
2020,NV,32.9,26,48.8,18.2,16.8
2020,NH,32.1,30.3,32.1,16.4,6.6
2020,NJ,33.2,32.1,33.9,7.1,9.2
2020,NM,26.1,39,53.2,24.2,21.9
2020,NY,33.6,25.4,38.1,8,10
2020,NC,29.9,30.9,41.9,13.2,17.3
2020,ND,27,15.6,32.8,18.2,13.7
2020,OH,31.3,47.2,43.6,13.8,17.6
2020,OK,32.1,19.4,44.4,21.9,25
2020,OR,28.8,18.7,36.7,18.3,10.1
2020,PA,30.6,42.4,40.9,12.6,12.6
2020,RI,33.4,38.2,44.7,8.5,9.4
2020,SC,33.5,34.9,46.6,16.3,19.3
2020,SD,24.7,10.3,36,21,18.7
2020,TN,32.1,45.6,44.6,17.2,23.3
2020,TX,34.7,14.1,41.7,13.3,22.4
2020,UT,23.1,20.5,19.3,20.8,10.8
2020,VT,26.9,32.9,38.9,18.1,7
2020,VA,32.6,26.6,35.8,13.5,13.1
2020,WA,28.5,22,31.6,15.2,11.3
2020,WV,34.2,81.4,46.8,19.4,22.5
2020,WI,26.7,27.7,37.9,14.5,11.5
2020,WY,26.4,17.4,34.1,30.5,18.1
