Barcode,File Name,Year,Period,Slaves,Slave Name,Middle Name,Surname,Alias,Gender,Age,Physical Description,Spouse's Name,Child(ren),Parent(s),Enslaver_Buyer,Enslaver's Alias,"Prior Enslaver's Name, if applicable / Trafficker",Locality,Source
1133721,_0024_0001_0001-0003,1784,1781-1800,1,Soloman,,,,Unknown,,,,,Esther,George Dunton,,Edward Revell,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133721,_0024_0001_0001-0003,1784,1781-1800,1,Newberry,,,,Unknown,,,,,Esther,George Dunton,,Edward Revell,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1159564,_0008_0001_0001-0002,1784,1781-1800,1,Jack,,,,M,21,,,,,Henry Ewin,,Thomas Harrison,Rockingham County,"Rockingham County (Va.) Free Negro and Slave Records, 1783-1861 and undated"
1133721,_0024_0003_0001-0003,1784,1781-1800,1,Nevis,,,,M,,,,,,John Gootee; Edmund Custis,,Abel Janny,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
7741628,_0001_0004_0001-0002,1784,1781-1800,1,Lucy,,,,F,,,,Sukey,,Jones Wynne,,Joshua Wynne Sr,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0004_0001-0002,1784,1781-1800,1,Sukey,,,,Unknown,,,,,Lucy,Jones Wynne,,Joshua Wynne Sr,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0003_0001-0002,1784,1781-1800,1,Isaac,,,,M,14,,,,,Joshua Wynne Jr,,Joshua Wynne Sr,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
1133678,_0001_0003_0001-0002,1785,1781-1800,1,Litty,,,,F,,,,,,Elizabeth Teackle Sr,,Severn Teackle,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0001_0003_0001-0002,1785,1781-1800,1,Esther,,,,F,,,,,,Elizabeth Teackle Sr,,Severn Teackle,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0001_0003_0001-0002,1785,1781-1800,1,Sall,,,,F,,,,,,Elizabeth Teackle Sr,,Severn Teackle,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0001_0003_0001-0002,1785,1781-1800,1,Rachel,,,,F,,,,,,Elizabeth Teackle Sr,,Severn Teackle,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0001_0003_0001-0002,1785,1781-1800,1,Able,,,,M,,,,,,Elizabeth Teackle Sr,,Severn Teackle,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0001_0003_0001-0002,1785,1781-1800,1,Duke,,,,M,,,,,,Elizabeth Teackle Sr.,,Severn Teackle,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1159564,_0008_0002_0001-0002,1785,1781-1800,1,Thom,,,,M,0,,,,Winny,Henry Ewin,,Thomas Brown,Rockingham County,"Rockingham County (Va.) Free Negro and Slave Records, 1783-1861 and undated"
1159564,_0008_0002_0001-0002,1785,1781-1800,1,John,,,,M,6,,,,Winny,Henry Ewin,,Thomas Brown,Rockingham County,"Rockingham County (Va.) Free Negro and Slave Records, 1783-1861 and undated"
1159564,_0008_0002_0001-0002,1785,1781-1800,1,Winny,,,,F,28,,,John; Thom,,Henry Ewin,,Thomas Brown,Rockingham County,"Rockingham County (Va.) Free Negro and Slave Records, 1783-1861 and undated"
1133678,_0001_0004_0001-0002,1785,1781-1800,1,James,,,,Unknown,,,,,,Severn Teackle,,Elizabeth Teackle Sr.,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0001_0004_0001-0002,1785,1781-1800,1,Isaac,,,,Unknown,,,,,,Severn Teackle,,Elizabeth Teackle Sr,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0001_0004_0001-0002,1785,1781-1800,1,Sarah,,,,Unknown,,,,,,Severn Teackle,,Elizabeth Teackle Sr,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1159564,_0008_0003_0001-0002,1785,1781-1800,1,Major,,,,M,,,,,,Thomas Scott,,James Divier,Rockingham County,"Rockingham County (Va.) Free Negro and Slave Records, 1783-1861 and undated"
1133678,_0004_0003_0001-0002,1786,1781-1800,1,Gorge,,,,M,,,,,,Custis Kellum,,George Poulson Sr.,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1147037,_0004_0004_0001-0002,1786,1781-1800,1,David,,,,Unknown,,,,,,James Robards,Roberts,Tarlton Payne,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0004_0001-0002,1786,1781-1800,1,Barnett,,,,Unknown,,,,,,James Robards,Roberts,Tarlton Payne,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0004_0001-0002,1786,1781-1800,1,Fortune,,,Fortin,Unknown,,,,,,James Robards,Roberts,Tarlton Payne,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0004_0001-0002,1786,1781-1800,1,Pegg,,,,Unknown,,,,,,James Robards,Roberts,Tarlton Payne,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0004_0001-0002,1786,1781-1800,1,Celey,,,Cilies,Unknown,,,,,,James Robards,Roberts,Tarlton Payne,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0004_0001-0002,1786,1781-1800,1,Lucy,,,,Unknown,,,,,,James Robards,Roberts,Tarlton Payne,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0004_0001-0002,1786,1781-1800,1,Isbell,,,,Unknown,,,,,,James Robards,Roberts,Tarlton Payne,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0004_0001-0002,1786,1781-1800,1,Sarry,,,,Unknown,,,,,,James Robards,Roberts,Tarlton Payne,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1133678,_0003_0003_0001-0002,1786,1781-1800,1,Joshua,,,,M,10,,,,,Mary Marshall,,Wise Marshall,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0004_0004_0001-0003,1786,1781-1800,1,Daniel,,,,M,,,,,,Thomas Snead,,John Holston,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0006_0005_0001-0002,1787,1781-1800,1,Tamer,,,,F,,,,,,Hessesy Tunnell,,Thomas Abbott,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0006_0006_0001-0002,1787,1781-1800,1,Lucy,,,,Unknown,,,,,,Jabez Pitt,,Thomas Abbott,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0006_0006_0001-0002,1787,1781-1800,1,Isaac,,,,Unknown,,,,,,Jabez Pitt,,Thomas Abbott,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
7741628,_0001_0005_0001-0002,1787,1781-1800,1,Jane,,,,Unknown,,,,,,Martha Hart,,Benjamin Roberts,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0005_0001-0002,1787,1781-1800,1,Daniel,,,,Unknown,,,,,,Martha Hart,,Benjamin Roberts,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0005_0001-0002,1787,1781-1800,1,Tenah,,,,Unknown,,,,,,Martha Hart,,Benjamin Roberts,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0005_0001-0002,1787,1781-1800,1,Lucy,,,,Unknown,,,,,,Martha Hart,,Benjamin Roberts,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0005_0001-0002,1787,1781-1800,1,Anney,,,,Unknown,,,,,,Martha Hart,,Benjamin Roberts,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
1147037,_0004_0005_0001-0002,1787,1781-1800,1,Aggey,,,,F,15,,,,,Paul Dismukes,,William Bowman,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1133678,_0005_0001_0001-0002,1787,1781-1800,1,Milley,,,,F,,,,,,Sleathel Baker,,George Smith,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1147037,_0004_0006_0001-0002,1787,1781-1800,1,Franky,,,,Unknown,1,,,,Jane,Thomas Miller,,John Lovell,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0006_0001-0002,1787,1781-1800,1,Reubin,,,,M,6,,,,,Thomas Miller,,John Lovell,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0006_0001-0002,1787,1781-1800,1,Ned,,,,M,11,,,,,Thomas Miller,,John Lovell,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0006_0001-0002,1787,1781-1800,1,Jane,,,,F,21,,,Franky,,Thomas Miller,,John Lovell,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0006_0001-0002,1787,1781-1800,1,Andrew,,,,M,23,,,,,Thomas Miller,,John Lovell,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0006_0001-0002,1787,1781-1800,1,Harry,,,,M,32,,,,,Thomas Miller,,John Lovell,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1147037,_0004_0006_0001-0002,1787,1781-1800,1,Patt,,,,F,40,,,,,Thomas Miller,,John Lovell,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1133678,_0005_0003_0001-0002,1787,1781-1800,1,Peg,,,,F,,,,Leah; unidentified,,William Taylor,,William Patterson,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0005_0003_0001-0002,1787,1781-1800,1,Peter,,,,M,,,,,,William Taylor,,William Patterson,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0005_0003_0001-0002,1787,1781-1800,1,Leah,,,,Unknown,,,,,,William Taylor,,William Patterson,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1147037,_0004_0007_0001-0002,1788,1781-1800,1,Cloe,,,,F,,,,,,Francis Harris,,Charles Thurman,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1116115,_0008_0001_0001-0002,1788,1781-1800,1,Rose,,,,F,,,,,,"John George Graves, Benjamin Graves, Frances Graves",,Beverley Graves,Caroline County,"Caroline County (Va.) Free Negro and Slave Records, 1778-1845"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Peter,,,,Unknown,,,,,,William Williams,,"Tabitha Arbuckle Executrix for James Arbuckle, deceased",Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Peter,,,,Unknown,,,,,,William Williams,,Tabitha Arbuckle Executrix for James Arbuckle deceased,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Jacob,,,,Unknown,,,,,,William Williams,,Tabitha Arbuckle Executrix for James Arbuckle deceased,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Abel,,,,Unknown,,,,,,William Williams,,Tabitha Arbuckle Executrix for James Arbuckle deceased,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Frank,,,,Unknown,,,,,,William Williams,,Tabitha Arbuckle Executrix for James Arbuckle deceased,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Mirium,,,,Unknown,,,,,,William Williams,,Tabitha Arbuckle Executrix for James Arbuckle deceased,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Betty,,,,Unknown,,,,,,William Williams,,Tabitha Arbuckle Executrix for James Arbuckle deceased,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Jacob,,,,Unknown,,,,,,William Williams,,Tabitha Arbuckle Executrix for James Arbuckle deceased,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Agniss,,,,Unknown,,,,,,William Williams,,Tabitha Arbuckle Executrix for James Arbuckle deceased,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Leah,,,,Unknown,,,,,,William Williams,,Tabitha Arbuckle Executrix for James Arbuckle deceased,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Comfort,,,,Unknown,,,,,,William Williams,,Tabitha Arbuckle Executrix for James Arbuckle deceased,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Candes,,,,Unknown,,,,,,William Williams,,Tabitha Arbuckle Executrix for James Arbuckle deceased,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Tab,,,,Unknown,,,,,,William Williams,,Tabitha Arbuckle Executrix for James Arbuckle deceased,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Esther,,,,Unknown,,,,,,William Williams,,Tabitha Arbuckle Executrix for James Arbuckle deceased,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133678,_0009_0006_0001-0002,1788,1781-1800,1,Sarah,,,,Unknown,,,,,,William Williams,,Tabitha Arbuckle Executrix for James Arbuckle deceased,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1159564,_0008_0004_0001-0002,1789,1781-1800,1,Milly,,,,F,,,,Thornton; Sofia,,Addam Sellars,,James Green Sr; James Green Jr,Rockingham County,"Rockingham County (Va.) Free Negro and Slave Records, 1783-1861 and undated"
1159564,_0008_0004_0001-0002,1789,1781-1800,1,Thornton,,,,Unknown,,,,,Milly,Addam Sellars,,James Green Sr; James Green Jr,Rockingham County,"Rockingham County (Va.) Free Negro and Slave Records, 1783-1861 and undated"
1159564,_0008_0004_0001-0002,1789,1781-1800,1,Sofia,,,,Unknown,,,,,Milly,Addam Sellars,,James Green Sr; James Green Jr,Rockingham County,"Rockingham County (Va.) Free Negro and Slave Records, 1783-1861 and undated"
1147037,_0004_0008_0001-0002,1789,1781-1800,1,Bob,,,,M,,mulatto,,,,Alexander Donald,,George Webb,Goochland County,"Goochland County (Va.) Free Negro and Slave Records, 1726-1867"
1133868,_0002_0001_0001-0002,1789,1781-1800,1,Dick,,,,Unknown,8,,,,,Elias Edmonds Jr,,Elias Edmonds,Lancaster County,"Lancaster County (Va.) Free Negro and Slave Records, 1751-1861"
1133868,_0002_0001_0001-0002,1789,1781-1800,1,Thamer,,,,F,12,,,,,Elias Edmonds Jr,,Elias Edmonds,Lancaster County,"Lancaster County (Va.) Free Negro and Slave Records, 1751-1861"
1133868,_0002_0001_0001-0002,1789,1781-1800,1,Spencer,,,,Unknown,17,,,,,Elias Edmonds Jr,,Elias Edmonds,Lancaster County,"Lancaster County (Va.) Free Negro and Slave Records, 1751-1861"
1133868,_0002_0001_0001-0002,1789,1781-1800,1,Jack,,,,Unknown,24,,,,,Elias Edmonds Jr,,Elias Edmonds,Lancaster County,"Lancaster County (Va.) Free Negro and Slave Records, 1751-1861"
1133728,_0002_0002_0001-0002,1790,1781-1800,1,Sybal,,,,F,,,,,,"Admr of Levin Pruet, deceased",Levin Prewat,Archabald Poulson,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133728,_0001_0003_0001-0002,1790,1781-1800,1,Martha,,,Black Martha,F,,,,,,Elizabeth Henry,,Peter Hark Sr.,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133728,_0002_0008_0001-0002,1790,1781-1800,1,Tabitha,,,,Unknown,,,,,Esther,Henry Fletcher Sr,,John Finney Jr,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133728,_0002_0008_0001-0002,1790,1781-1800,1,Rose,,,,Unknown,,,,,Esther,Henry Fletcher Sr,,John Finney Jr,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133728,_0002_0008_0001-0002,1790,1781-1800,1,Esther,,,,F,,,,Tabitha; Rose,,Henry Fletcher Sr.,,John Finney Jr.,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133728,_0005_0002_0001-0002,1791,1781-1800,1,Peter,,,,M,,,,,,Ann Sandford,,John Sandford,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133728,_0004_0001_0001-0002,1791,1781-1800,1,Bett,,,,F,4,,,,,Isaac West; Nathaniel West,,Bridget West,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133728,_0004_0001_0001-0002,1791,1781-1800,1,Bols,,,,F,6,,,,,Isaac West; Nathaniel West,,Bridget West,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133728,_0004_0001_0001-0002,1791,1781-1800,1,Spencer,,,,M,8,,,,,Isaac West; Nathaniel West,,Bridget West,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133728,_0004_0001_0001-0002,1791,1781-1800,1,Mathew,,,,F,,,,,,Isaac West; Nathaniel West,,Bridget West,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133728,_0004_0001_0001-0002,1791,1781-1800,1,Rebecca,,,,Unknown,,,,,,Isaac West; Nathaniel West,,Bridget West,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133728,_0005_0001_0001-0002,1791,1781-1800,1,Gye,,,,M,,,,,,John Sandford,,Anne Sandford,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
7741628,_0001_0007_0001-0002,1791,1781-1800,1,Kate,,,,F,,,,,,Robert Bradfute,,Arthur Robertson,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0007_0001-0002,1791,1781-1800,1,Dick,,,,M,,,,,,Robert Bradfute,,Arthur Robertson,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
1133728,_0003_0001_0001-0002,1791,1781-1800,1,Jenney,,,,F,12,,Roach; Roch,,,Thomas Guy,,Molly Roatch,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
7741628,_0001_0006_0001-0002,1791,1781-1800,1,Nan,,,,Unknown,,,,Sam; Jude; Sucky; James,,William Jones; Elizabeth Jones,,Admr and Coheirs of Francis Thorp; Nathan Reid; Thomas Crump; William Vannerson,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0006_0001-0002,1791,1781-1800,1,Sam,,,,Unknown,,,,,Nan,William Jones; Elizabeth Jones,,Admr and Coheirs of Francis Thorp; Nathan Reid; Thomas Crump; William Vannerson,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0006_0001-0002,1791,1781-1800,1,Jude,,,,Unknown,,,,,Nan,William Jones; Elizabeth Jones,,Admr and Coheirs of Francis Thorp; Nathan Reid; Thomas Crump; William Vannerson,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0006_0001-0002,1791,1781-1800,1,Sucky,,,,Unknown,,,,,Nan,William Jones; Elizabeth Jones,,Admr and Coheirs of Francis Thorp; Nathan Reid; Thomas Crump; William Vannerson,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0006_0001-0002,1791,1781-1800,1,James,,,,Unknown,,,,,Nan,William Jones; Elizabeth Jones,,Admr and Coheirs of Francis Thorp; Nathan Reid; Thomas Crump; William Vannerson,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0006_0001-0002,1791,1781-1800,1,Jerry,,,,Unknown,,,,,,William Jones; Elizabeth Jones,,Admr and Coheirs of Francis Thorp; Nathan Reid; Thomas Crump; William Vannerson,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0006_0001-0002,1791,1781-1800,1,Sall,,,,Unknown,,,,,,William Jones; Elizabeth Jones,,Admr and Coheirs of Francis Thorp; Nathan Reid; Thomas Crump; William Vannerson,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0008_0001-0002,1793,1781-1800,1,Juno,,,,F,,,,,,Benjamin Cox,,Thomas North,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0008_0001-0002,1793,1781-1800,1,Jude,,,,F,,,,,,Benjamin Cox,,Thomas North,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0001_0008_0001-0002,1793,1781-1800,1,Charles,,,,M,,,,,,Benjamin Cox,,Thomas North,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
1133728,_0010_0001_0001-0002,1793,1781-1800,1,Cate,,,,F,,,,Grace,,George Simpson,,Southy Simpson,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133728,_0010_0001_0001-0002,1793,1781-1800,1,Grace,,,,Unknown,,,,,Cate,George Simpson,,Southy Simpson,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
