Type,Sales per customer,Delivery Status,Category Name,Customer Segment,Customer State,Customer Zipcode,Department Name,Latitude,Longitude,Order Country,Order Customer Id,order date (DateOrders),Order Item Quantity,Sales,Order Item Total,Order Region,Order Status,Product Card Id,Product Name,Product Price,shipping date (DateOrders),Shipping Mode
DEBIT,324.4700012,Late delivery,Sporting Goods,Consumer,MI,48238,Fitness,42.39110184,-83.13121796,China,19460,1/13/2018 1:15,1,327.75,324.4700012,Eastern Asia,COMPLETE,1360,Smart watch ,327.75,1/15/2018 1:15,First Class
PAYMENT,321.2000122,Late delivery,Sporting Goods,Consumer,TX,75220,Fitness,32.86539459,-96.86858368,China,19459,1/13/2018 0:54,1,327.75,321.2000122,Eastern Asia,PENDING_PAYMENT,1360,Smart watch ,327.75,1/15/2018 0:54,First Class
CASH,314.6400146,Late delivery,Sporting Goods,Corporate,PA,17013,Fitness,40.03171921,-76.87709808,India,19457,1/13/2018 0:12,1,327.75,314.6400146,South Asia,CLOSED,1360,Smart watch ,327.75,1/15/2018 0:12,First Class
DEBIT,311.3599854,Late delivery,Sporting Goods,Corporate,TX,75228,Fitness,32.81010819,-96.68649292,Australia,19456,1/12/2018 23:51,1,327.75,311.3599854,Oceania,COMPLETE,1360,Smart watch ,327.75,1/14/2018 23:51,First Class
TRANSFER,304.8099976,Shipping canceled,Sporting Goods,Consumer,DE,19702,Fitness,39.68188095,-75.64421082,Australia,19454,1/12/2018 23:09,1,327.75,304.8099976,Oceania,CANCELED,1360,Smart watch ,327.75,1/13/2018 11:09,Same Day
PAYMENT,298.25,Late delivery,Sporting Goods,Consumer,CA,91402,Fitness,34.15893936,-118.1809387,Singapur,19453,1/12/2018 22:48,1,327.75,298.25,Southeast Asia,PENDING_PAYMENT,1360,Smart watch ,327.75,1/13/2018 10:48,Same Day
CASH,288.4200134,Shipping on time,Sporting Goods,Home Office,GA,30318,Fitness,33.81632614,-84.44550324,Indonesia,19451,1/12/2018 22:05,1,327.75,288.4200134,Southeast Asia,CLOSED,1360,Smart watch ,327.75,1/16/2018 22:05,Standard Class
DEBIT,278.5899963,Advance shipping,Sporting Goods,Consumer,CA,94539,Fitness,37.49027634,-121.9271088,Australia,19449,1/12/2018 21:23,1,327.75,278.5899963,Oceania,COMPLETE,1360,Smart watch ,327.75,1/14/2018 21:23,Standard Class
TRANSFER,272.0299988,Late delivery,Sporting Goods,Corporate,NY,14609,Fitness,43.18824005,-77.56706238,India,19447,1/12/2018 20:41,1,327.75,272.0299988,South Asia,PENDING,1360,Smart watch ,327.75,1/17/2018 20:41,Second Class
TRANSFER,268.7600098,Shipping on time,Sporting Goods,Corporate,TX,75211,Fitness,32.753685,-96.86553955,China,19446,1/12/2018 20:20,1,327.75,268.7600098,Eastern Asia,PROCESSING,1360,Smart watch ,327.75,1/16/2018 20:20,Standard Class
TRANSFER,128.2200012,Shipping canceled,Electronics,Consumer,NY,11520,Footwear,40.65486527,-73.58707428,Estados Unidos,1509,5/8/2016 17:42,3,134.9700012,128.2200012,US Center ,SUSPECTED_FRAUD,278,Under Armour Men's Compression EV SL Slide,44.99000168,5/13/2016 17:42,Standard Class
TRANSFER,278.9700012,Shipping canceled,Cardio Equipment,Consumer,MD,20744,Footwear,38.74266434,-76.9917984,Estados Unidos,1636,4/2/2016 19:51,3,299.9700012,278.9700012,West of USA ,SUSPECTED_FRAUD,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,4/7/2016 19:51,Standard Class
TRANSFER,272.9700012,Shipping canceled,Cardio Equipment,Consumer,CA,93304,Footwear,35.36254501,-119.0186996,Estados Unidos,2784,8/14/2016 2:51,3,299.9700012,272.9700012,West of USA ,SUSPECTED_FRAUD,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,8/20/2016 2:51,Standard Class
TRANSFER,272.9700012,Shipping canceled,Cardio Equipment,Consumer,MD,20744,Footwear,38.74266434,-76.9917984,Estados Unidos,1636,4/2/2016 19:51,3,299.9700012,272.9700012,West of USA ,SUSPECTED_FRAUD,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,4/7/2016 19:51,Standard Class
TRANSFER,170.9700012,Shipping canceled,Cleats,Consumer,NY,11368,Apparel,40.74210739,-73.86962128,Estados Unidos,9174,5/18/2016 16:38,3,179.9700012,170.9700012,West of USA ,SUSPECTED_FRAUD,365,Perfect Fitness Perfect Rip Deck,59.99000168,5/20/2016 16:38,Standard Class
TRANSFER,167.3699951,Shipping canceled,Cleats,Consumer,OH,45238,Apparel,39.28849411,-84.3551178,Estados Unidos,122,5/5/2016 13:40,3,179.9700012,167.3699951,West of USA ,SUSPECTED_FRAUD,365,Perfect Fitness Perfect Rip Deck,59.99000168,5/8/2016 13:40,Standard Class
TRANSFER,158.3699951,Shipping canceled,Cleats,Consumer,MD,20874,Apparel,39.1836586,-77.26545715,Estados Unidos,3800,4/21/2016 2:50,3,179.9700012,158.3699951,East of USA,SUSPECTED_FRAUD,365,Perfect Fitness Perfect Rip Deck,59.99000168,4/24/2016 2:50,Standard Class
TRANSFER,118.7699966,Shipping canceled,Shop By Sport,Consumer,TX,75006,Golf,32.96593094,-96.84902191,Estados Unidos,10029,7/1/2016 8:10,3,119.9700012,118.7699966,US Center ,SUSPECTED_FRAUD,627,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,7/3/2016 8:10,Standard Class
TRANSFER,73.5,Shipping canceled,Girls' Apparel,Consumer,MD,20874,Golf,39.1836586,-77.26545715,Estados Unidos,3800,4/21/2016 2:50,3,75,73.5,East of USA,SUSPECTED_FRAUD,567,adidas Men's Germany Black Crest Away Tee,25,4/24/2016 2:50,Standard Class
TRANSFER,132,Shipping canceled,Women's Apparel,Consumer,TX,77093,Golf,29.83435631,-95.33792877,Canada,2805,12/17/2016 8:48,3,150,132,Canada,SUSPECTED_FRAUD,502,Nike Men's Dri-FIT Victory Golf Polo,50,12/23/2016 8:48,Standard Class
TRANSFER,132,Shipping canceled,Women's Apparel,Consumer,NY,11520,Golf,40.65486527,-73.58707428,Estados Unidos,1509,5/8/2016 17:42,3,150,132,US Center ,SUSPECTED_FRAUD,502,Nike Men's Dri-FIT Victory Golf Polo,50,5/13/2016 17:42,Standard Class
TRANSFER,130.5,Shipping canceled,Women's Apparel,Consumer,TX,77093,Golf,29.83435631,-95.33792877,Canada,2805,12/17/2016 8:48,3,150,130.5,Canada,SUSPECTED_FRAUD,502,Nike Men's Dri-FIT Victory Golf Polo,50,12/23/2016 8:48,Standard Class
TRANSFER,99.58000183,Shipping canceled,Shop By Sport,Consumer,PA,17013,Golf,40.2372818,-76.96795654,Canada,12253,8/30/2016 14:02,3,119.9700012,99.58000183,Canada,SUSPECTED_FRAUD,627,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,9/3/2016 14:02,Standard Class
TRANSFER,99.58000183,Shipping canceled,Shop By Sport,Consumer,CA,90023,Golf,34.20339966,-118.6059036,Estados Unidos,3528,7/27/2016 6:01,3,119.9700012,99.58000183,East of USA,SUSPECTED_FRAUD,627,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,7/29/2016 6:01,Standard Class
TRANSFER,74.22000122,Shipping canceled,Accessories,Consumer,HI,96706,Outdoors,21.31185532,-158.0046844,Estados Unidos,11018,7/17/2016 10:14,3,74.97000122,74.22000122,US Center ,SUSPECTED_FRAUD,893,Team Golf Pittsburgh Steelers Putter Grip,24.98999977,7/21/2016 10:14,Standard Class
TRANSFER,40.29000092,Shipping canceled,Trade-In,Consumer,NJ,8701,Outdoors,40.09635925,-74.21524048,Estados Unidos,3222,7/6/2016 10:26,3,47.97000122,40.29000092,US Center ,SUSPECTED_FRAUD,924,Glove It Urban Brick Golf Towel,15.98999977,7/12/2016 10:26,Standard Class
TRANSFER,227.9600067,Shipping canceled,Cleats,Consumer,NY,13440,Apparel,43.21662521,-75.45603943,Madagascar,6246,9/9/2016 22:05,4,239.9600067,227.9600067,East Africa,CANCELED,365,Perfect Fitness Perfect Rip Deck,59.99000168,9/11/2016 22:05,Standard Class
TRANSFER,203.9700012,Shipping canceled,Cleats,Consumer,CA,92083,Apparel,33.21121979,-117.2510605,Argelia,8741,8/26/2016 12:38,4,239.9600067,203.9700012,North Africa,CANCELED,365,Perfect Fitness Perfect Rip Deck,59.99000168,9/1/2016 12:38,Standard Class
TRANSFER,200,Shipping canceled,Women's Apparel,Consumer,TX,76106,Golf,32.8013916,-97.3302536,Liberia,8050,1/16/2017 22:04,4,200,200,West Africa,CANCELED,502,Nike Men's Dri-FIT Victory Golf Polo,50,1/20/2017 22:04,Standard Class
TRANSFER,156.7599945,Shipping canceled,Shop By Sport,Consumer,TX,76106,Golf,32.8013916,-97.3302536,Liberia,8050,1/16/2017 22:04,4,159.9600067,156.7599945,West Africa,CANCELED,627,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,1/20/2017 22:04,Standard Class
TRANSFER,189,Shipping canceled,Women's Apparel,Consumer,WI,54935,Golf,43.78569031,-88.47438049,Sudán,5474,9/28/2016 10:19,4,200,189,North Africa,CANCELED,502,Nike Men's Dri-FIT Victory Golf Polo,50,10/3/2016 10:19,Standard Class
TRANSFER,79.97000122,Shipping canceled,Accessories,Consumer,PA,19139,Outdoors,39.79661942,-75.47006989,Costa de Marfil,474,9/3/2016 15:26,4,99.95999908,79.97000122,West Africa,CANCELED,905,Team Golf Texas Longhorns Putter Grip,24.98999977,9/5/2016 15:26,Standard Class
TRANSFER,363.9599915,Advance shipping,Cardio Equipment,Consumer,CA,91764,Footwear,34.07656479,-117.61409,Zambia,12255,9/16/2016 1:13,4,399.9599915,363.9599915,East Africa,PENDING,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,9/18/2016 1:13,Standard Class
TRANSFER,239.9600067,Shipping on time,Cleats,Consumer,FL,32765,Apparel,28.62217712,-81.20755768,Marruecos,10288,10/20/2016 3:59,4,239.9600067,239.9600067,North Africa,PENDING,365,Perfect Fitness Perfect Rip Deck,59.99000168,10/24/2016 3:59,Standard Class
TRANSFER,230.3600006,Late delivery,Cleats,Consumer,NY,14221,Apparel,42.9666214,-78.74194336,Egipto,4717,1/7/2017 0:11,4,239.9600067,230.3600006,North Africa,PENDING,365,Perfect Fitness Perfect Rip Deck,59.99000168,1/12/2017 0:11,Standard Class
TRANSFER,227.9600067,Late delivery,Cleats,Consumer,HI,96822,Apparel,21.30562019,-157.8386993,Senegal,4799,10/10/2016 6:06,4,239.9600067,227.9600067,West Africa,PENDING,365,Perfect Fitness Perfect Rip Deck,59.99000168,10/15/2016 6:06,Standard Class
TRANSFER,226.7599945,Advance shipping,Cleats,Consumer,CA,92056,Apparel,33.18587494,-117.3658524,Egipto,4533,9/6/2016 13:30,4,239.9600067,226.7599945,North Africa,PENDING,365,Perfect Fitness Perfect Rip Deck,59.99000168,9/8/2016 13:30,Standard Class
TRANSFER,208.7700043,Late delivery,Cleats,Consumer,NY,14120,Apparel,43.02910233,-78.87342072,Marruecos,12383,1/6/2017 1:25,4,239.9600067,208.7700043,North Africa,PENDING,365,Perfect Fitness Perfect Rip Deck,59.99000168,1/11/2017 1:25,Standard Class
TRANSFER,200,Late delivery,Women's Apparel,Consumer,CA,93611,Golf,36.82690048,-119.6776962,Costa de Marfil,3518,12/28/2016 7:33,4,200,200,West Africa,PENDING,502,Nike Men's Dri-FIT Victory Golf Polo,50,1/3/2017 7:33,Standard Class
TRANSFER,198,Late delivery,Women's Apparel,Consumer,NY,11434,Golf,40.70170975,-73.80841827,Egipto,4674,8/25/2016 18:46,4,200,198,North Africa,PENDING,502,Nike Men's Dri-FIT Victory Golf Polo,50,8/30/2016 18:46,Standard Class
TRANSFER,155.1600037,Shipping on time,Shop By Sport,Consumer,IL,62040,Golf,38.69002152,-90.14477539,Níger,8519,9/5/2016 10:10,4,159.9600067,155.1600037,West Africa,PENDING,627,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,9/9/2016 10:10,Standard Class
TRANSFER,151.1600037,Late delivery,Shop By Sport,Consumer,MA,2155,Golf,42.41968918,-71.10621643,Marruecos,5302,11/28/2016 9:00,4,159.9600067,151.1600037,North Africa,PENDING,627,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,12/3/2016 9:00,Standard Class
TRANSFER,111.5999985,Advance shipping,Girls' Apparel,Consumer,CA,91766,Golf,34.04991913,-117.7161026,SudAfrica,3594,9/2/2016 13:30,4,120,111.5999985,Southern Africa,PENDING,564,Nike Men's Deutschland Weltmeister Winners Bl,30,9/5/2016 13:30,Standard Class
TRANSFER,170,Shipping on time,Women's Apparel,Consumer,AZ,85281,Golf,33.41519928,-111.9199905,Marruecos,9890,11/19/2016 21:27,4,200,170,North Africa,PENDING,502,Nike Men's Dri-FIT Victory Golf Polo,50,11/23/2016 21:27,Standard Class
TRANSFER,160,Advance shipping,Women's Apparel,Consumer,CA,92703,Golf,33.74279404,-117.8847504,Sudán,1410,9/14/2016 5:26,4,200,160,North Africa,PENDING,502,Nike Men's Dri-FIT Victory Golf Polo,50,9/16/2016 5:26,Standard Class
TRANSFER,150,Late delivery,Women's Apparel,Consumer,PA,17402,Golf,39.9602356,-76.67675781,Nigeria,7521,11/5/2016 9:13,4,200,150,West Africa,PENDING,502,Nike Men's Dri-FIT Victory Golf Polo,50,11/10/2016 9:13,Standard Class
TRANSFER,94.45999908,Shipping on time,Accessories,Consumer,CO,80010,Outdoors,39.74543381,-104.8753815,Nigeria,2106,12/8/2016 12:08,4,99.95999908,94.45999908,West Africa,PENDING,885,Team Golf St. Louis Cardinals Putter Grip,24.98999977,12/12/2016 12:08,Standard Class
TRANSFER,395.9599915,Late delivery,Cardio Equipment,Consumer,CA,93065,Footwear,34.27391052,-118.7662125,Mozambique,8144,1/14/2017 14:22,4,399.9599915,395.9599915,East Africa,PROCESSING,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,1/19/2017 14:22,Standard Class
TRANSFER,391.9599915,Late delivery,Cardio Equipment,Consumer,MD,20904,Footwear,39.04636002,-76.98272705,SudAfrica,5643,11/5/2016 19:43,4,399.9599915,391.9599915,Southern Africa,PROCESSING,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,11/10/2016 19:43,Standard Class
TRANSFER,379.9599915,Advance shipping,Cardio Equipment,Consumer,MN,55124,Footwear,44.72552109,-93.20613098,Tanzania,2041,9/17/2016 23:07,4,399.9599915,379.9599915,East Africa,PROCESSING,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,9/20/2016 23:07,Standard Class
TRANSFER,363.9599915,Advance shipping,Cardio Equipment,Consumer,TX,78201,Footwear,29.45598984,-98.52809143,Somalia,7537,11/14/2016 13:14,4,399.9599915,363.9599915,East Africa,PROCESSING,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,11/17/2016 13:14,Standard Class
TRANSFER,359.9599915,Late delivery,Cardio Equipment,Consumer,PA,19143,Footwear,39.95672989,-75.19525909,Ruanda,3056,12/11/2016 15:49,4,399.9599915,359.9599915,East Africa,PROCESSING,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,12/16/2016 15:49,Standard Class
TRANSFER,351.9599915,Late delivery,Cardio Equipment,Consumer,PA,19143,Footwear,39.95672989,-75.19525909,Ruanda,3056,12/11/2016 15:49,4,399.9599915,351.9599915,East Africa,PROCESSING,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,12/16/2016 15:49,Standard Class
TRANSFER,351.9599915,Advance shipping,Cardio Equipment,Consumer,PA,19149,Footwear,40.03775024,-75.06806183,Egipto,7967,11/8/2016 13:14,4,399.9599915,351.9599915,North Africa,PROCESSING,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,11/10/2016 13:14,Standard Class
TRANSFER,339.9700012,Shipping on time,Cardio Equipment,Consumer,NY,10466,Footwear,40.86353684,-73.87049866,SudAfrica,1758,11/22/2016 2:00,4,399.9599915,339.9700012,Southern Africa,PROCESSING,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,11/26/2016 2:00,Standard Class
DEBIT,124.7900009,Advance shipping,Men's Footwear,Corporate,NC,27858,Apparel,35.60034943,-77.33486939,Turquía,7884,8/31/2016 12:06,1,129.9900055,124.7900009,West Asia,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,9/2/2016 12:06,Standard Class
DEBIT,124.7900009,Advance shipping,Men's Footwear,Corporate,NJ,7960,Apparel,40.80119324,-74.48561096,Israel,289,9/3/2016 13:41,1,129.9900055,124.7900009,West Asia,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,9/5/2016 13:41,Standard Class
DEBIT,56.99000168,Shipping on time,Cleats,Corporate,CA,92115,Apparel,32.77627945,-117.1342163,Australia,10081,2/16/2016 4:09,1,59.99000168,56.99000168,Oceania,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,2/20/2016 4:09,Standard Class
DEBIT,123.4899979,Advance shipping,Men's Footwear,Corporate,CA,93030,Apparel,34.19039154,-119.177803,Australia,1169,12/31/2015 19:27,1,129.9900055,123.4899979,Oceania,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,1/3/2016 19:27,Standard Class
DEBIT,123.4899979,Advance shipping,Men's Footwear,Corporate,FL,33147,Apparel,25.82507515,-80.19588471,Nueva Zelanda,1182,3/26/2016 8:07,1,129.9900055,123.4899979,Oceania,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,3/28/2016 8:07,Standard Class
DEBIT,123.4899979,Late delivery,Men's Footwear,Corporate,NM,87111,Apparel,35.13143921,-106.5452042,Australia,717,1/2/2016 0:11,1,129.9900055,123.4899979,Oceania,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,1/7/2016 0:11,Standard Class
DEBIT,205.0299988,Late delivery,Women's Clothing,Corporate,TX,79109,Apparel,35.18754196,-101.8676224,Australia,20423,1/27/2018 2:38,1,215.8200073,205.0299988,Oceania,COMPLETE,1363,Summer dresses,215.8200073,2/2/2018 2:38,Standard Class
DEBIT,123.4899979,Shipping on time,Men's Footwear,Corporate,FL,33549,Apparel,28.08681297,-82.43898773,Bangladés,5801,1/3/2016 7:22,1,129.9900055,123.4899979,South Asia,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,1/7/2016 7:22,Standard Class
DEBIT,123.4899979,Advance shipping,Men's Footwear,Corporate,OR,97701,Apparel,44.07210541,-12.13232708,India,702,2/14/2016 5:54,1,129.9900055,123.4899979,South Asia,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,2/16/2016 5:54,Standard Class
DEBIT,123.4899979,Late delivery,Men's Footwear,Corporate,NJ,8816,Apparel,40.41255188,-74.41832733,Tailandia,6951,11/28/2015 1:06,1,129.9900055,123.4899979,Southeast Asia,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,12/3/2015 1:06,Standard Class
DEBIT,123.4899979,Late delivery,Men's Footwear,Corporate,SC,29720,Apparel,34.85777283,-80.84423828,Tailandia,6780,12/11/2015 15:17,1,129.9900055,123.4899979,Southeast Asia,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,12/17/2015 15:17,Standard Class
DEBIT,56.99000168,Shipping on time,Cleats,Corporate,CA,91762,Apparel,34.06832504,-117.6557541,Irak,6422,9/17/2016 4:12,1,59.99000168,56.99000168,West Asia,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,9/21/2016 4:12,Standard Class
DEBIT,123.4899979,Advance shipping,Men's Footwear,Corporate,NJ,7960,Apparel,40.80119324,-74.48561096,Israel,289,9/3/2016 13:41,1,129.9900055,123.4899979,West Asia,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,9/5/2016 13:41,Standard Class
DEBIT,123.4899979,Shipping on time,Men's Footwear,Corporate,TX,77015,Apparel,29.7805748,-95.17199707,Turquía,5384,12/12/2016 1:59,1,129.9900055,123.4899979,West Asia,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,12/16/2016 1:59,Standard Class
DEBIT,123.4899979,Shipping on time,Men's Footwear,Corporate,VA,23666,Apparel,37.05174255,-76.40163422,Arabia Saudí,2985,10/28/2016 15:11,1,129.9900055,123.4899979,West Asia,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,11/1/2016 15:11,Standard Class
DEBIT,436.1000061,Advance shipping,Crafts,Corporate,NY,10016,Apparel,40.74559021,-73.97927856,China,18349,12/27/2017 20:01,1,461.480011,436.1000061,Eastern Asia,COMPLETE,1353,Porcelain crafts,461.480011,12/29/2017 20:01,Standard Class
DEBIT,122.8399963,Shipping on time,Men's Footwear,Corporate,CA,93257,Apparel,35.93829727,-118.9438477,China,11286,2/12/2016 12:34,1,129.9900055,122.8399963,Eastern Asia,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,2/16/2016 12:34,Standard Class
DEBIT,56.68999863,Advance shipping,Cleats,Corporate,OR,97223,Apparel,45.59825897,-12.27242851,Australia,489,3/15/2016 7:58,1,59.99000168,56.68999863,Oceania,COMPLETE,365,Perfect Fitness Perfect Rip Deck,59.99000168,3/18/2016 7:58,Standard Class
DEBIT,122.8399963,Advance shipping,Men's Footwear,Corporate,OH,44136,Apparel,41.3469696,-81.82631683,Nueva Zelanda,4510,3/28/2016 0:25,1,129.9900055,122.8399963,Oceania,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,3/30/2016 0:25,Standard Class
DEBIT,122.8399963,Shipping on time,Men's Footwear,Corporate,TX,79927,Apparel,31.65174103,-106.2676239,Australia,9626,3/14/2016 20:03,1,129.9900055,122.8399963,Oceania,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,3/18/2016 20:03,Standard Class
DEBIT,122.8399963,Late delivery,Men's Footwear,Corporate,TX,78840,Apparel,29.77310181,-100.6121979,India,9494,11/18/2015 9:53,1,129.9900055,122.8399963,South Asia,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,11/23/2015 9:53,Standard Class
DEBIT,122.8399963,Late delivery,Men's Footwear,Corporate,NY,14221,Apparel,42.9666214,-78.74194336,Filipinas,1718,12/20/2015 16:29,1,129.9900055,122.8399963,Southeast Asia,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,12/26/2015 16:29,Standard Class
DEBIT,122.8399963,Shipping on time,Men's Footwear,Corporate,TX,77015,Apparel,29.7805748,-95.17199707,Turquía,5384,12/12/2016 1:59,1,129.9900055,122.8399963,West Asia,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,12/16/2016 1:59,Standard Class
DEBIT,122.8399963,Shipping on time,Men's Footwear,Corporate,UT,84010,Apparel,40.86649323,-111.8493271,Turquía,5295,9/10/2016 5:47,1,129.9900055,122.8399963,West Asia,COMPLETE,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,9/14/2016 5:47,Standard Class
