Sales per customer,Delivery Status,Customer Zipcode,Order Country
84.98999786,Late delivery,93304,Irlanda
129.9900055,Late delivery,23223,España
357.1000061,Late delivery,85224,Francia
129.9900055,Late delivery,97229,Francia
128.6900024,Late delivery,97229,Francia
127.3899994,Late delivery,21502,España
349.9599915,Late delivery,92105,Alemania
127.3899994,Late delivery,60435,Francia
127.3899994,Late delivery,97229,Francia
126.0899963,Late delivery,33624,Noruega
126.0899963,Late delivery,21502,España
126.0899963,Late delivery,60435,Francia
56.99000168,Late delivery,44136,Austria
123.4899979,Late delivery,90066,Francia
123.4899979,Late delivery,44136,Austria
122.8399963,Late delivery,11203,Alemania
122.8399963,Late delivery,44136,Austria
120.8899994,Late delivery,11203,Alemania
54.59000015,Late delivery,60453,Italia
324.9599915,Late delivery,77084,Francia
54.59000015,Late delivery,90806,Alemania
53.99000168,Late delivery,78228,Alemania
114.3899994,Late delivery,84084,Suecia
114.3899994,Late delivery,11375,Alemania
113.0899963,Late delivery,93905,Rusia
113.0899963,Late delivery,45601,Reino Unido
110.4899979,Late delivery,93905,Rusia
110.4899979,Late delivery,93304,Irlanda
110.4899979,Late delivery,45601,Reino Unido
110.4899979,Late delivery,29483,España
109.1900024,Late delivery,19134,Polonia
50.38999939,Late delivery,11214,Francia
107.8899994,Late delivery,92025,Irlanda
107.8899994,Late delivery,92553,Alemania
106.5899963,Late delivery,60067,Polonia
292.8200073,Late delivery,92346,Suecia
106.5899963,Late delivery,53704,Reino Unido
106.5899963,Late delivery,60453,Italia
106.5899963,Late delivery,87111,Italia
106.5899963,Late delivery,60148,Alemania
106.5899963,Late delivery,79907,Alemania
103.9899979,Late delivery,60067,Polonia
285.6799927,Late delivery,33313,Reino Unido
103.9899979,Late delivery,19134,Reino Unido
103.9899979,Late delivery,93722,Italia
103.9899979,Late delivery,87111,Italia
103.9899979,Late delivery,45840,Italia
44.99000168,Late delivery,92630,España
44.99000168,Late delivery,32225,Portugal
44.99000168,Late delivery,33594,Alemania
97.48999786,Late delivery,89119,Francia
48,Late delivery,21228,Francia
45,Late delivery,43026,Francia
197.9900055,Late delivery,92009,Francia
545.9899902,Late delivery,19134,Alemania
224.9900055,Late delivery,32822,Francia
299.980011,Late delivery,95340,Países Bajos
399.980011,Late delivery,43026,Francia
395.980011,Late delivery,45601,Reino Unido
296.980011,Late delivery,89119,Francia
395.980011,Late delivery,93727,Francia
293.980011,Late delivery,95122,Italia
391.980011,Late delivery,19144,Francia
290.980011,Late delivery,60067,Polonia
387.980011,Late delivery,92025,Irlanda
387.980011,Late delivery,11203,Reino Unido
290.980011,Late delivery,85710,España
290.980011,Late delivery,93722,Italia
290.980011,Late delivery,21228,Francia
290.980011,Late delivery,11226,Francia
287.980011,Late delivery,92592,Polonia
284.980011,Late delivery,24060,Reino Unido
379.980011,Late delivery,90066,Francia
379.980011,Late delivery,91770,Francia
283.480011,Late delivery,19134,Reino Unido
377.980011,Late delivery,19124,Italia
283.480011,Late delivery,33594,Alemania
377.980011,Late delivery,91770,Francia
278.980011,Late delivery,19134,Reino Unido
272.980011,Late delivery,11203,Alemania
351.980011,Late delivery,30044,Alemania
254.9799957,Late delivery,84084,Suecia
254.9799957,Late delivery,11214,Francia
339.980011,Late delivery,60644,Alemania
335.980011,Late delivery,60644,Alemania
327.980011,Late delivery,85710,España
239.9799957,Late delivery,29483,España
239.9799957,Late delivery,92802,Francia
30.45999908,Late delivery,11420,Irlanda
28.89999962,Late delivery,90703,Francia
139.7200012,Late delivery,60123,Francia
134.7899933,Late delivery,60050,Alemania
92.98999786,Late delivery,21401,Honduras
129.9900055,Late delivery,63031,Guatemala
128.6900024,Late delivery,2151,Nicaragua
59.38999939,Late delivery,85201,Brasil
127.3899994,Late delivery,92708,Nicaragua
127.3899994,Late delivery,78223,Honduras
126.0899963,Late delivery,91910,Cuba
126.0899963,Late delivery,15601,República Dominicana
58.18999863,Late delivery,92025,Nicaragua
126.0899963,Late delivery,90804,Guatemala
124.7900009,Late delivery,44060,Honduras
57.59000015,Late delivery,84118,Colombia
123.4899979,Late delivery,47150,Honduras
123.4899979,Late delivery,28601,Brasil
123.4899979,Late delivery,11758,Argentina
122.8399963,Late delivery,7087,Cuba
122.8399963,Late delivery,79936,Martinica
122.8399963,Late delivery,28601,Brasil
120.8899994,Late delivery,11207,República Dominicana
120.8899994,Late delivery,21401,Honduras
54.59000015,Late delivery,90805,Brasil
52.18999863,Late delivery,93906,México
113.0899963,Late delivery,85301,México
113.0899963,Late delivery,30331,México
113.0899963,Late delivery,8302,México
113.0899963,Late delivery,2301,Brasil
110.4899979,Late delivery,76180,México
50.38999939,Late delivery,85706,Panamá
109.1900024,Late delivery,85254,México
109.1900024,Late delivery,76180,México
50.38999939,Late delivery,23464,Brasil
109.1900024,Late delivery,60657,Argentina
49.79000092,Late delivery,60453,Brasil
107.8899994,Late delivery,66062,Brasil
107.8899994,Late delivery,75093,Brasil
106.5899963,Late delivery,60644,Cuba
106.5899963,Late delivery,46360,República Dominicana
106.5899963,Late delivery,91406,Nicaragua
106.5899963,Late delivery,30034,Colombia
106.5899963,Late delivery,66062,Brasil
47.99000168,Late delivery,20002,República Dominicana
97.48999786,Late delivery,90650,Cuba
97.48999786,Late delivery,95127,República Dominicana
97.48999786,Late delivery,2135,República Dominicana
97.48999786,Late delivery,25401,Venezuela
39.99000168,Late delivery,49509,Uruguay
28.79999924,Late delivery,2301,Brasil
35.99000168,Late delivery,30331,México
35.18999863,Late delivery,30034,Colombia
44,Late delivery,89123,Brasil
43.5,Late delivery,23455,México
33.59000015,Late delivery,2151,Nicaragua
41.5,Late delivery,28645,Honduras
22.73999977,Late delivery,91406,Nicaragua
299.980011,Late delivery,20002,República Dominicana
399.980011,Late delivery,75228,Honduras
299.980011,Late delivery,25401,Venezuela
296.980011,Late delivery,28645,Honduras
395.980011,Late delivery,10453,El Salvador
296.980011,Late delivery,97303,Brasil
293.980011,Late delivery,70570,República Dominicana
391.980011,Late delivery,10453,El Salvador
290.980011,Late delivery,47150,Honduras
383.980011,Late delivery,63021,Guatemala
284.980011,Late delivery,30034,Colombia
283.480011,Late delivery,23455,México
278.980011,Late delivery,19067,Cuba
278.980011,Late delivery,95616,Perú
278.980011,Late delivery,48219,Chile
278.980011,Late delivery,45044,Colombia
269.980011,Late delivery,7087,Cuba
269.980011,Late delivery,91406,Nicaragua
359.980011,Late delivery,33155,El Salvador
351.980011,Late delivery,60625,México
339.980011,Late delivery,25401,Venezuela
248.9799957,Late delivery,85254,México
245.9799957,Late delivery,85254,México
245.9799957,Late delivery,92084,México
245.9799957,Late delivery,54601,Venezuela
239.9799957,Late delivery,95124,México
319.980011,Late delivery,23455,México
119.9899979,Late delivery,92692,Nicaragua
224.9900055,Late delivery,20009,México
224.9900055,Late delivery,19711,El Salvador
224.9900055,Late delivery,11230,El Salvador
238.9700012,Late delivery,93033,Singapur
406.8399963,Late delivery,75006,India
81.01999664,Late delivery,90044,China
80.18000031,Late delivery,78753,Indonesia
70.05000305,Late delivery,30907,Australia
63.29999924,Late delivery,61554,Corea del Sur
293.0400085,Late delivery,90745,India
99.98999786,Late delivery,85224,India
51.95000076,Late delivery,75216,Filipinas
29.75,Late delivery,94541,Corea del Sur
128.6900024,Late delivery,7470,Japón
58.79000092,Late delivery,60435,China
58.79000092,Late delivery,7087,Filipinas
124.7900009,Late delivery,20011,Australia
56.13000107,Late delivery,11226,China
205.0299988,Late delivery,85706,Australia
438.4100037,Late delivery,23223,India
123.4899979,Late delivery,90805,India
122.8399963,Late delivery,27410,India
120.8899994,Late delivery,60435,China
55.79000092,Late delivery,33549,Australia
120.8899994,Late delivery,60441,Turquía
118.2900009,Late delivery,91911,China
118.2900009,Late delivery,60435,China
118.2900009,Late delivery,60441,Turquía
114.3899994,Late delivery,90018,Indonesia
52.18999863,Late delivery,94541,Corea del Sur
113.0899963,Late delivery,23455,China
52.18999863,Late delivery,94544,Australia
187.7599945,Late delivery,21218,India
110.4899979,Late delivery,23455,China
50.38999939,Late delivery,7470,Japón
49.79000092,Late delivery,20783,India
107.8899994,Late delivery,7087,Filipinas
179.1300049,Late delivery,60615,Indonesia
49.18999863,Late delivery,2860,Australia
172.8999939,Late delivery,49509,Malasia
106.5899963,Late delivery,17055,Arabia Saudí
369.1799927,Late delivery,97206,China
103.9899979,Late delivery,94541,Corea del Sur
103.9899979,Late delivery,33549,Australia
103.9899979,Late delivery,17331,Australia
103.9899979,Late delivery,91402,India
44.99000168,Late delivery,78852,Australia
97.48999786,Late delivery,17331,Australia
97.48999786,Late delivery,91402,India
44,Late delivery,85706,Filipinas
42.5,Late delivery,48843,India
31.98999977,Late delivery,78852,Australia
29.98999977,Late delivery,94541,Corea del Sur
503.2900085,Late delivery,95125,Australia
463.3399963,Late delivery,33055,China
21.73999977,Late delivery,30047,Turquía
20.73999977,Late delivery,94533,India
20.73999977,Late delivery,75216,Filipinas
25.59000015,Late delivery,75216,Filipinas
399.980011,Late delivery,30318,Australia
299.980011,Late delivery,19067,India
395.980011,Late delivery,78550,China
290.980011,Late delivery,17404,Australia
383.980011,Late delivery,10463,China
287.980011,Late delivery,30318,Australia
287.980011,Late delivery,10466,Afganistán
383.980011,Late delivery,90805,India
283.480011,Late delivery,60435,China
377.980011,Late delivery,94591,Japón
283.480011,Late delivery,91790,Australia
283.480011,Late delivery,92410,India
371.980011,Late delivery,91790,Australia
272.980011,Late delivery,94591,Japón
269.980011,Late delivery,28314,Australia
269.980011,Late delivery,60441,Turquía
351.980011,Late delivery,20783,India
347.980011,Late delivery,17331,Australia
260.980011,Late delivery,7087,Filipinas
339.980011,Late delivery,17331,Australia
251.9799957,Late delivery,97303,India
335.980011,Late delivery,48843,India
248.9799957,Late delivery,70122,India
245.9799957,Late delivery,70122,India
29.53000069,Late delivery,38109,China
39.75,Late delivery,89117,India
39.75,Late delivery,97701,Pakistán
255.4400024,Late delivery,85706,Myanmar (Birmania)
37.56000137,Late delivery,95376,Australia
237.1900024,Late delivery,38109,Camboya
35.77999878,Late delivery,78586,Australia
34.97999954,Late delivery,30034,Indonesia
23.98999977,Late delivery,90745,Estados Unidos
81.98999786,Late delivery,10032,Estados Unidos
129.9900055,Late delivery,33177,Estados Unidos
128.6900024,Late delivery,30281,Estados Unidos
126.0899963,Late delivery,19111,Estados Unidos
124.7900009,Late delivery,63031,Estados Unidos
123.4899979,Late delivery,6516,Estados Unidos
122.8399963,Late delivery,85364,Estados Unidos
122.8399963,Late delivery,48185,Estados Unidos
122.8399963,Late delivery,6516,Estados Unidos
122.8399963,Late delivery,44107,Estados Unidos
55.79000092,Late delivery,33175,Estados Unidos
118.2900009,Late delivery,90640,Estados Unidos
53.99000168,Late delivery,32822,Canada
53.99000168,Late delivery,97701,Estados Unidos
114.3899994,Late delivery,90745,Estados Unidos
113.0899963,Late delivery,48187,Estados Unidos
113.0899963,Late delivery,90745,Estados Unidos
110.4899979,Late delivery,32822,Canada
109.1900024,Late delivery,32822,Canada
109.1900024,Late delivery,84604,Estados Unidos
107.8899994,Late delivery,75061,Estados Unidos
49.79000092,Late delivery,85022,Estados Unidos
107.8899994,Late delivery,92009,Estados Unidos
107.8899994,Late delivery,28601,Estados Unidos
107.8899994,Late delivery,6460,Estados Unidos
44.99000168,Late delivery,90640,Estados Unidos
39.99000168,Late delivery,92009,Estados Unidos
38.38999939,Late delivery,45424,Estados Unidos
45,Late delivery,19067,Estados Unidos
45,Late delivery,33175,Estados Unidos
32.79000092,Late delivery,85364,Estados Unidos
41,Late delivery,85022,Estados Unidos
40,Late delivery,1841,Estados Unidos
37.5,Late delivery,1841,Estados Unidos
24.73999977,Late delivery,7307,Estados Unidos
299.980011,Late delivery,90024,Estados Unidos
299.980011,Late delivery,6460,Estados Unidos
278.980011,Late delivery,85364,Estados Unidos
269.980011,Late delivery,92507,Estados Unidos
248.9799957,Late delivery,11226,Estados Unidos
245.9799957,Late delivery,11226,Estados Unidos
224.9900055,Late delivery,89123,Estados Unidos
199.9799957,Late delivery,2124,Nigeria
181.9799957,Late delivery,21740,Egipto
96,Late delivery,21740,Egipto
80.98000336,Late delivery,92592,Polonia
62.97999954,Late delivery,11214,Francia
56.29999924,Late delivery,91977,Moldavia
119.9800034,Late delivery,33624,Noruega
119.9800034,Late delivery,90631,Croacia
117.5800018,Late delivery,93722,Italia
113.9800034,Late delivery,95340,Países Bajos
109.1800003,Late delivery,60644,Alemania
104.3799973,Late delivery,60622,Ucrania
100.7799988,Late delivery,29483,España
96,Late delivery,90023,Rusia
75.98000336,Late delivery,19134,Alemania
94.5,Late delivery,29483,España
75.58000183,Late delivery,43081,Suiza
93,Late delivery,53704,Reino Unido
123.1999969,Late delivery,92592,Polonia
80,Late delivery,85301,Alemania
59.99000168,Late delivery,11214,Francia
195.9799957,Late delivery,33549,México
54.59999847,Late delivery,28601,Brasil
165.9799957,Late delivery,79936,Martinica
159.9799957,Late delivery,93906,México
159.9799957,Late delivery,2301,Brasil
116.3799973,Late delivery,95111,Paraguay
116.3799973,Late delivery,60453,Brasil
115.1800003,Late delivery,95111,Paraguay
107.9800034,Late delivery,6010,México
107.9800034,Late delivery,63031,Guatemala
107.9800034,Late delivery,28601,Brasil
105.5800018,Late delivery,92025,Nicaragua
104.3799973,Late delivery,30331,México
101.9800034,Late delivery,54601,Venezuela
98.37999725,Late delivery,89123,Brasil
99,Late delivery,91406,Nicaragua
99,Late delivery,91306,Brasil
78.37999725,Late delivery,60643,México
96,Late delivery,91910,Cuba
95,Late delivery,85201,Brasil
94.5,Late delivery,85201,Brasil
93,Late delivery,66062,Brasil
90,Late delivery,92084,México
90,Late delivery,97303,Brasil
84,Late delivery,15601,República Dominicana
84,Late delivery,2151,Nicaragua
63.97999954,Late delivery,23464,Brasil
105,Late delivery,7087,Cuba
44.97999954,Late delivery,46360,República Dominicana
87.33999634,Late delivery,11230,El Salvador
195.9799957,Late delivery,10463,China
181.9799957,Late delivery,90057,Australia
57.58000183,Late delivery,30318,Australia
53.09999847,Late delivery,90805,India
105.5800018,Late delivery,10463,China
96,Late delivery,91911,China
90,Late delivery,94544,Australia
84,Late delivery,92117,Nueva Zelanda
80,Late delivery,85705,India
80,Late delivery,92346,Turquía
45,Late delivery,28314,Australia
199.9799957,Late delivery,48185,Estados Unidos
117.5800018,Late delivery,48185,Estados Unidos
107.9800034,Late delivery,21122,Estados Unidos
104.3799973,Late delivery,10032,Estados Unidos
101.9800034,Late delivery,92507,Estados Unidos
98.37999725,Late delivery,92009,Estados Unidos
95.98000336,Late delivery,85009,Estados Unidos
100,Late delivery,60615,Estados Unidos
97,Late delivery,1841,Estados Unidos
95,Late delivery,90640,Estados Unidos
75.58000183,Late delivery,27610,Estados Unidos
91,Late delivery,19111,Estados Unidos
88,Late delivery,85009,Estados Unidos
67.18000031,Late delivery,92154,Estados Unidos
52.18000031,Late delivery,44107,Estados Unidos
132.2700043,Late delivery,2124,Nigeria
296.9700012,Late delivery,92507,Zimbabue
141.75,Late delivery,2124,Nigeria
136.5,Late delivery,7052,Nigeria
293.9700012,Late delivery,21740,Polonia
269.9700012,Late delivery,90066,Francia
178.1699982,Late delivery,93727,Francia
156.5700073,Late delivery,8816,Alemania
150,Late delivery,60148,Alemania
145.5,Late delivery,2155,España
113.9700012,Late delivery,6457,Francia
141.75,Late delivery,90631,Croacia
141.75,Late delivery,87111,Italia
126,Late delivery,91748,Italia
123,Late delivery,90023,Rusia
89.98000336,Late delivery,60435,Francia
138.2100067,Late delivery,53704,Reino Unido
76.77999878,Late delivery,90806,Alemania
103.9199982,Late delivery,96789,Brasil
284.9700012,Late delivery,85254,México
272.9700012,Late delivery,95616,Perú
251.9700012,Late delivery,32073,El Salvador
179.9700012,Late delivery,28645,Honduras
174.5700073,Late delivery,66062,Brasil
163.7700043,Late delivery,87124,México
158.3699951,Late delivery,63031,Guatemala
156.5700073,Late delivery,91306,Brasil
149.3800049,Late delivery,20009,México
149.3800049,Late delivery,44136,México
119.9700012,Late delivery,33549,México
148.5,Late delivery,30331,México
148.5,Late delivery,90805,Brasil
117.5699997,Late delivery,96706,Venezuela
142.5,Late delivery,95127,República Dominicana
113.3700027,Late delivery,95111,Paraguay
139.5,Late delivery,75228,Honduras
109.1699982,Late delivery,60506,México
136.5,Late delivery,75228,Honduras
109.1699982,Late delivery,48601,Brasil
105.5699997,Late delivery,28314,México
127.5,Late delivery,23455,México
126,Late delivery,11210,México
99.58000183,Late delivery,90201,Nicaragua
71.97000122,Late delivery,60506,México
71.22000122,Late delivery,60506,México
91.16999817,Late delivery,62301,México
62.97000122,Late delivery,11230,El Salvador
245.8800049,Late delivery,92692,Nicaragua
296.9700012,Late delivery,60435,China
290.9700012,Late delivery,85705,India
269.9700012,Late delivery,27502,Filipinas
179.9700012,Late delivery,10466,Turquía
174.5700073,Late delivery,91402,India
174.5700073,Late delivery,85706,Filipinas
161.9700012,Late delivery,91911,China
147.5800018,Late delivery,30047,Turquía
117.5699997,Late delivery,94533,India
174.3000031,Late delivery,60435,China
95.98000336,Late delivery,28314,Australia
112.5,Late delivery,20011,Australia
81.5699997,Late delivery,94591,Japón
40.29000092,Late delivery,90057,Australia
44.79999924,Late delivery,93003,Irak
95.97000122,Late delivery,45424,Estados Unidos
296.9700012,Late delivery,43068,Estados Unidos
284.9700012,Late delivery,7307,Estados Unidos
248.9799957,Late delivery,60615,Estados Unidos
152.9700012,Late delivery,84604,Estados Unidos
147.5800018,Late delivery,52001,Estados Unidos
116.3700027,Late delivery,53704,Estados Unidos
142.5,Late delivery,48601,Estados Unidos
113.9700012,Late delivery,6516,Estados Unidos
141.75,Late delivery,75150,Estados Unidos
132,Late delivery,60615,Estados Unidos
130.5,Late delivery,96817,Estados Unidos
124.5,Late delivery,30281,Estados Unidos
47.00999832,Late delivery,90024,Estados Unidos
50.97000122,Late delivery,96817,Estados Unidos
201.5700073,Late delivery,63033,SudAfrica
191.9700012,Late delivery,11420,Mozambique
109.1600037,Late delivery,91789,Nigeria
130.1600037,Late delivery,93727,Francia
199.1699982,Late delivery,60622,Ucrania
383.9599915,Late delivery,21228,Francia
120.9199982,Late delivery,19124,Italia
363.9599915,Late delivery,92084,Italia
335.9700012,Late delivery,95340,Países Bajos
331.9700012,Late delivery,90631,Croacia
299.9700012,Late delivery,92009,Francia
299.9700012,Late delivery,97229,Francia
232.7599945,Late delivery,92592,Polonia
232.7599945,Late delivery,21206,Francia
232.7599945,Late delivery,22554,Francia
227.9600067,Late delivery,19134,Reino Unido
223.1600037,Late delivery,43207,Alemania
215.9600067,Late delivery,19124,Italia
203.9700012,Late delivery,14094,Francia
200,Late delivery,93727,Francia
156.7599945,Late delivery,63021,España
189,Late delivery,98023,Francia
176,Late delivery,93304,Irlanda
176,Late delivery,87111,Italia
164,Late delivery,6457,Francia
79.95999908,Late delivery,43026,Francia
399.9599915,Late delivery,92692,Nicaragua
395.9599915,Late delivery,85022,México
383.9599915,Late delivery,30034,Colombia
379.9599915,Late delivery,95127,República Dominicana
335.9700012,Late delivery,92708,Nicaragua
335.9700012,Late delivery,62301,México
327.9700012,Late delivery,44060,Honduras
319.9700012,Late delivery,90804,Guatemala
319.9700012,Late delivery,47150,Panamá
299.9700012,Late delivery,60644,Cuba
237.5599976,Late delivery,95616,Perú
227.9600067,Late delivery,91306,Brasil
227.9600067,Late delivery,48219,Chile
226.7599945,Late delivery,33155,El Salvador
215.9600067,Late delivery,47150,Panamá
199.1699982,Late delivery,6010,México
196.7700043,Late delivery,6010,México
158.3600006,Late delivery,78223,Honduras
196,Late delivery,91910,Cuba
196,Late delivery,60610,Panamá
192,Late delivery,23455,México
190,Late delivery,92084,México
190,Late delivery,49509,Uruguay
143.9600067,Late delivery,66062,Brasil
176,Late delivery,30034,Colombia
135.9700012,Late delivery,75228,Honduras
166,Late delivery,33313,Perú
160,Late delivery,91306,Nicaragua
119.9700012,Late delivery,92692,Nicaragua
79.95999908,Late delivery,23455,Brasil
391.7999878,Late delivery,43228,Nicaragua
90.95999908,Late delivery,60085,Nicaragua
90.95999908,Late delivery,85201,Brasil
387.9599915,Late delivery,92410,India
387.9599915,Late delivery,44136,Irak
331.9700012,Late delivery,30318,Australia
299.9700012,Late delivery,91606,Australia
226.7599945,Late delivery,91911,China
223.1600037,Late delivery,2169,Singapur
223.1600037,Late delivery,44136,Irak
199.1699982,Late delivery,92117,Nueva Zelanda
200,Late delivery,90057,Australia
158.3600006,Late delivery,75216,Filipinas
153.5599976,Late delivery,92117,Nueva Zelanda
151.9600067,Late delivery,93638,Indonesia
189,Late delivery,7470,Japón
189,Late delivery,93277,Irán
148.7599945,Late delivery,20783,India
182,Late delivery,91790,Australia
145.5599976,Late delivery,19067,India
182,Late delivery,44136,Irak
134.3699951,Late delivery,97303,India
120.9199982,Late delivery,19067,India
73.01000214,Late delivery,60615,Indonesia
359.9599915,Late delivery,75227,Estados Unidos
339.9700012,Late delivery,90640,Estados Unidos
223.1600037,Late delivery,27610,Estados Unidos
201.5700073,Late delivery,85022,Estados Unidos
156.7599945,Late delivery,96817,Estados Unidos
196,Late delivery,75150,Estados Unidos
153.5599976,Late delivery,48187,Estados Unidos
192,Late delivery,96817,Estados Unidos
192,Late delivery,7307,Estados Unidos
151.9600067,Late delivery,91331,Estados Unidos
113.4000015,Late delivery,48187,Estados Unidos
180,Late delivery,19067,Estados Unidos
180,Late delivery,37075,Estados Unidos
168,Late delivery,30281,Estados Unidos
98.40000153,Late delivery,37075,Estados Unidos
287.9500122,Late delivery,91789,Nigeria
263.9599915,Late delivery,92026,Libia
245,Late delivery,21740,Egipto
240,Late delivery,2124,Nigeria
189.9499969,Late delivery,89119,Níger
149.9600067,Late delivery,96706,Nigeria
479.9500122,Late delivery,98115,Francia
472.4500122,Late delivery,93905,Rusia
449.9599915,Late delivery,95122,Italia
439.9599915,Late delivery,92802,Francia
419.9599915,Late delivery,29483,España
409.9599915,Late delivery,85710,España
409.9599915,Late delivery,11203,Alemania
399.9599915,Late delivery,11203,Reino Unido
293.9500122,Late delivery,87111,Italia
284.9500122,Late delivery,90023,Rusia
269.9599915,Late delivery,93304,Irlanda
263.9599915,Late delivery,19134,Alemania
254.9600067,Late delivery,23223,España
245.9600067,Late delivery,92084,Italia
245.9600067,Late delivery,38127,Austria
239.9600067,Late delivery,92084,Italia
237.5,Late delivery,90023,Rusia
237.5,Late delivery,11375,Alemania
188.9499969,Late delivery,21206,Francia
173.9600067,Late delivery,44136,Austria
212.5,Late delivery,85301,Alemania
212.5,Late delivery,43207,Alemania
210,Late delivery,30044,Alemania
207.5,Late delivery,85710,España
187.5,Late delivery,97229,Francia
143.9600067,Late delivery,33016,Alemania
489.9500122,Late delivery,95127,República Dominicana
455.9500122,Late delivery,19067,Cuba
454.9500122,Late delivery,54601,Venezuela
439.9599915,Late delivery,85201,Brasil
424.9599915,Late delivery,60506,México
134.3600006,Late delivery,6010,México
414.9599915,Late delivery,44136,México
287.9500122,Late delivery,93906,México
283.4500122,Late delivery,60453,Brasil
278.9500122,Late delivery,75061,República Dominicana
269.9599915,Late delivery,28645,Honduras
224.9600067,Late delivery,91306,Nicaragua
247.5,Late delivery,43228,Nicaragua
197.9499969,Late delivery,44120,Brasil
245,Late delivery,11207,República Dominicana
245,Late delivery,60453,Brasil
185.9499969,Late delivery,2135,República Dominicana
225,Late delivery,92084,México
175.9600067,Late delivery,60625,México
112.5,Late delivery,2301,Brasil
124.9499969,Late delivery,10453,El Salvador
116.1999969,Late delivery,60625,México
220.9600067,Late delivery,91406,Nicaragua
148.75,Late delivery,85706,Filipinas
434.9599915,Late delivery,49423,Indonesia
299.9500122,Late delivery,78852,Australia
296.9500122,Late delivery,30047,Turquía
272.9500122,Late delivery,70122,India
269.9599915,Late delivery,76106,Filipinas
251.9600067,Late delivery,97303,India
251.9600067,Late delivery,2169,Singapur
239.9600067,Late delivery,7087,Filipinas
224.9600067,Late delivery,19067,India
245,Late delivery,93638,Indonesia
242.5,Late delivery,80110,Hong Kong
185.9499969,Late delivery,78852,Australia
