Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
9/26/2018 15:30,9/26/2018 15:40,Queens,Astoria Park,19th Street Field House,Chicken,Employee,Domestic,Healthy,2.5,Adult,Domestic,1-1-1620474730,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,52333
9/11/2018 14:30,9/11/2018 14:35,Queens,Flushing Meadows Corona Park,111th Entrance of Park,Dog,Employee,Domestic,Healthy,2,Adult,Domestic,1-1-1613573802,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,50316
4/1/2019 21:10,4/2/2019 15:30,Staten Island,Greenbelt Recreation Center,In parking lot outside of recreation center,Chicken,Employee,Domestic,Healthy,1,Adult,Domestic,1-1-1700423471,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,58946
10/5/2018 0:00,10/5/2018 14:00,Bronx,Van Cortlandt Park,Northern Tip of Tibbett's Brook,Alligator snapping turtle,"Conservancies/""Friends of"" Groups",Exotic,Healthy,1,Adult,Terrestrial Reptile or Amphibian,1.1.1623412770,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,1  43639
4/26/2019 12:30,4/26/2019 13:00,Brooklyn,Prospect Park,Lake,Canada Goose,"Conservancies/""Friends of"" Groups",Native,Injured,0.5,Adult,Birds,1-1-1710353433,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,61112
6/5/2019 14:15,6/5/2019 15:14,Queens,Rockaway Beach and Boardwalk,Rockaway Beach 97th St. PEP Command,Dove,Employee,Native,Injured,3,Adult,Birds,1-1-1727634700,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,65025
5/12/2019 11:00,5/12/2019 11:30,Queens,Cambria Playground,Francis Lewis Blvd and 120th Ave,Guineafowl,Central,Native,Injured,2,Adult,Birds,1-1-1715195702,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,62613
9/9/2018 11:55,9/20/2018 11:40,Queens,Baisley Pond Park,158th Street near water,Canada goose,Central,Native,Injured,1.75,Adult,Birds,1-1-1620277070,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,42056
8/11/2018 12:00,8/11/2018 13:45,Queens,Rockaway Beach and Boardwalk,Beach 128th St and surf,gull,Employee,Native,Injured,3.5,Adult,Birds,1-1-1597899511,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,37895
1/25/2019 12:30,1/25/2019 12:45,Staten Island,Clove Lakes Park,Brooks' Pond,Canada Goose,Public,Native,Injured,1.5,Adult,Birds,1-1-1668424932,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,53407
10/26/2018 12:10,10/26/2018 12:18,Staten Island,Greenbelt Recreation Center,On Brielle Ave near rec center,Cormorant,Employee,Native,Injured,1.5,Adult,Birds,1-1-1636059160,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,45589
10/9/2018 15:00,10/10/2018 13:30,Staten Island,Ocean Breeze Track & Field Athletic Complex,Behind building,Nashville warbler,Employee,Native,Injured,1.5,Adult,Birds,1-1-1626701370,Animal Care Center,1,TRUE,FALSE,,,FALSE,FALSE,44106
7/18/2018 11:45,7/18/2018 13:00,Staten Island,Ocean Breeze Track & Field Athletic Complex,,Canada Goose,Employee,Native,Injured,1.25,Adult,Birds,1-1-1590963990,Animal Care Center,1,TRUE,FALSE,,,FALSE,FALSE,34955
10/22/2018 11:50,10/22/2018 11:51,Staten Island,LaTourette Park & Golf Course,"On golf course by the beginning of course along Richmond Hill Road 40.576893,-74.1248599",White Tailed Deer,Central,Native,Injured,4,Adult,Deer,1-1-1625684892,Animal Care Center,1,FALSE,FALSE,,,TRUE,TRUE,
12/31/2018 13:00,12/31/2018 13:15,Bronx,Mullaly Park,West Recreation Center Gate,Chicken,Public,Domestic,Injured,1.5,Adult,Domestic,1-1-1661714382,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,51627
10/29/2018 12:00,10/29/2018 12:00,Brooklyn,Prospect Park,Lincoln Road/East Drive,Dog,Public,Domestic,Injured,1,Adult,Domestic,1-1-1636604010,Animal Care Center,1,TRUE,FALSE,,,TRUE,FALSE,45894
5/3/2019 11:25,5/3/2019 11:30,Queens,Alley Pond Park,Springfield Blvd and 74th Ave,Cat,Central,Domestic,Injured,2.5,Adult,Domestic,1-1-1716062206,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,61753
3/19/2019 9:52,3/19/2019 10:15,Bronx,Green Street,167th street and Cromwell avenue,Opossum,Central,Native,Injured,2,Adult,Small Mammals-non RVS,1-1-1692269890,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,57500
10/21/2018 8:45,10/21/2018 9:00,Brooklyn,Prospect Park,"Grand Army Plaza at East Drive and Flatbush Avenue 40.672331, -73.969383",Raccoon,Central,Native,Injured,2.5,Adult,Small Mammals-RVS,1-1-1629918870,Animal Care Center,1,FALSE,FALSE,,,TRUE,FALSE,45120
10/11/2018 13:50,10/11/2018 15:30,Brooklyn,Prospect Park,Behind Prospect Park Zoo on center drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Injured,1.5,Adult,Small Mammals-RVS,1-1-1626701421,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,44197
12/14/2018 8:45,12/14/2018 9:25,Manhattan,Riverside Park,"108st and Riverside Dr. behind the retaining wall   40.804917, -73.969238",Raccoon,Central,Native,Injured,1,Adult,Small Mammals-RVS,1-1-1655917421,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,50469
8/5/2018 9:30,8/5/2018 11:30,Manhattan,Central Park,100th St and CPW,raccoon,"Conservancies/""Friends of"" Groups",Native,Injured,1.5,Adult,Small Mammals-RVS,1-1-1597160393,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,37171
2/5/2019 16:40,2/5/2019 4:45,Queens,Forest Park,"Near entrance to Forest Park Shop 40.700530, -73.857716",Raccoon,Public,Native,Injured,2.5,Adult,Small Mammals-RVS,1-1-1674319575,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,54220
9/13/2018 11:30,9/13/2018 13:00,Queens,Cunningham Park,Back Parking Lot,Raccoon,Central,Native,Injured,2,Adult,Small Mammals-RVS,1-1-1617220980,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,
6/9/2019 12:50,6/9/2019 12:55,Staten Island,Silver Lake Park,Bridge,Red-Eared Slider,Employee,Invasive,Injured,2,Adult,Terrestrial Reptile or Amphibian,1-1-1724490913,Animal Care Center,2,TRUE,FALSE,,,FALSE,FALSE,65379 65380
1/3/2019 10:50,1/3/2019 11:00,Brooklyn,Fort Greene Park,Visitor Center,Cat,Employee,Domestic,No data,0.25,Adult,Small Mammals-RVS,1-11664217161,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,51754
10/31/2018 10:00,10/31/2018 10:15,Brooklyn,Prospect Park,Lullwater,Raccoon,Employee,Native,No data,0.25,Adult,Small Mammals-RVS,1-1-1636032393,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46078
8/24/2018 9:00,8/24/2018 9:38,Manhattan,Central Park,"East Drive and 84th Street, grassy area west of Museum, close to the road",Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,0.5,Adult,Small Mammals-RVS,1-1-16051904892,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,39259
8/21/2018 8:00,8/21/2018 8:50,Manhattan,Cenral Park,West Drive West 75th near Oak Bridge,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,1.5,Adult,Small Mammals-RVS,1-1-1604273585,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38876
8/16/2018 14:50,8/16/2018 15:10,Manhattan,Central Park,96th Street Transverse entrance/ near playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,No data,1,Adult,Small Mammals-RVS,1-1-1604583422,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38397
12/6/2018 9:04,12/6/2018 9:30,Queens,Little Bay Park,"Utopia Parkway and Cryders Lane  - 40.7887127, -73.7937753",Raccoon,Central,Native,No data,3,Adult,Small Mammals-RVS,1-1-1-6654050701,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,49901
11/22/2018 14:18,11/22/2018 14:25,Queens,Forest Park,"Forest Park Drive and Woodhaven Blvd, near Pink picnic area - 40.6989848, -73.8586221",Raccoon,Central,Native,No data,2.75,Adult,Small Mammals-RVS,1-1-1648309854,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47849
1/14/2019 15:00,1/14/2019 16:00,Brooklyn,Calvert Vaux Park,Behind soccer field,Swan,Public,Invasive,Unhealthy,1,Adult,Birds,1-1-1669806612,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,52666
9/8/2018 16:30,9/8/2018 16:35,Staten Island,Wolfe's Pond Park,Wolf's Pond Park Main Parking Lot,Banded Rock Pigeon,Employee,Domestic,Unhealthy,0.75,Adult,Birds,1-1-1613698091,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,41022
12/23/2018 15:47,12/23/2018 16:15,Staten Island,Willowbrook Park,Baseball Field 3,Canada Goose,Central,Native,Unhealthy,1.25,Adult,Birds,1-1-1661122564,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,51207
8/19/2018 16:30,8/19/2018 16:30,Staten Island,Midland Beach,Midland Beach off of Father Capodanno blvd between Midland and Hunter,Black backed gull,Employee,Native,Unhealthy,1.5,Adult,Birds,1-1-1606326980,Animal Care Center,1,TRUE,FALSE,,,FALSE,FALSE,38713
5/23/2019 14:00,5/24/2019 15:00,Bronx,Harding Park,"40.80788, -73.85810",Rooster,Employee,Domestic,Unhealthy,2.5,Adult,Domestic,1-1-1 7178168040,Animal Care Center,2,FALSE,FALSE,,,FALSE,FALSE,"63836, 63837"
10/21/2018 10:00,10/21/2018 10:15,Bronx,Pelham Bay Park,Orchard Beach Section 10,Cat,Employee,Domestic,Unhealthy,1,Adult,Domestic,,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,55861
9/25/2018 11:35,9/25/2018 11:40,Bronx,Story Playground,Middle of lawn,Chicken,Central,Domestic,Unhealthy,2.5,Adult,Domestic,1-1-1620277326,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,42510
8/14/2018 13:45,8/14/2018 13:45,Manhattan,Central Park,86St and reservoir,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Domestic,1-1-1601184605,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,38182
9/6/2018 14:15,9/6/2018 14:25,Queens,Baisley Pond Park,"Nearest cross Streets Barron St and 116 Rd, inside the handball court",Dog,Central,Domestic,Unhealthy,3,Adult,Domestic,1-1-1610274844,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,
1/7/2019 8:25,1/7/2019 8:54,Staten Island,Willowbrook Park,Park house,Chicken,Employee,Domestic,Unhealthy,1,Adult,Domestic,1-1-166495613,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,52029
11/18/2018 10:45,11/18/2018 11:10,Bronx,Taylor Playground,Inside of Playground,Red-Eared Slider,Employee,Exotic,Unhealthy,1.5,Adult,Other,1-1-1644145380,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47542
2/5/2019 9:15,2/5/2019 10:00,Manhattan,Randall's Island Park,"Harlem River Pathway, near Water's Edge Garden 40.788705, -73.932745",Opossum,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-non RVS,1-1-1674831801,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,54198
8/12/2018 11:30,8/12/2018 12:15,Manhattan,Central Park,79 Street transverse road,Raccoon,Other,Native,Unhealthy,1.5,Adult,Small Mammals-non RVS,1-1-1603241945,Animal Care Center,1,FALSE,FALSE,,,TRUE,FALSE,37962
8/12/2018 10:59,8/12/2018 11:45,Manhattan,Central Park,Central Park Zoo under the animal clock,raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-non RVS,1-1-1601184301,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,37961
8/12/2018 8:00,8/12/2018 11:15,Manhattan,Central Park,"Tennis house, south of 96 street transverse road",Raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-non RVS,1-1-1601561130,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,37960
7/26/2018 11:00,7/26/2018 11:00,Manhattan,Central Park,Dead Road and 72nd St Transverse,Squirrel,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-non RVS,1-1-1594035353,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,35900
10/23/2018 15:40,10/23/2018 15:58,Staten Island,Greenbelt Recreation Center,In the back of the tennis court 40592019 -74140253,Groundhog,Employee,Native,Unhealthy,2.5,Adult,Small Mammals-non RVS,1-1-1628208871,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,45357
3/28/2019 13:00,3/28/2019 16:00,Bronx,Orchard Beach,Between the volleyball and basketball courts,Skunk,Central,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1697120530,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,58463
3/15/2019 16:56,3/15/2019 17:01,Bronx,Concrete Plant Park,"40°49'37.8""N 73°53'05.8""W",Raccoon,Public,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1695217248,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,57180
1/7/2019 15:00,1/7/2019 17:00,Bronx,Pelham Bay Park,"40°51'15.5""N 73°49'21.3""W",Skunk,Observed by Ranger,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-161714670,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,52073
12/20/2018 10:00,12/20/2018 10:00,Bronx,Pelham Bay Park,"40°51'20.9""N 73°49'11.1""W 40.855799, -73.819753",Raccoon,Observed by Ranger,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1648890431,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,50902
11/12/2018 11:15,11/12/2018 11:30,Bronx,Pelham Bay Park,"Rodman's Neck (40.858166, -73.800918)",Raccoon,Central,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1640591282,Animal Care Center,1,TRUE,FALSE,,,FALSE,FALSE,47090
11/1/2018 10:30,11/1/2018 11:00,Bronx,Orchard Beach,"Hunter Island Closest to North West Area of Parking Lot (40.87157, -73.79466)",Raccoon,Employee,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46187
10/12/2018 9:00,10/12/2018 9:00,Bronx,Pelham Bay Park,Tennis Courts,Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1624804910,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,44221
9/8/2018 12:20,9/8/2018 12:45,Bronx,Pelham Bay Park,BBQ area by Wilkonson Ave and Bruckner Blvd,Raccoon,Central,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1614660042,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,49903
8/18/2018 14:00,8/18/2018 14:15,Bronx,Pelham Bay Park,By dog run,Raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1605107150,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46837
7/31/2018 16:40,7/31/2018 16:50,Bronx,Magenta Playground,Bronx Park East & Rosewood Avenue,Raccoon,Employee,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1597270330,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36629
12/6/2018 15:00,12/6/2018 16:00,Brooklyn,Prospect Park,"Lookout Hill (40.659106, -73.970568)",Raccoon,"Conservancies/""Friends of"" Groups",Domestic,Unhealthy,1.5,Adult,Small Mammals-RVS,,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,62669
5/14/2019 14:30,5/14/2019 14:30,Brooklyn,Marine Park,"Salt Marsh Nature Trail near park entrance (40.603795, -73.930020)",Raccoon,Observed by Ranger,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1714290707,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,62804
3/21/2019 14:00,3/21/2019 14:00,Brooklyn,Owl's Head Park,"Between skate park and basketball court (40.6407775,-74.0300068)",Raccoon,Central,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1697238230,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,57777
3/20/2019 9:00,3/20/2019 9:40,Brooklyn,Prospect Park,"Boathouse 40.661675, -73.965723",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.75,Adult,Small Mammals-RVS,1-1-1696307430,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,57642
3/18/2019 12:15,3/18/2019 12:00,Brooklyn,Green-Wood Cemetery,"Lake Ave (40.6521274,-73.9982851)",Raccoon,Observed by Ranger,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1690577742,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,57402
3/7/2019 12:00,3/7/2019 12:00,Brooklyn,Prospect Park,"Center Drive 40.660202,-73971005",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1689271461,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,56500
3/5/2019 15:00,3/5/2019 16:00,Brooklyn,Calvert Vaux Park,"40.5872241, -73.9920693",Raccoon,Central,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1689320261,Animal Care Center,1,TRUE,FALSE,,,FALSE,FALSE,72583
2/19/2019 13:00,2/19/2019 13:20,Brooklyn,Calvert Vaux Park,"Calvert Vaux Greenway near parking lot (40.584416, -73.991484)",Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1683913212,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,55229
2/18/2019 9:45,2/18/2019 10:00,Brooklyn,Prospect Park,"Center Drive/West Drive (40.6582102,-73.9739795)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1682001290,Animal Care Center,1,FALSE,FALSE,,,TRUE,FALSE,55148
2/12/2019 11:00,2/12/2019 11:30,Brooklyn,Prospect Park,"Garfield Tot Lot (40.670122, -73.971221)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1680054354,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,54677
1/2/2019 9:15,1/2/2019 9:30,Brooklyn,Sunset Park,"Behind the rec center, along the fence. (40.6469869,-74.0033383)",Raccoon,Central,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1639270780,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,51669
12/30/2018 11:00,12/30/2018 11:10,Brooklyn,Marine Park,"Handball Court at Lenape Playground(40.6060450, -73.9274791)",Raccoon,Public,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1662288470,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,65198
12/26/2018 11:00,12/26/2018 12:00,Brooklyn,Marine Park,"Burnett St. and Avenue X (40.5979068, -73.9280698)",Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1657709862,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,64768
12/13/2018 9:24,12/13/2018 9:35,Brooklyn,Marine Park,"Dead end of Gerritsen Avenue near entrance to Gerritsen Beach, 40.586810, -73.918398",Raccoon,Employee,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1653352370,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,50403
12/4/2018 10:30,12/4/2018 11:00,Brooklyn,Prospect Park,"40.661746,-73.963260  Ocean Avenue and Lincoln Road",Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1653352000,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,48727
12/2/2018 14:00,12/2/2018 15:00,Brooklyn,Prospect Park,"South Lullwater path near rustic shelter (40.6591304,-73.9675814)",Raccoon,Public,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1652350673,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,48623
11/30/2018 8:45,11/30/2018 9:00,Brooklyn,Prospect Park,(Bartel-Pritchard Circle) 40.66258.-73.978254,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1647526410,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,48397
11/29/2018 13:20,11/29/2018 13:20,Brooklyn,Prospect Park,"Villa Woods (40.666332, -73.974255)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1647544804,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,48355
11/26/2018 9:40,11/26/2018 9:40,Brooklyn,Prospect Park,"Bartel Pritchard Square (40.6610758, -73.9790777)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-16475333360,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,48089
11/26/2018 8:45,11/26/2018 9:30,Brooklyn,Prospect Park,"Peninsula (40.6572488, -73.9665746)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-16475333360,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,48088
11/22/2018 14:00,11/22/2018 14:05,Brooklyn,Prospect Park,"West Drive near southwest entrance at Coney Island Ave and Parkside Ave 40.652014, -73.971391",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1647492256,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47848
11/22/2018 9:30,11/22/2018 9:50,Brooklyn,Prospect Park,"Center Drive near Lookout Hill 40.6589715,-73.9714827",Raccoon,Central,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1648239575,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47846
11/20/2018 9:00,11/20/2018 10:00,Brooklyn,Prospect Park,Picnic House,Raccoon,Employee,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1647509001,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47717
11/19/2018 8:15,11/19/2018 8:45,Brooklyn,Prospect Park,"Peristyle  40.653175, -73.9676837",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-164416035,Animal Care Center,1,TRUE,FALSE,,,FALSE,FALSE,47622
11/19/2018 0:00,11/19/2018 0:00,Brooklyn,Prospect Park,"LeFrak Center at Lakeside (40.6567137, -73.9639433)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1642034892,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47653
