Program,Year,Period,State,ANSI,Affected by,Pct of Colonies Impacted,state_code
SURVEY,2016,JAN THRU MAR,Alabama,1,Disease,4.3,AL
SURVEY,2016,JAN THRU MAR,Alabama,1,Other,2.4,AL
SURVEY,2016,JAN THRU MAR,Alabama,1,Pesticides,8.1,AL
SURVEY,2016,JAN THRU MAR,Alabama,1,Pests_excl_Varroa,22,AL
SURVEY,2016,JAN THRU MAR,Alabama,1,Unknown,11.3,AL
SURVEY,2016,JAN THRU MAR,Alabama,1,Varroa_mites,24.2,AL
SURVEY,2016,APR THRU JUN,Alabama,1,Disease,0.3,AL
SURVEY,2016,APR THRU JUN,Alabama,1,Other,4.8,AL
SURVEY,2016,APR THRU JUN,Alabama,1,Pesticides,1.7,AL
SURVEY,2016,APR THRU JUN,Alabama,1,Pests_excl_Varroa,8.2,AL
SURVEY,2016,APR THRU JUN,Alabama,1,Unknown,5.4,AL
SURVEY,2016,APR THRU JUN,Alabama,1,Varroa_mites,9.6,AL
SURVEY,2016,JUL THRU SEP,Alabama,1,Disease,0,AL
SURVEY,2016,JUL THRU SEP,Alabama,1,Other,3.2,AL
SURVEY,2016,JUL THRU SEP,Alabama,1,Pesticides,3.8,AL
SURVEY,2016,JUL THRU SEP,Alabama,1,Pests_excl_Varroa,42,AL
SURVEY,2016,JUL THRU SEP,Alabama,1,Unknown,13.8,AL
SURVEY,2016,JUL THRU SEP,Alabama,1,Varroa_mites,11.7,AL
SURVEY,2016,OCT THRU DEC,Alabama,1,Disease,0.2,AL
SURVEY,2016,OCT THRU DEC,Alabama,1,Other,6.7,AL
SURVEY,2016,OCT THRU DEC,Alabama,1,Pesticides,2.4,AL
SURVEY,2016,OCT THRU DEC,Alabama,1,Pests_excl_Varroa,9.9,AL
SURVEY,2016,OCT THRU DEC,Alabama,1,Unknown,3.3,AL
SURVEY,2016,OCT THRU DEC,Alabama,1,Varroa_mites,12.3,AL
SURVEY,2015,JAN THRU MAR,Alabama,1,Disease,0,AL
SURVEY,2015,JAN THRU MAR,Alabama,1,Other,9.1,AL
SURVEY,2015,JAN THRU MAR,Alabama,1,Pesticides,2.2,AL
SURVEY,2015,JAN THRU MAR,Alabama,1,Pests_excl_Varroa,5.4,AL
SURVEY,2015,JAN THRU MAR,Alabama,1,Unknown,9.4,AL
SURVEY,2015,JAN THRU MAR,Alabama,1,Varroa_mites,10,AL
SURVEY,2015,APR THRU JUN,Alabama,1,Disease,0,AL
SURVEY,2015,APR THRU JUN,Alabama,1,Other,3.2,AL
SURVEY,2015,APR THRU JUN,Alabama,1,Pesticides,2.3,AL
SURVEY,2015,APR THRU JUN,Alabama,1,Pests_excl_Varroa,42.5,AL
SURVEY,2015,APR THRU JUN,Alabama,1,Unknown,4.1,AL
SURVEY,2015,APR THRU JUN,Alabama,1,Varroa_mites,16.7,AL
SURVEY,2015,JUL THRU SEP,Alabama,1,Disease,0,AL
SURVEY,2015,JUL THRU SEP,Alabama,1,Other,2.2,AL
SURVEY,2015,JUL THRU SEP,Alabama,1,Pesticides,2.6,AL
SURVEY,2015,JUL THRU SEP,Alabama,1,Pests_excl_Varroa,70.6,AL
SURVEY,2015,JUL THRU SEP,Alabama,1,Unknown,17.7,AL
SURVEY,2015,JUL THRU SEP,Alabama,1,Varroa_mites,63.1,AL
SURVEY,2015,OCT THRU DEC,Alabama,1,Disease,0.2,AL
SURVEY,2015,OCT THRU DEC,Alabama,1,Other,2.8,AL
SURVEY,2015,OCT THRU DEC,Alabama,1,Pesticides,0.2,AL
SURVEY,2015,OCT THRU DEC,Alabama,1,Pests_excl_Varroa,6.4,AL
SURVEY,2015,OCT THRU DEC,Alabama,1,Unknown,1.9,AL
SURVEY,2015,OCT THRU DEC,Alabama,1,Varroa_mites,3.1,AL
SURVEY,2019,JAN THRU MAR,Arizona,4,Disease,6.5,AZ
SURVEY,2019,JAN THRU MAR,Arizona,4,Other,8.4,AZ
SURVEY,2019,JAN THRU MAR,Arizona,4,Pesticides,16.2,AZ
SURVEY,2019,JAN THRU MAR,Arizona,4,Pests_excl_Varroa,7.9,AZ
SURVEY,2019,JAN THRU MAR,Arizona,4,Unknown,0.2,AZ
SURVEY,2019,JAN THRU MAR,Arizona,4,Varroa_mites,25.8,AZ
SURVEY,2018,JAN THRU MAR,Arizona,4,Disease,4.6,AZ
SURVEY,2018,JAN THRU MAR,Arizona,4,Other,7.9,AZ
SURVEY,2018,JAN THRU MAR,Arizona,4,Pesticides,15.3,AZ
SURVEY,2018,JAN THRU MAR,Arizona,4,Pests_excl_Varroa,4.3,AZ
SURVEY,2018,JAN THRU MAR,Arizona,4,Unknown,4.2,AZ
SURVEY,2018,JAN THRU MAR,Arizona,4,Varroa_mites,36.3,AZ
SURVEY,2018,APR THRU JUN,Arizona,4,Disease,32.8,AZ
SURVEY,2018,APR THRU JUN,Arizona,4,Other,14.3,AZ
SURVEY,2018,APR THRU JUN,Arizona,4,Pesticides,0.8,AZ
SURVEY,2018,APR THRU JUN,Arizona,4,Pests_excl_Varroa,7.2,AZ
SURVEY,2018,APR THRU JUN,Arizona,4,Unknown,4.1,AZ
SURVEY,2018,APR THRU JUN,Arizona,4,Varroa_mites,73.8,AZ
SURVEY,2018,JUL THRU SEP,Arizona,4,Disease,4.5,AZ
SURVEY,2018,JUL THRU SEP,Arizona,4,Other,15,AZ
SURVEY,2018,JUL THRU SEP,Arizona,4,Pesticides,3.8,AZ
SURVEY,2018,JUL THRU SEP,Arizona,4,Pests_excl_Varroa,2.3,AZ
SURVEY,2018,JUL THRU SEP,Arizona,4,Unknown,27.6,AZ
SURVEY,2018,JUL THRU SEP,Arizona,4,Varroa_mites,52.5,AZ
SURVEY,2018,OCT THRU DEC,Arizona,4,Disease,3.1,AZ
SURVEY,2018,OCT THRU DEC,Arizona,4,Other,7.1,AZ
SURVEY,2018,OCT THRU DEC,Arizona,4,Pesticides,0,AZ
SURVEY,2018,OCT THRU DEC,Arizona,4,Pests_excl_Varroa,8.3,AZ
SURVEY,2018,OCT THRU DEC,Arizona,4,Unknown,3,AZ
SURVEY,2018,OCT THRU DEC,Arizona,4,Varroa_mites,20.6,AZ
SURVEY,2017,JAN THRU MAR,Arizona,4,Disease,3.8,AZ
SURVEY,2017,JAN THRU MAR,Arizona,4,Other,6.5,AZ
SURVEY,2017,JAN THRU MAR,Arizona,4,Pesticides,1.7,AZ
SURVEY,2017,JAN THRU MAR,Arizona,4,Pests_excl_Varroa,2,AZ
SURVEY,2017,JAN THRU MAR,Arizona,4,Unknown,2.1,AZ
SURVEY,2017,JAN THRU MAR,Arizona,4,Varroa_mites,35.6,AZ
SURVEY,2017,APR THRU JUN,Arizona,4,Disease,19.7,AZ
SURVEY,2017,APR THRU JUN,Arizona,4,Other,20.4,AZ
SURVEY,2017,APR THRU JUN,Arizona,4,Pesticides,12.4,AZ
SURVEY,2017,APR THRU JUN,Arizona,4,Pests_excl_Varroa,15.9,AZ
SURVEY,2017,APR THRU JUN,Arizona,4,Unknown,0.7,AZ
SURVEY,2017,APR THRU JUN,Arizona,4,Varroa_mites,58.4,AZ
SURVEY,2017,JUL THRU SEP,Arizona,4,Disease,0.5,AZ
SURVEY,2017,JUL THRU SEP,Arizona,4,Other,12.4,AZ
SURVEY,2017,JUL THRU SEP,Arizona,4,Pesticides,1.1,AZ
SURVEY,2017,JUL THRU SEP,Arizona,4,Pests_excl_Varroa,0.4,AZ
SURVEY,2017,JUL THRU SEP,Arizona,4,Unknown,6.3,AZ
SURVEY,2017,JUL THRU SEP,Arizona,4,Varroa_mites,19.8,AZ
SURVEY,2017,OCT THRU DEC,Arizona,4,Disease,2.3,AZ
SURVEY,2017,OCT THRU DEC,Arizona,4,Other,4.1,AZ
SURVEY,2017,OCT THRU DEC,Arizona,4,Pesticides,1.6,AZ
SURVEY,2017,OCT THRU DEC,Arizona,4,Pests_excl_Varroa,4.2,AZ
SURVEY,2017,OCT THRU DEC,Arizona,4,Unknown,0.1,AZ
SURVEY,2017,OCT THRU DEC,Arizona,4,Varroa_mites,61.6,AZ
SURVEY,2016,JAN THRU MAR,Arizona,4,Disease,0,AZ
SURVEY,2016,JAN THRU MAR,Arizona,4,Other,6.5,AZ
SURVEY,2016,JAN THRU MAR,Arizona,4,Pesticides,7.7,AZ
SURVEY,2016,JAN THRU MAR,Arizona,4,Pests_excl_Varroa,2.8,AZ
SURVEY,2016,JAN THRU MAR,Arizona,4,Unknown,7.2,AZ
SURVEY,2016,JAN THRU MAR,Arizona,4,Varroa_mites,33.8,AZ
SURVEY,2016,APR THRU JUN,Arizona,4,Disease,17.2,AZ
SURVEY,2016,APR THRU JUN,Arizona,4,Other,17.4,AZ
SURVEY,2016,APR THRU JUN,Arizona,4,Pesticides,12,AZ
SURVEY,2016,APR THRU JUN,Arizona,4,Pests_excl_Varroa,47.5,AZ
SURVEY,2016,APR THRU JUN,Arizona,4,Unknown,3.5,AZ
SURVEY,2016,APR THRU JUN,Arizona,4,Varroa_mites,26.8,AZ
SURVEY,2016,JUL THRU SEP,Arizona,4,Disease,0.9,AZ
SURVEY,2016,JUL THRU SEP,Arizona,4,Other,13.4,AZ
SURVEY,2016,JUL THRU SEP,Arizona,4,Pesticides,13.5,AZ
SURVEY,2016,JUL THRU SEP,Arizona,4,Pests_excl_Varroa,1,AZ
SURVEY,2016,JUL THRU SEP,Arizona,4,Unknown,8.9,AZ
SURVEY,2016,JUL THRU SEP,Arizona,4,Varroa_mites,41.7,AZ
SURVEY,2016,OCT THRU DEC,Arizona,4,Disease,2.3,AZ
SURVEY,2016,OCT THRU DEC,Arizona,4,Other,4.3,AZ
SURVEY,2016,OCT THRU DEC,Arizona,4,Pesticides,6.5,AZ
SURVEY,2016,OCT THRU DEC,Arizona,4,Pests_excl_Varroa,15.5,AZ
SURVEY,2016,OCT THRU DEC,Arizona,4,Unknown,3.2,AZ
SURVEY,2016,OCT THRU DEC,Arizona,4,Varroa_mites,98.8,AZ
SURVEY,2015,JAN THRU MAR,Arizona,4,Disease,0.1,AZ
SURVEY,2015,JAN THRU MAR,Arizona,4,Other,1.8,AZ
SURVEY,2015,JAN THRU MAR,Arizona,4,Pesticides,0,AZ
SURVEY,2015,JAN THRU MAR,Arizona,4,Pests_excl_Varroa,20.5,AZ
SURVEY,2015,JAN THRU MAR,Arizona,4,Unknown,3.1,AZ
SURVEY,2015,JAN THRU MAR,Arizona,4,Varroa_mites,26.9,AZ
SURVEY,2015,APR THRU JUN,Arizona,4,Disease,0.5,AZ
SURVEY,2015,APR THRU JUN,Arizona,4,Other,28.2,AZ
SURVEY,2015,APR THRU JUN,Arizona,4,Pesticides,20.1,AZ
SURVEY,2015,APR THRU JUN,Arizona,4,Pests_excl_Varroa,32.1,AZ
SURVEY,2015,APR THRU JUN,Arizona,4,Unknown,0.3,AZ
SURVEY,2015,APR THRU JUN,Arizona,4,Varroa_mites,8.4,AZ
SURVEY,2015,JUL THRU SEP,Arizona,4,Disease,5.4,AZ
SURVEY,2015,JUL THRU SEP,Arizona,4,Other,7.6,AZ
SURVEY,2015,JUL THRU SEP,Arizona,4,Pesticides,17.3,AZ
SURVEY,2015,JUL THRU SEP,Arizona,4,Pests_excl_Varroa,24.8,AZ
SURVEY,2015,JUL THRU SEP,Arizona,4,Unknown,5.1,AZ
SURVEY,2015,JUL THRU SEP,Arizona,4,Varroa_mites,53.5,AZ
SURVEY,2015,OCT THRU DEC,Arizona,4,Disease,1.1,AZ
SURVEY,2015,OCT THRU DEC,Arizona,4,Other,0.5,AZ
SURVEY,2015,OCT THRU DEC,Arizona,4,Pesticides,3.5,AZ
SURVEY,2015,OCT THRU DEC,Arizona,4,Pests_excl_Varroa,1.7,AZ
SURVEY,2015,OCT THRU DEC,Arizona,4,Unknown,15.5,AZ
SURVEY,2015,OCT THRU DEC,Arizona,4,Varroa_mites,50.1,AZ
SURVEY,2019,JAN THRU MAR,Arkansas,5,Disease,3.3,AR
SURVEY,2019,JAN THRU MAR,Arkansas,5,Other,0.7,AR
SURVEY,2019,JAN THRU MAR,Arkansas,5,Pesticides,55.3,AR
SURVEY,2019,JAN THRU MAR,Arkansas,5,Pests_excl_Varroa,1.5,AR
SURVEY,2019,JAN THRU MAR,Arkansas,5,Unknown,2.9,AR
SURVEY,2019,JAN THRU MAR,Arkansas,5,Varroa_mites,19.5,AR
SURVEY,2018,JAN THRU MAR,Arkansas,5,Disease,1,AR
SURVEY,2018,JAN THRU MAR,Arkansas,5,Other,4.6,AR
SURVEY,2018,JAN THRU MAR,Arkansas,5,Pesticides,23,AR
SURVEY,2018,JAN THRU MAR,Arkansas,5,Pests_excl_Varroa,9.6,AR
SURVEY,2018,JAN THRU MAR,Arkansas,5,Unknown,13.9,AR
SURVEY,2018,JAN THRU MAR,Arkansas,5,Varroa_mites,21.1,AR
SURVEY,2018,APR THRU JUN,Arkansas,5,Disease,0.7,AR
SURVEY,2018,APR THRU JUN,Arkansas,5,Other,17,AR
SURVEY,2018,APR THRU JUN,Arkansas,5,Pesticides,2.2,AR
SURVEY,2018,APR THRU JUN,Arkansas,5,Pests_excl_Varroa,12.8,AR
SURVEY,2018,APR THRU JUN,Arkansas,5,Unknown,13.2,AR
SURVEY,2018,APR THRU JUN,Arkansas,5,Varroa_mites,30.9,AR
SURVEY,2018,JUL THRU SEP,Arkansas,5,Disease,0.1,AR
SURVEY,2018,JUL THRU SEP,Arkansas,5,Other,0.5,AR
SURVEY,2018,JUL THRU SEP,Arkansas,5,Pesticides,17.6,AR
SURVEY,2018,JUL THRU SEP,Arkansas,5,Pests_excl_Varroa,7.8,AR
SURVEY,2018,JUL THRU SEP,Arkansas,5,Unknown,0.6,AR
SURVEY,2018,JUL THRU SEP,Arkansas,5,Varroa_mites,29.9,AR
SURVEY,2018,OCT THRU DEC,Arkansas,5,Disease,0,AR
SURVEY,2018,OCT THRU DEC,Arkansas,5,Other,5.3,AR
SURVEY,2018,OCT THRU DEC,Arkansas,5,Pesticides,73.5,AR
SURVEY,2018,OCT THRU DEC,Arkansas,5,Pests_excl_Varroa,7.1,AR
SURVEY,2018,OCT THRU DEC,Arkansas,5,Unknown,2.2,AR
SURVEY,2018,OCT THRU DEC,Arkansas,5,Varroa_mites,82.8,AR
SURVEY,2017,JAN THRU MAR,Arkansas,5,Disease,0.1,AR
SURVEY,2017,JAN THRU MAR,Arkansas,5,Other,3,AR
SURVEY,2017,JAN THRU MAR,Arkansas,5,Pesticides,0.5,AR
SURVEY,2017,JAN THRU MAR,Arkansas,5,Pests_excl_Varroa,14.6,AR
SURVEY,2017,JAN THRU MAR,Arkansas,5,Unknown,1,AR
SURVEY,2017,JAN THRU MAR,Arkansas,5,Varroa_mites,31.5,AR
SURVEY,2017,APR THRU JUN,Arkansas,5,Disease,1.9,AR
SURVEY,2017,APR THRU JUN,Arkansas,5,Other,2.7,AR
SURVEY,2017,APR THRU JUN,Arkansas,5,Pesticides,3.9,AR
SURVEY,2017,APR THRU JUN,Arkansas,5,Pests_excl_Varroa,9.6,AR
SURVEY,2017,APR THRU JUN,Arkansas,5,Unknown,2.5,AR
SURVEY,2017,APR THRU JUN,Arkansas,5,Varroa_mites,19.4,AR
SURVEY,2017,JUL THRU SEP,Arkansas,5,Disease,0,AR
SURVEY,2017,JUL THRU SEP,Arkansas,5,Other,9.3,AR
SURVEY,2017,JUL THRU SEP,Arkansas,5,Pesticides,17,AR
SURVEY,2017,JUL THRU SEP,Arkansas,5,Pests_excl_Varroa,9.1,AR
SURVEY,2017,JUL THRU SEP,Arkansas,5,Unknown,2.3,AR
SURVEY,2017,JUL THRU SEP,Arkansas,5,Varroa_mites,61.4,AR
SURVEY,2017,OCT THRU DEC,Arkansas,5,Disease,26.6,AR
SURVEY,2017,OCT THRU DEC,Arkansas,5,Other,24.1,AR
SURVEY,2017,OCT THRU DEC,Arkansas,5,Pesticides,31,AR
SURVEY,2017,OCT THRU DEC,Arkansas,5,Pests_excl_Varroa,29.2,AR
SURVEY,2017,OCT THRU DEC,Arkansas,5,Unknown,0.4,AR
SURVEY,2017,OCT THRU DEC,Arkansas,5,Varroa_mites,37.5,AR
SURVEY,2016,JAN THRU MAR,Arkansas,5,Disease,0,AR
SURVEY,2016,JAN THRU MAR,Arkansas,5,Other,1.9,AR
SURVEY,2016,JAN THRU MAR,Arkansas,5,Pesticides,0.5,AR
SURVEY,2016,JAN THRU MAR,Arkansas,5,Pests_excl_Varroa,6.9,AR
SURVEY,2016,JAN THRU MAR,Arkansas,5,Unknown,8.1,AR
SURVEY,2016,JAN THRU MAR,Arkansas,5,Varroa_mites,57.4,AR
SURVEY,2016,APR THRU JUN,Arkansas,5,Disease,5.5,AR
SURVEY,2016,APR THRU JUN,Arkansas,5,Other,3.4,AR
SURVEY,2016,APR THRU JUN,Arkansas,5,Pesticides,0.1,AR
SURVEY,2016,APR THRU JUN,Arkansas,5,Pests_excl_Varroa,8.5,AR
SURVEY,2016,APR THRU JUN,Arkansas,5,Unknown,1.6,AR
SURVEY,2016,APR THRU JUN,Arkansas,5,Varroa_mites,84.9,AR
SURVEY,2016,JUL THRU SEP,Arkansas,5,Disease,0.4,AR
SURVEY,2016,JUL THRU SEP,Arkansas,5,Other,2.7,AR
SURVEY,2016,JUL THRU SEP,Arkansas,5,Pesticides,7.9,AR
SURVEY,2016,JUL THRU SEP,Arkansas,5,Pests_excl_Varroa,9,AR
SURVEY,2016,JUL THRU SEP,Arkansas,5,Unknown,0.3,AR
SURVEY,2016,JUL THRU SEP,Arkansas,5,Varroa_mites,80.7,AR
SURVEY,2016,OCT THRU DEC,Arkansas,5,Disease,0,AR
SURVEY,2016,OCT THRU DEC,Arkansas,5,Other,1.1,AR
SURVEY,2016,OCT THRU DEC,Arkansas,5,Pesticides,1.3,AR
SURVEY,2016,OCT THRU DEC,Arkansas,5,Pests_excl_Varroa,4.8,AR
SURVEY,2016,OCT THRU DEC,Arkansas,5,Unknown,3.3,AR
SURVEY,2016,OCT THRU DEC,Arkansas,5,Varroa_mites,21.1,AR
SURVEY,2015,JAN THRU MAR,Arkansas,5,Disease,1.5,AR
SURVEY,2015,JAN THRU MAR,Arkansas,5,Other,1,AR
SURVEY,2015,JAN THRU MAR,Arkansas,5,Pesticides,3.4,AR
SURVEY,2015,JAN THRU MAR,Arkansas,5,Pests_excl_Varroa,11.4,AR
SURVEY,2015,JAN THRU MAR,Arkansas,5,Unknown,1,AR
SURVEY,2015,JAN THRU MAR,Arkansas,5,Varroa_mites,17.6,AR
SURVEY,2015,APR THRU JUN,Arkansas,5,Disease,7,AR
SURVEY,2015,APR THRU JUN,Arkansas,5,Other,27.4,AR
SURVEY,2015,APR THRU JUN,Arkansas,5,Pesticides,22.6,AR
SURVEY,2015,APR THRU JUN,Arkansas,5,Pests_excl_Varroa,63.4,AR
SURVEY,2015,APR THRU JUN,Arkansas,5,Unknown,9.3,AR
SURVEY,2015,APR THRU JUN,Arkansas,5,Varroa_mites,65.9,AR
SURVEY,2015,JUL THRU SEP,Arkansas,5,Disease,0.9,AR
SURVEY,2015,JUL THRU SEP,Arkansas,5,Other,1.8,AR
SURVEY,2015,JUL THRU SEP,Arkansas,5,Pesticides,5,AR
SURVEY,2015,JUL THRU SEP,Arkansas,5,Pests_excl_Varroa,32.4,AR
SURVEY,2015,JUL THRU SEP,Arkansas,5,Unknown,1.4,AR
SURVEY,2015,JUL THRU SEP,Arkansas,5,Varroa_mites,69.2,AR
SURVEY,2015,OCT THRU DEC,Arkansas,5,Disease,0.1,AR
SURVEY,2015,OCT THRU DEC,Arkansas,5,Other,8.5,AR
SURVEY,2015,OCT THRU DEC,Arkansas,5,Pesticides,8.2,AR
SURVEY,2015,OCT THRU DEC,Arkansas,5,Pests_excl_Varroa,9.7,AR
SURVEY,2015,OCT THRU DEC,Arkansas,5,Unknown,0.6,AR
SURVEY,2015,OCT THRU DEC,Arkansas,5,Varroa_mites,38.1,AR
SURVEY,2019,JAN THRU MAR,California,6,Disease,6.4,CA
SURVEY,2019,JAN THRU MAR,California,6,Other,8.7,CA
SURVEY,2019,JAN THRU MAR,California,6,Pesticides,12.3,CA
SURVEY,2019,JAN THRU MAR,California,6,Pests_excl_Varroa,13.4,CA
SURVEY,2019,JAN THRU MAR,California,6,Unknown,5.6,CA
SURVEY,2019,JAN THRU MAR,California,6,Varroa_mites,43.5,CA
SURVEY,2018,JAN THRU MAR,California,6,Disease,4.8,CA
SURVEY,2018,JAN THRU MAR,California,6,Other,8,CA
SURVEY,2018,JAN THRU MAR,California,6,Pesticides,11.5,CA
SURVEY,2018,JAN THRU MAR,California,6,Pests_excl_Varroa,11.3,CA
SURVEY,2018,JAN THRU MAR,California,6,Unknown,4.9,CA
SURVEY,2018,JAN THRU MAR,California,6,Varroa_mites,41.3,CA
SURVEY,2018,APR THRU JUN,California,6,Disease,11.1,CA
SURVEY,2018,APR THRU JUN,California,6,Other,9,CA
SURVEY,2018,APR THRU JUN,California,6,Pesticides,13.7,CA
SURVEY,2018,APR THRU JUN,California,6,Pests_excl_Varroa,10.2,CA
SURVEY,2018,APR THRU JUN,California,6,Unknown,5,CA
SURVEY,2018,APR THRU JUN,California,6,Varroa_mites,41.5,CA
SURVEY,2018,JUL THRU SEP,California,6,Disease,4.5,CA
SURVEY,2018,JUL THRU SEP,California,6,Other,12,CA
SURVEY,2018,JUL THRU SEP,California,6,Pesticides,17.8,CA
SURVEY,2018,JUL THRU SEP,California,6,Pests_excl_Varroa,6.6,CA
SURVEY,2018,JUL THRU SEP,California,6,Unknown,3.6,CA
SURVEY,2018,JUL THRU SEP,California,6,Varroa_mites,57.3,CA
SURVEY,2018,OCT THRU DEC,California,6,Disease,9.8,CA
SURVEY,2018,OCT THRU DEC,California,6,Other,9.3,CA
SURVEY,2018,OCT THRU DEC,California,6,Pesticides,11.6,CA
SURVEY,2018,OCT THRU DEC,California,6,Pests_excl_Varroa,16.6,CA
SURVEY,2018,OCT THRU DEC,California,6,Unknown,7.1,CA
SURVEY,2018,OCT THRU DEC,California,6,Varroa_mites,44.1,CA
SURVEY,2017,JAN THRU MAR,California,6,Disease,7.5,CA
SURVEY,2017,JAN THRU MAR,California,6,Other,6.6,CA
SURVEY,2017,JAN THRU MAR,California,6,Pesticides,9.2,CA
SURVEY,2017,JAN THRU MAR,California,6,Pests_excl_Varroa,12.6,CA
SURVEY,2017,JAN THRU MAR,California,6,Unknown,6.3,CA
SURVEY,2017,JAN THRU MAR,California,6,Varroa_mites,37.7,CA
SURVEY,2017,APR THRU JUN,California,6,Disease,3.1,CA
SURVEY,2017,APR THRU JUN,California,6,Other,4.8,CA
SURVEY,2017,APR THRU JUN,California,6,Pesticides,13,CA
SURVEY,2017,APR THRU JUN,California,6,Pests_excl_Varroa,7.7,CA
SURVEY,2017,APR THRU JUN,California,6,Unknown,3.4,CA
SURVEY,2017,APR THRU JUN,California,6,Varroa_mites,38,CA
SURVEY,2017,JUL THRU SEP,California,6,Disease,5.6,CA
SURVEY,2017,JUL THRU SEP,California,6,Other,10.1,CA
SURVEY,2017,JUL THRU SEP,California,6,Pesticides,13.4,CA
SURVEY,2017,JUL THRU SEP,California,6,Pests_excl_Varroa,15.8,CA
SURVEY,2017,JUL THRU SEP,California,6,Unknown,3.6,CA
SURVEY,2017,JUL THRU SEP,California,6,Varroa_mites,42.3,CA
SURVEY,2017,OCT THRU DEC,California,6,Disease,7.4,CA
SURVEY,2017,OCT THRU DEC,California,6,Other,17.1,CA
SURVEY,2017,OCT THRU DEC,California,6,Pesticides,17,CA
