LICENSE_NBR,LIC_STATUS,BUSINESS_NAME,BUSINESS_NAME2,BUILDING,STREET,CITY,STATE,ZIP,SWC_TYPE,SWC_SQ_FT,SWC_TABLES,SWC_CHAIRS,DOHMH,LATITUDE,LONGITUDE,COMMUNITY_DISTRICT,CITY_COUNCIL_DISTRICT,CD_URL,APP_ID,APP_SWC_TYPE,APP_SQ_FT,APP_TABLES,APP_CHAIRS,APP_STATUS,APP_STATUS_DATE,EXPIRATION_DATE,APP_TOO_DATE,SUBMIT_DATE,INTAKE,INTAKE_DD,DPQA,SEND_PACKAGE_DD,CP,CP_DD,CB,CB_DD,HEARING,HEARING_DD,HEARING_PUBLIC,HEARING_PUBLIC_DD,CC,CC_DD,MOO,MOO_DD,ISSUANCE,ISSUANCE_DD
2021276-DCA,Active,CACTUS PEAR LLC,PLAYA BETTY'S,320,AMSTERDAM AVE,NEW YORK,NY,10023,Unenclosed,474,18,54,50032643,40.780879744942546,-73.98025235626231,107,6,http://www.nyc.gov/mcb7,26674-2019-RSWC,Unenclosed,474,18,54,Application Review Completed,10/09/2019,09/15/2021,,09/16/2019,Ready For Review,09/16/2019,Approved,,Proceed,10/09/2019,Recommend Approval,10/09/2019,Waived,10/09/2019,,,Approved,10/09/2019,Approved,10/09/2019,Issued,10/09/2019
2076184-DCA,Active,"CAFE FORTE, INC",CLUB FORTE,619,SAINT JOHNS PL,BROOKLYN,NY,11238,Unenclosed,207,10,20,50073239,40.67259027278749,-73.95767044215347,308,35,http://www.brooklyncb8.org/,10090-2018-ASWC,Unenclosed,207,10,20,Application Review Completed,10/03/2018,12/15/2020,,05/14/2018,Ready For Review,05/16/2018,Approved,05/16/2018,Pending Review,05/16/2018,Recommend Approval,07/26/2018,Recommendation Issued,07/26/2018,SWC Public Hearing,07/04/2018,Review Period Expired,08/16/2018,Pending Review,08/16/2018,Issued,10/03/2018
2088124-DCA,Inactive,THE BEE FACTORY LLC,BISKOTI,3720,30TH AVE,ASTORIA,NY,11103,Unenclosed,703,36,72,,40.764160222493736,-73.91622443044764,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,33412-2019-RSWC,Unenclosed,703,36,72,Pending Review,03/09/2020,06/09/2020,06/09/2020,12/17/2019,Ready For Review,11/22/2019,Issued Temp Op Letter,11/26/2019,Pending Review,11/26/2019,Review Period Expired,01/24/2020,Waived,01/24/2020,,,Review Period Expired,02/14/2020,Pending Review,,Pending Review,
2023400-DCA,Inactive,PB HUDSON LLC,PIZZETTERIA BRUNETTI,626,HUDSON ST,NEW YORK,NY,10014,Unenclosed,54,4,8,50002470,40.73829934754088,-74.00555712857506,102,3,http://www.nyc.gov/manhattancb2,1146-2018-RSWC,Unenclosed,54,4,8,Application Review Completed,06/27/2018,12/15/2019,,01/22/2018,Ready For Review,01/22/2018,Approved,01/22/2018,,,Review Period Expired,03/14/2018,Waived,03/15/2018,,,Review Period Expired,04/05/2018,Approved,06/27/2018,Issued,06/27/2018
2095010-DCA,Inactive,CPW REST CORP.,LILLY'S COCKTAIL & WINE BAR,50,W 72ND ST,NEW YORK,NY,10023,Unenclosed,183,8,16,50095456,40.77705042272612,-73.97796074494948,107,6,http://www.nyc.gov/mcb7,2064-2020-ASWC,Unenclosed,183,8,16,Pending Review,03/03/2020,04/01/2020,04/01/2020,03/03/2020,Ready For Review,03/03/2020,Issued Temp Op Letter,03/03/2020,Pending Review,03/03/2020,Pending Review,03/03/2020,Pending Review,03/03/2020,,,Pending Review,03/03/2020,Pending Review,03/03/2020,Pending Review,
2081201-DCA,Active,BOXERS WASHINGTON HEIGHTS LLC,BOXERS,3820,BROADWAY,NEW YORK,NY,10032,Unenclosed,569,24,48,,40.835331222391154,-73.9436646574622,112,7,http://www.nyc.gov/html/mancb12/html/home/home.shtml,17114-2018-ASWC,Unenclosed,569,24,48,Application Review Completed,03/19/2019,04/15/2021,,11/07/2018,Ready For Review,11/07/2018,Approved,11/07/2018,,,Review Period Expired,01/09/2019,Recommendation Issued,01/09/2019,SWC Public Hearing,12/26/2018,Review Period Expired,02/14/2019,,,Issued,03/19/2019
2032727-DCA,Active,"OFF CUTS, LLC",,19,GREENWICH AVE,NEW YORK,NY,10014,Unenclosed,65,4,8,50043664,40.734454082706414,-74.00003247485124,102,3,http://www.nyc.gov/manhattancb2,17837-2019-RSWC,Unenclosed,65,4,8,Application Review Completed,09/18/2019,04/15/2021,,04/15/2019,Ready For Review,04/15/2019,Approved,04/15/2019,,,Review Period Expired,06/04/2019,Waived,06/04/2019,,,Review Period Expired,06/25/2019,Approved,09/18/2019,Issued,09/18/2019
2074660-DCA,Active,KUBBEH LLC,KUBEH,464,AVE OF THE AMERICAS,NEW YORK,NY,10011,Unenclosed,151,8,16,50063201,40.7353955166232,-73.99804787302745,102,3,http://www.nyc.gov/manhattancb2,4997-2018-ASWC,Unenclosed,151,8,16,Application Review Completed,08/30/2018,12/15/2020,,03/14/2018,Ready For Review,04/16/2018,Approved,04/16/2018,,,Review Period Expired,06/06/2018,Recommendation Issued,06/28/2018,SWC Public Hearing,06/06/2018,Review Period Expired,07/19/2018,Approved,08/30/2018,Issued,08/30/2018
2075383-DCA,Active,"4 EARTH TACOS, LLC",,1568,3RD AVE,NEW YORK,NY,10128,Unenclosed,277,12,25,50075290,40.780353148168665,-73.95312453947234,108,5,http://www.cb8m.com/,6882-2018-ASWC,Unenclosed,277,12,25,Application Review Completed,10/01/2018,09/15/2020,,04/06/2018,Ready For Review,04/12/2018,Approved,04/16/2018,Pending Review,04/16/2018,Review Period Expired,06/06/2018,Recommendation Issued,07/11/2018,SWC Public Hearing,06/06/2018,Review Period Expired,08/01/2018,Pending Review,08/01/2018,Issued,10/01/2018
,Inactive,LULIANO'S TRATTORIA CORP,,7902,3RD AVE,BROOKLYN,NY,11209,Unenclosed,395,12,24,50088091,40.628447309707106,-74.02903323682598,310,43,http://www.bkcb10.org/,13642-2019-ASWC,Unenclosed,395,12,24,Pending Review,12/27/2019,,,12/12/2019,Ready For Review,12/27/2019,Review Completed,12/27/2019,Pending Review,12/27/2019,Recommend Approval,01/31/2020,Pending Review,,SWC Public Hearing,02/12/2020,Pending Review,,Pending Review,,Pending Review,
1376493-DCA,Active,MOTTSU CUISINE INC.,MOTTSU,285,MOTT ST,NEW YORK,NY,10012,Unenclosed,86,6,12,41528086,40.724292867152215,-73.99452341024038,102,1,http://www.nyc.gov/manhattancb2,14807-2018-RSWC,Unenclosed,86,6,12,Application Review Completed,04/02/2019,09/15/2020,,09/21/2018,Ready For Review,09/21/2018,Approved,09/21/2018,,,Recommend Approval,11/02/2018,Waived,11/14/2018,,,Review Period Expired,12/05/2018,Approved,04/02/2019,Issued,04/02/2019
2033303-DCA,Active,VEGG 58TH LLC,MASSERIA DEI VINI,889,9TH AVE,NEW YORK,NY,10019,Unenclosed,130,8,16,50018100,40.76853195667906,-73.98555573719841,104,3,http://www.nyc.gov/mcb4,12141-2018-RSWC,Unenclosed,130,8,16,Pending Review,06/05/2020,09/05/2020,09/05/2020,08/31/2018,Ready For Review,09/05/2018,Issued Temp Op Letter,09/05/2018,Pending Review,09/05/2018,Review Period Expired,11/01/2018,Waived,11/01/2018,,,Review Period Expired,11/22/2018,Pending Review,,Pending Review,
1073015-DCA,Active,1274 AMSTERDAM TRATTORIA INC.,,1274,AMSTERDAM AVE,NEW YORK,NY,10027,Unenclosed,314,10,25,40813994,40.81130186964057,-73.95805906954875,109,7,http://www.cb9m.org,16340-2019-RSWC,Unenclosed,314,10,25,Application Review Completed,07/29/2019,04/15/2021,,04/01/2019,Ready For Review,04/01/2019,Approved,04/01/2019,,,Review Period Expired,05/21/2019,Waived,05/21/2019,,,Review Period Expired,06/11/2019,Approved,07/29/2019,Issued,07/29/2019
2095272-DCA,Inactive,LAMARCA INC.,,161,E 22ND ST,NEW YORK,NY,10010,Enclosed,142,5,10,40887926,40.73853723119184,-73.98449411243489,106,2,http://cbsix.org,2361-2020-ASWC,Enclosed,142,5,10,Pending Review,03/11/2020,04/11/2020,04/11/2020,03/11/2020,Ready For Review,03/11/2020,Issued Temp Op Letter,03/11/2020,Pending Review,03/11/2020,Pending Review,03/11/2020,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
1277876-DCA,Active,"LA SCALA RESTAURANT, LLC",FIVE NAPKIN BURGER,630,9TH AVE,NEW YORK,NY,10036,Unenclosed,455,11,34,41313395,40.759914044317604,-73.99130785190782,104,3,http://www.nyc.gov/mcb4,13038-2018-RSWC,Unenclosed,455,11,34,Application Review Completed,03/22/2019,09/15/2020,,09/14/2018,Ready For Review,09/14/2018,Approved,09/14/2018,,,Review Period Expired,11/14/2018,Waived,11/14/2018,,,Review Period Expired,12/05/2018,Approved,03/22/2019,Issued,03/22/2019
2085106-DCA,Active,TOXOTIS LLC,,8402,3RD AVE,BROOKLYN,NY,11209,Unenclosed,390,19,38,50087999,40.624977480440684,-74.03063119233988,310,43,http://www.bkcb10.org/,995-2019-ASWC,Unenclosed,390,19,38,Application Review Completed,07/05/2019,09/15/2021,,01/31/2019,Ready For Review,01/31/2019,Approved,02/01/2019,,,Recommend Approval,04/24/2019,Recommendation Issued,04/24/2019,SWC Public Hearing,03/20/2019,Review Period Expired,05/15/2019,Approved,07/05/2019,Issued,07/05/2019
1311304-DCA,Active,IFETA CORP.,,4115,31ST AVE,ASTORIA,NY,11103,Unenclosed,144,6,16,41372224,40.760871730203846,-73.9158278844194,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,2621-2020-RSWC,Unenclosed,144,6,16,Pending Review,06/05/2020,09/05/2020,09/05/2020,02/04/2020,Ready For Review,02/04/2020,Issued Temp Op Letter,02/11/2020,Pending Review,02/04/2020,Pending Review,02/11/2020,Pending Review,,SWC Public Hearing,04/01/2020,Pending Review,,Pending Review,,Pending Review,
0895586-DCA,Active,M.B.R.P. REST. INC.,THE STUMBLE INN,1454,2ND AVE,NEW YORK,NY,10021,Enclosed,265,12,25,40395892,40.77115407019879,-73.95639112062543,108,5,http://www.cb8m.com/,18756-2019-RSWC,Enclosed,265,12,25,Application Review Completed,12/04/2019,05/15/2021,,04/26/2019,Ready For Review,04/26/2019,Approved,05/01/2019,Proceed,07/30/2019,Recommend Approval,07/31/2019,Waived,09/24/2019,,,Review Period Expired,10/15/2019,Approved,12/04/2019,Issued,12/04/2019
2009331-DCA,Inactive,TATANE CORP.,FIAT CAFE,203,MOTT ST,NEW YORK,NY,10012,Unenclosed,52,2,4,41484499,40.72147953627169,-73.99559871049969,102,1,http://www.nyc.gov/manhattancb2,3573-2020-RSWC,Unenclosed,52,2,4,Pending Review,02/20/2020,04/15/2020,,02/20/2020,Ready For Review,02/20/2020,Under Review,02/20/2020,Pending Review,02/20/2020,Pending Review,02/20/2020,Pending Review,,SWC Public Hearing,04/08/2020,Pending Review,,Pending Review,,Pending Review,
2035686-DCA,Active,GFLC MARKET LLC,,114,NASSAU AVE,BROOKLYN,NY,11222,Unenclosed,245,10,19,50010628,40.72460768545206,-73.94756807663808,301,33,http://www.nyc.gov/brooklyncb1,13068-2018-RSWC,Unenclosed,245,10,19,Application Review Completed,05/06/2019,09/15/2020,05/31/2019,09/14/2018,Ready For Review,09/14/2018,Approved,09/17/2018,,,Review Period Expired,11/14/2018,Waived,11/14/2018,,,Review Period Expired,12/05/2018,Approved,05/06/2019,Issued,05/06/2019
0852766-DCA,Active,LAMARCA INC.,LAMARCA CHEESE SHOP,161,E 22ND ST,NEW YORK,NY,10010,Enclosed,142,5,10,40887926,40.73837250138306,-73.98416577462577,106,2,http://cbsix.org,10795-2014-RSWC,Enclosed,142,5,10,Application Review Completed,05/12/2020,04/30/2020,04/30/2020,05/30/2017,Ready For Review,05/07/2014,Process Completed,05/16/2014,Proceed,04/22/2020,Recommend Approval,04/22/2020,Recommendation Issued,04/22/2020,SWC Public Hearing,06/10/2020,,,,,,
2059063-DCA,Active,"Kio Restaurant, LLC.",Khe-Yo,157,DUANE ST,NEW YORK,NY,10013,Small Unenclosed,74,3,6,50001638,40.71690103561221,-74.0086648943987,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,25532-2019-RSWC,Small Unenclosed,74,3,6,Application Review Completed,12/06/2019,09/15/2021,,08/07/2019,Ready For Review,08/07/2019,Approved,08/07/2019,,,Review Period Expired,09/24/2019,Waived,09/24/2019,,,Review Period Expired,10/15/2019,Approved,12/06/2019,Issued,12/06/2019
