Hotelid,userid,reviewtext,Date,NoOfReaders,HelpfulToNoOfreaders,Value_rating,Rooms_rating,Location_rating,Cleanliness_rating,Checkin_rating,Service_rating,Businessservice_rating,AverageOverallRatingOfHotel,AveragePricing
hotel_101,hotel_7042,"fine choice for seatac The lobby is attractive but a bit small and noisy. The room itself seemed newly redecorated/remodeled. It was not too big but had a very comfortable king bed with lovely duvet and many pillows. The bathroom was luxury level with granite countertops, attractive large framed mirror. There is a free computer off the lobby for printing boarding passes. The Hilton is a block away so you can easily walk over for their restaurant. It is a large steak house type place but there are other choices as well. As noted here, the parking is a ripoff. We dropped off our rental car early to avoid the overnight charge.",13-Jun-07,1,1,1,1,1,1,1,1,1,3.5,$245 
hotel_101,hotel_9805,"Great value, looking for a nice hotel. not expensive, nice service, great looking lodge, but old / outdated rooms. this is the place for you. Try the breakfast. Great place to stay if you are coming in the night before and going to an alaska cruise out of seattle. Take the car service to the terminal. Great service and well priced.",30-May-07,0,0,6,3,6,4,6,5,6,3.5,$245 
hotel_101,hotel_3038,"Very nice but expensive parking This hotel is very nicely renovated with a modern bar and beautiful indoor pool in the treed atrium. The staff was very friendly and helpful. The rooms are immaculately clean and the beds are extremely comfortable due to the nice linens and down pillows. My only concern was the expensive parking. It will run you $16 per day which I expect in L.A., but not Seattle. Other than that we had a wonderful stay and good food in the restaurant.",27-May-07,1,1,4,6,6,6,6,6,4,3.5,$245 
hotel_101,hotel_8402,"Very Happy With My Stay This property has not gotten rave reviews, but I wanted to sleep on aRevive bed so gave them a try. We arrived after 10 pm very tired and were greeted by Eric at the front desk and he found us the 2 rooms wewanted and even took us up. We came down and had dinner in the bar, ordering from the dining room menu. We had very good food. I'll return to stay a night just for the horseradish crusted salmon. We faced the very pretty atrium and didn't hear noise until 9 am. The reception area downstairs is comfy and has a warm feeling. Not like the # 1 ranked hotel I stayed in over Christmas. That was a cold uninviting space. I don't know if the one elevator to the 3rd floor and above would be a problem when the hotel is crowded. Maybe I missed another elevator. All in all, we had a wonderful. comfortable relaxing stay and I'll go back. The rooms are just as nice as the Marriott Waterfront as far as comfort goes. I'm hooked on those beds.This is a great place for fussy older women, young men that have to travel with their mother( the fussy old woman), and families would love it.",28-Apr-07,3,3,6,6,6,6,6,6,1,3.5,$245 
hotel_101,hotel_8906,"Nickel and Dimed to death. The hotel is nice and conveniently located if you're flying out of SeaTac.It's also incredibly expensive for a $200 bed for the night. Parking will run you $16 to find your own place in an otherwise unsecured lot....$52 if you want the valet to do it for you.If you're just staying at the hotel/airport area, make good use of the airport shuttle.Internet connection? You'll pay by the day. Want light? forget it. You'll be dim watt bulbed to the point where you're wondering if they stock flashlights. Water pressure? None. And I was on the 1st floor. Shower was warm, but not hot. I'm all for environmental consideration, but don't make me stumble in the dark or take a cold shower! Shaving your legs in either environment becomes a bloody mess. Literally.The bed was actually incredibly comfortable. Good thing, because the walls and windows are not insulated against airport noise, so ask for an inside room.",20-Apr-07,3,3,3,5,5,6,5,1,3,3.5,$245 
hotel_101,hotel_10390,"Extraordinaily Positive Staff I stayed March 4th and wasn't expecting a lot from this airport hotel. As someone that works for a firm that has gone through the Ritz Carlton seminar, I'm sure this Marriott (which owns Ritz) had its employees go through this process.The room was fine, great pool, decent gym, frequent shuttle to the airport...all that was great. The free Internet with printer is a nice touch as well.Every single employee was amazingly friendly and solicitious - even when I was kind of lost someone would always go out of their way to offer help.There is a lot of construction going on which should be completed soon but it didn't negatively affect me.Good job, Marriott.",13-Mar-07,4,4,5,5,4,6,6,6,6,3.5,$245 
hotel_101,hotel_7842,"Birthday party fun!! We stayed here overnite, one night for my daughter's 16th birthday. Myself ,my daughter and two other friends of hers....We loved the room, two queen beds, one hide a bed(it was surpisingly comfortable!!) And the pool area, so beautiful and relaxing...while the girls swam I rested on one of the chaise lounges....We were swimming at night and they had the atrium area and pool all lit up with lights...So fabulous! They were in a state of remodel in lobby area and some of walkways and corridors to room halls but was not noisy or inconvenient in any way...We live in local area but treat ourselves to this hotel every once in awhile, we are always very pleased with service and amenities....Stay here...you won't be dissapointed!",3-Mar-07,1,1,1,1,1,1,1,1,1,3.5,$245 
hotel_101,hotel_7474,"Excellent stay! We stayed at the hotel for one night and had an excellent stay. They put us in a room on the concierge floor for being a Marriott Rewards Silver member. All of our requests (room with a view of Mt. Rainer, toothpaste, rollaway) were accommodated. The renovated room looked great with comfortable beds and new bedding. We loved the look and feel of the swimming pool/hot tub area (as if we were outdoors in the tropics), and enjoyed the warm water. The food at lunch was very delicious. The hotel is 20 minutes away from downtown Seattle. Note that the lobby is currently being renovated and we needed to walk through a tent to get inside the building and that registration was in the business center.",16-Jan-07,0,0,1,1,1,1,1,1,1,3.5,$245 
hotel_101,hotel_9746,"Great business trip hotel The hotel is somewhat dated but the rooms are very nice and recently remodeled with new furniture, carpet and bedding. The beds have duvet covers and are very clean. Bathrooms were also part of the remodel with granite countertops and new tile and fixtures. I stayed here for two weeks and got to know the hotel very well. The airport side of the hotel is very loud with aircraft noise throughout the night, I had to change to an inside room to get some sleep. The lobby is very dated and needs to be remodeled. Parking is a real problem, the room key does not allow you access out of the parking lot, so every person must stop at the attendant which causes a huge backup at peak times ($14 for this horrible service). The VIP lounge is nice and the staff is very friendly. The inside pool is heated and huge, nice exercise facility. My two week experience was nice, this would be a great hotel if Marriott would spend some money to update the lobby, bar, restaurant and parking access using a card reader.",12-Dec-06,4,3,5,5,5,5,5,5,5,3.5,$245 
hotel_101,hotel_5911,"Sleep, Park and Fly We parked our SUV within 50ft. of the front lobby under two bright lights. We were told it was secure parking. We left the 11th for our first trip to Cabo San Lucas to arrive back home on the 18th to find our SUV broken into with many items stolen, inside damage and things strewn everywhere. We waited for a very long time for the police to arrive to make our report. I have not heard from the corporate office as told as of yet. I made a phone call today and left a message to see how they would like to proceed. I will update once I know if they will stand behind their respected name.",21-Nov-06,6,4,4,1,1,1,1,1,1,3.5,$245 
hotel_101,hotel_1202,"Comfortable but not spacious After staying two nights in the Redmond area for a conference, my wife and I booked this hotel for the last night before our flight home. The hotel lobby had a large fireplace and comforable couches. My wife commented that the pool area (which you pass on an elevated walkway as you make your way to the elevators) looked like something you'd see at Disney with lots of indoor trees/plants. Our room was clean, quiet and nice...but the bathroom felt a bit small. The breakfast buffet was well stocked with all sorts of hot and cold items and also had two cooks on hand for made to order eggs (including a Salmon Scramble which was delicious). We stayed on the top floor (Conceige level, received an upgrade with Marriott points) so the room had an elevated ceiling and I was very impressed with the quality of the decor.",14-Nov-06,1,1,5,6,5,6,6,6,1,3.5,$245 
hotel_101,hotel_5764,Rooms Are Beautiful After Recent Renovation       Exercise room on 1st level,26-Aug-06,6,6,5,6,5,6,6,6,5,3.5,$245 
hotel_101,hotel_8038,"Hit or miss Stayed here on 2 separate occasions recently. One was great, the other was below average. Rooms have been renovated but found the one on our second stay to be noisy. Food is average hotel fare. Public areas can be dark. $14 a day parking in a lot far from the front desk was disappointing. Shuttle to/from the airport was on time and the drivers helpful. For the price, there has to be better options.",20-Jul-06,1,1,3,3,4,5,5,4,4,3.5,$245 
hotel_101,hotel_6887,"Great hotel July 2006 - We stayed at the Courtyard the night before our Princess cruise to Alaska and were very pleased with the hotel. When we arrived at the Sea-Tac airport, we called for the free hotel shuttle and it arrived about 15 minutes later (we were told 20 minutes so it was early). Driver was very friendly. It was only a 10 minute trip from the airport to the Courtyard. Check-in was fast. Only problem was I thought we could get a free shuttle to the cruise ship but it was too far. But the desk staff did arrange a Town Car service to pick us up next morning. We were guaranteed a non-smoking room and got one. No smell of smoke at all. Room was large with 2 queen beds with down quilts, an overstuffed chair, desk and chair, vanity mirror and bureau with t.v. on it. Very clean. Bathroom was 2-part with toilet and tub/shower in one large room, with the sink and mirror in a separate area outside. Made it convenient. Dinner at Charley's restaurant in the hotel was good and reasonably priced--Western burger with fries and Patty Melt with fries each under $8.95. Breakfast buffet was good too with bread, bagels, omelet bar, fruit, hot and cold cereal, yogurt. We were very pleased with the hotel--especially the cleanliness--and would definitely stay here again.",17-Jul-06,2,0,1,1,1,1,1,1,1,3.5,$245 
hotel_101,hotel_6283,"Pretty impressed Stayed one night here after dropping off our daughter at SeaTac. Yes, this property is a little bit older but we felt that it had been kept up very well. Our room was nicely appointed, the bedding was sooooo comfortable (loved the duvet). We had absolutely no complaints. The pool atrium area was awesome. Lots of real foliage and very bright. We enjoyed our swim in the warm water and time in the hot tub. Would definitely stay here again.",12-Jun-06,0,0,5,5,1,5,1,5,1,3.5,$245 
hotel_101,hotel_9521,Interesting Marriott Property       Another view of the double beds.,4-Aug-05,5,5,5,4,1,5,1,5,1,3.5,$245 
hotel_101,hotel_8148,"Kind of worn out!   showReview(3484581, 'full');",19-May-05,4,3,3,4,1,4,1,5,1,3.5,$245 
hotel_101,hotel_7721,"Below Average, old and tired   showReview(3258421, 'full');",8-Mar-05,3,3,3,3,1,3,1,4,1,3.5,$245 
hotel_102,hotel_1790,Great place I have stayed at the Del Sol many times and think its a steal as far as the price and the location go. The marina district in san francisco is probably the best locale in the city however there are only motels on lombard that are seedy you would never stay there. Along comes the del sol. it has a monopoly on travelers who want to stay in the marina at a safe nice hotel with no add ons and no frills. the continental breakfast is excellent too.,18-Oct-08,0,0,5,6,6,6,6,6,2,4,$192 
hotel_102,hotel_7506,"Great Stay, Great Rooms We stayed at HDS for 5 days from August 15. We have 3 children (5,8,10) and had a great set up. We had room 326 which had a room for the kids, and our room with small kitchen area and bathroom. Really clean and comfortable, very bright and cheery. The breakfast was basic but did the job. Missed a normal cup of tea though. Pool was good for the kids after a day sightseeing. Hotel was in a great area and we walked to Fisherman's Wharf one day. Only negative was hearing noise during the night from both the street and other rooms but I believe they are trying to recify that. Would definately stay there again.",5-Oct-08,0,0,5,5,5,6,5,4,1,4,$192 
hotel_102,hotel_7447,"Highly Recommend Hotel Del Sol My stay at Hotel Del Sol was fantastic. It is a clean, quaint, pleasant place very conveniently located to the Marina and the Bay. The staff is very helpful and the rooms are comfortable and spacious. The prices were fair and the breakfast was delicious, especially the coffee.I would definitely stay here again!",30-Sep-08,0,0,6,6,6,6,6,6,6,4,$192 
hotel_102,hotel_1230,"Best service EVER at a hotel! We only stayed for one night, but it was wonderful. I had to call the hotel a few times before we arrived and every time anyone who answered was so accomodating. Robin and Jorge who work the front desk are wonderful. They went above and beyond to do whatever it took to make our stay fabulous. The next morning we needed to check out, but weren't flying out until late that night. They helped us plan our entire day and even let us keep our bags behind the front desk while we went sightseeing. When we returned, they had called a car to take us to the airport. I plan to return to San Fran and will never stay anywhere else.",28-Sep-08,0,0,6,6,6,6,6,6,1,4,$192 
hotel_102,hotel_9970,Fun--and just fine       The pool,14-Sep-08,0,0,5,5,5,5,5,5,6,4,$192 
hotel_102,hotel_2637,"Great as Always! We stayed at the Hotel Del Sol August 20-24, 2008 for 4 nights. We Have been there before 3 years ago and as it was before, it was a nice experience.We booked the FAMILY SUITE, it comes with 1 queen bed in one room and a children's room with a twin trundle bed (it used to have bunk beds, not sure why they changed, safety perhaps?). This is a nice room for a family of 4-6 as the childen's room has enough room to throw a twin blow up mattress or two on the floor. The room also comes with a mini kitchenette. When I say MINI I mean mini, very small, but enough room to bring snacks, a few cold drinks in the 'fridge, small sink, etc.They offer a breakfast but it's very basic. Danish, bagels, toast, bananas, apples, coffee, juice, milk and THAT'S IT! If that's enough for you, it's great and saves a few bucks as SF is expensive!Also, on Friday night they offer a bbq although they don't advetise it much. Make sure to ask the front desk about it. We forgot all about it and by the time we got back from sightseeing, we missed it.The front desk staff are very knowlegable about the buses, local eateries, etc. Very helpful.The hotel is in a nice area, the Marina District, close to so much: Golden Gate Bridge, Fort Mason, Fisherman's Wharf and everything else is a bus or cable car ride away!!All in all we had a great stay at HDS, as we did before and we will stay again in the future.",28-Aug-08,0,0,5,6,6,4,6,6,1,4,$192 
hotel_102,hotel_1112,"Not convinced The hotel does the basics quite well but do not expect too much.The location is a plus, quite central, some nearby shops and reasonably priced cafes and about a 15-20 minute walk to Fisherman's Wharf.Breakfast can be a bit sparse and you grab and go, either sitting outside if there is room or take things back to your bedroom. Supplies are replenished but you'll probably need more if you're used to a good breakfast.Rooms can be bit noisy with other guests walking around.There are additional support structures holding up the top 2 floors which are a bit concerning when you arrive.Car parking can be tight and we usually finished up in the overflow area in the next street.Overall adequate, but would probably not stay here again.",14-Aug-08,1,0,3,4,5,4,3,4,2,4,$192 
hotel_102,hotel_10343,"Value? Our family stayed here for three days and have mixed feelings about the hotel. We loved the location, it was off the beaten path, but close to Union street which had lots to look at and eat. The marina district was fun to get to know and we enjoyed our time away from the hotel. The hotel recently (I guess) has had some issues with structural support or something, because there were exposed support pillars with yellow tape put all over them holding up the second floor. We didn't notice any sagging or dangerous looking cracks, but it wasn't what we expected when arriving. The walls and ceiling were thin in our room and we joked about the dinosaurs wrestling upstairs each night. The pool was small, but the weather wasn't hot enough for that to be an issue. Parking was free, but if you couldn't find a parking space inside the courtyard you had to park next door where there are signs every 10 feet telling you to take everything out of your car which doesn't leave you with the most confident feeling about the neighborhood. Our room was small, but clean and functional. The bathroom was Parisian in size and didn't have space to place our daily toiletries . Breakfast was very basic (coffee, orange juice, rolls) and we ended up eating breakfast away from the hotel to fill up. The overall value of the hotel is questionable. We paid $177 a night thinking we would save money on parking and breakfast, but it didn't work out as well as planned. San Francisco is an expensive place, so I am not sure if there are better places out there for families looking to cut costs. Next time I go to SF I will probably not stay at the Hotel Del Sol.",26-Jul-08,1,1,4,4,5,5,4,4,5,4,$192 
