Season,Season type,Referee,Games,Total fouls,Shooting,Personal,Loose ball,Personal take,Offensive charge,Offensive,Kicked ball,Technical,Defensive goaltending,Shooting block,Defensive 3 seconds,Delay of game,Personal block,Flagrant 1,Away from play,Double technical,Clear path,Double personal,Inbound foul,Delay technical,Lane violation,Jump ball violation,Flagrant 2,Hanging technical,Unsportsmanlike technical,Taunting technical,Excess timeout technical,Double lane,Too many players technical
2016-17,Playoffs,Ed Malloy,11,173,77,52,11,0,7,6,2,2,3,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Eric Lewis,3,48,23,16,4,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,James Capers Jr.,11,171,72,61,10,1,4,6,0,1,3,4,0,2,2,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-17,Playoffs,James Williams,5,57,23,19,3,1,2,4,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,John Goble,10,143,60,48,9,3,2,8,2,2,2,1,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-17,Playoffs,Josh Tiven,3,42,25,9,2,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Kane Fitzgerald,6,94,36,32,8,2,4,3,0,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Ken Mauer,10,154,56,52,5,2,4,8,2,7,1,7,1,2,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-17,Playoffs,Leon Wood,1,13,6,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Leroy Richardson,2,32,15,8,3,0,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Marc Davis,11,185,76,53,7,3,4,6,5,8,4,4,1,6,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Mark Ayotte,1,12,5,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Mark Lindsay,2,26,12,10,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Matt Boland,1,12,2,4,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Michael Smith,1,16,9,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Mike Callahan,13,182,84,53,12,1,3,9,1,2,0,3,3,1,3,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Monty McCutchen,13,224,79,70,19,8,2,14,4,8,3,3,0,2,7,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-17,Playoffs,Pat Fraher,6,64,32,22,3,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Rodney Mott,5,73,27,18,6,3,4,5,0,1,2,1,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Ron Garretson,7,87,36,27,4,5,2,3,1,0,0,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Scott Foster,12,199,85,49,14,3,9,12,1,5,3,2,0,4,4,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Sean Corbin,6,98,45,32,4,0,2,3,1,1,2,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Sean Wright,8,95,52,26,6,0,0,1,0,1,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Tom Washington,5,68,33,26,0,2,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Tony Brothers,11,141,67,42,10,0,2,10,2,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Tony Brown,3,55,22,17,1,3,0,6,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Playoffs,Zach Zarba,11,165,73,56,11,4,4,3,0,1,2,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Regular Season,Aaron Smith,53,517,262,142,20,27,9,8,6,15,7,5,3,6,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2016-17,Regular Season,Ben Taylor,51,799,327,222,63,23,12,52,11,22,15,17,6,8,11,2,1,0,1,0,2,0,3,0,1,0,0,0,0,0,0
2016-17,Regular Season,Bennie Adams,59,953,367,302,65,29,26,54,7,20,5,29,10,16,8,3,2,2,1,1,2,0,2,0,0,1,0,1,0,0,0
2016-17,Regular Season,Bill Kennedy,65,860,391,239,43,16,24,52,10,10,16,11,16,11,8,4,1,2,1,1,1,0,2,0,0,0,1,0,0,0,0
2016-17,Regular Season,Bill Spooner,58,664,285,164,44,18,25,43,11,11,6,15,7,12,7,3,1,1,0,1,2,1,2,1,1,1,1,1,0,0,0
2016-17,Regular Season,Brent Barnaky,68,948,406,254,65,21,36,61,12,13,13,20,9,11,15,4,1,1,1,1,2,0,1,0,0,1,0,0,0,0,0
2016-17,Regular Season,Brett Nansel,40,558,321,135,25,9,16,13,10,3,3,9,1,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-17,Regular Season,Brian Forte,65,840,385,258,29,15,22,30,12,12,7,23,21,9,10,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
2016-17,Regular Season,C.J. Washington,44,612,284,164,46,13,12,30,10,12,3,13,6,1,9,2,0,0,1,1,3,0,1,0,1,0,0,0,0,0,0
2016-17,Regular Season,Courtney Kirkland,62,929,405,236,83,16,31,65,30,11,11,9,6,10,9,1,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0
2016-17,Regular Season,Curtis Blair,50,681,324,211,30,12,17,19,10,7,4,15,8,4,17,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2016-17,Regular Season,Dan Crawford,60,947,387,273,71,18,31,63,16,10,12,16,7,10,13,2,1,6,1,3,2,0,2,0,0,1,0,0,2,0,0
2016-17,Regular Season,David Guthrie,44,715,297,226,50,8,18,31,8,12,7,25,3,6,14,3,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0
2016-17,Regular Season,Dedric Taylor,55,754,363,197,46,22,15,29,16,7,10,14,6,8,14,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0
2016-17,Regular Season,Derek Richardson,47,622,294,149,22,22,14,38,7,2,9,20,14,11,11,1,1,1,1,2,0,1,2,0,0,0,0,0,0,0,0
2016-17,Regular Season,Derrick Collins,64,874,400,232,38,27,18,51,20,5,6,35,9,8,21,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
2016-17,Regular Season,Derrick Stafford,63,842,385,238,54,21,21,51,13,6,10,12,3,8,14,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
2016-17,Regular Season,Ed Malloy,58,728,294,199,37,29,29,45,9,21,13,20,4,10,6,3,0,2,0,0,0,1,1,0,1,1,1,0,2,0,0
2016-17,Regular Season,Eric Dalen,58,691,352,175,36,19,17,27,13,7,9,9,4,5,8,1,2,1,1,0,3,0,1,1,0,0,0,0,0,0,0
2016-17,Regular Season,Eric Lewis,67,976,392,333,54,14,30,34,29,9,7,26,14,5,15,3,2,1,1,2,3,0,2,0,0,0,0,0,0,0,0
2016-17,Regular Season,Gary Zielinski,59,872,349,283,47,19,15,55,25,7,9,17,21,4,12,0,0,3,1,2,0,0,3,0,0,0,0,0,0,0,0
2016-17,Regular Season,Gediminas Petraitis,51,599,303,145,30,24,19,20,9,4,3,20,2,3,10,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
2016-17,Regular Season,Haywoode Workman,52,746,311,219,46,15,22,36,14,6,9,22,7,12,17,3,1,2,1,0,1,0,2,0,0,0,0,0,0,0,0
2016-17,Regular Season,J.T. Orr,54,775,375,215,42,20,20,32,9,14,5,7,8,8,9,2,3,0,1,0,0,0,4,0,0,0,0,0,0,1,0
2016-17,Regular Season,Jacyn Goble,34,432,218,128,9,12,13,16,4,10,2,9,0,3,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Regular Season,James Capers Jr.,62,1085,425,353,95,12,32,51,20,24,8,15,14,10,12,1,1,8,1,0,0,0,1,0,1,1,0,0,0,0,0
2016-17,Regular Season,James Williams,69,1007,408,313,69,24,19,45,19,26,4,16,20,17,11,2,3,4,1,0,2,1,1,1,1,0,0,0,0,0,0
2016-17,Regular Season,Jason Goldenberg,4,51,29,10,4,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Regular Season,Jason Phillips,33,443,190,125,27,11,13,14,15,9,5,9,4,5,6,1,0,6,1,0,0,0,1,1,0,0,0,0,0,0,0
2016-17,Regular Season,John Goble,70,1102,450,360,59,19,15,79,13,21,17,17,7,17,12,2,1,3,2,1,0,4,1,1,0,1,0,0,0,0,0
2016-17,Regular Season,Josh Tiven,69,1035,476,285,51,31,17,56,14,14,14,34,12,8,14,0,0,1,0,0,0,0,5,1,0,0,0,1,0,1,0
2016-17,Regular Season,Justin Van Duyne,58,932,415,246,49,26,26,60,13,13,13,21,21,12,6,0,1,1,1,1,0,3,2,0,1,1,0,0,0,0,0
2016-17,Regular Season,Kane Fitzgerald,69,1041,390,327,62,19,22,67,16,31,6,32,14,15,20,1,2,1,3,1,3,2,3,0,2,0,0,0,0,2,0
2016-17,Regular Season,Karl Lane,67,985,442,306,49,27,29,44,15,5,9,21,11,4,17,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0
2016-17,Regular Season,Ken Mauer,63,938,440,256,45,18,21,33,11,23,7,38,5,8,18,2,0,7,2,1,1,1,0,0,0,0,0,1,0,0,0
2016-17,Regular Season,Kevin Cutler,57,774,352,233,46,27,21,32,12,7,5,17,6,1,10,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0
2016-17,Regular Season,Kevin Scott,64,809,372,225,68,14,20,36,9,8,6,17,2,11,17,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2016-17,Regular Season,Lauren Holtkamp-Sterling,44,577,296,154,15,16,14,25,9,5,4,16,2,5,10,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0
2016-17,Regular Season,Leon Wood,51,668,272,207,48,16,23,39,15,7,6,9,7,4,12,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-17,Regular Season,Leroy Richardson,57,798,396,201,32,22,19,31,26,11,11,15,12,8,9,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
2016-17,Regular Season,Marat Kogut,61,921,398,276,60,21,31,45,9,18,7,20,8,13,12,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2016-17,Regular Season,Marc Davis,65,846,377,220,41,31,16,26,17,24,14,18,11,23,9,1,0,4,2,0,3,2,2,0,2,0,0,3,0,0,0
2016-17,Regular Season,Mark Ayotte,55,782,376,245,56,17,14,25,5,7,4,8,6,4,11,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
2016-17,Regular Season,Mark Lindsay,64,823,426,248,36,17,22,26,11,1,3,6,12,5,4,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Regular Season,Matt Boland,64,843,305,306,65,23,26,36,9,6,7,22,11,4,17,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
2016-17,Regular Season,Michael Smith,59,834,408,238,29,22,33,32,10,7,6,14,9,7,10,1,0,2,0,0,1,2,1,1,0,0,1,0,0,0,0
2016-17,Regular Season,Mike Callahan,61,744,338,237,35,14,12,33,15,12,2,12,9,7,6,5,1,2,0,0,1,0,0,0,2,1,0,0,0,0,0
2016-17,Regular Season,Mitchell Ervin,45,750,371,227,37,21,19,20,3,6,7,11,5,7,10,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0
2016-17,Regular Season,Monty McCutchen,64,1009,370,336,67,15,18,52,18,24,13,26,27,16,12,2,1,5,0,2,2,1,0,0,1,1,0,0,0,0,0
2016-17,Regular Season,Nick Buchert,53,789,321,233,54,20,20,58,15,10,8,15,7,8,13,0,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0
2016-17,Regular Season,Pat Fraher,65,819,412,184,49,27,20,43,7,10,3,21,15,6,11,3,0,3,0,0,0,0,3,1,0,0,0,1,0,0,0
2016-17,Regular Season,Phenizee Ransom,4,31,16,5,2,0,1,2,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Regular Season,Rodney Mott,65,889,320,246,74,29,25,87,13,16,13,20,13,5,16,1,0,3,2,1,0,1,3,0,1,0,0,0,0,0,0
2016-17,Regular Season,Ron Garretson,56,758,335,243,41,22,20,16,19,7,12,16,12,0,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-17,Regular Season,Scott Foster,69,1161,504,299,98,16,33,82,11,19,15,35,9,6,17,5,0,2,0,1,0,2,4,1,1,0,0,0,0,0,1
2016-17,Regular Season,Scott Twardoski,49,651,316,154,44,17,14,24,18,8,1,23,5,3,21,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2016-17,Regular Season,Scott Wall,43,677,326,173,59,15,14,35,13,11,5,12,1,1,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Regular Season,Sean Corbin,61,982,410,316,33,21,14,51,9,11,12,40,22,9,22,3,0,1,2,1,3,0,0,0,0,1,1,0,0,0,0
2016-17,Regular Season,Sean Wright,61,975,414,321,82,22,24,26,12,8,8,17,3,9,20,1,0,2,4,0,0,1,1,0,0,0,0,0,0,0,0
2016-17,Regular Season,Steve Anderson,46,632,300,170,34,15,22,27,6,12,10,15,5,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Regular Season,Tom Washington,60,805,353,254,30,16,19,49,18,1,9,11,6,9,22,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1
2016-17,Regular Season,Tony Brothers,61,934,403,237,42,17,32,70,17,18,14,34,11,10,12,6,1,3,1,0,5,0,0,0,0,0,0,1,0,0,0
2016-17,Regular Season,Tony Brown,59,890,358,281,64,17,17,65,10,7,7,24,6,11,13,0,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0
2016-17,Regular Season,Tre Maddox,58,839,377,245,44,28,30,41,12,13,1,15,4,15,8,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
2016-17,Regular Season,Tyler Ford,58,889,429,247,50,19,20,40,17,12,7,20,4,8,10,1,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0
2016-17,Regular Season,Vladimir Voyard-Tadal,4,57,29,12,7,0,1,3,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-17,Regular Season,Zach Zarba,61,829,330,256,57,27,26,36,10,9,7,24,8,6,23,1,0,5,1,0,2,1,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Bennie Adams,3,43,20,17,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Bill Kennedy,7,101,42,37,6,0,5,0,2,1,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Bill Spooner,4,49,30,13,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Brent Barnaky,2,30,17,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Brian Forte,4,50,21,26,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Courtney Kirkland,4,42,14,18,0,0,5,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,David Guthrie,8,90,41,28,4,1,3,0,1,1,3,1,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Derrick Collins,2,22,11,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Derrick Stafford,14,208,90,73,14,4,13,1,6,0,1,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Ed Malloy,12,159,67,61,12,5,5,0,0,3,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Eric Lewis,9,132,50,53,10,2,3,0,4,3,1,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Gary Zielinski,2,29,17,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,James Capers Jr.,13,198,74,75,20,1,5,1,6,3,2,1,1,2,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,James Williams,6,79,35,25,4,4,0,0,2,2,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Jason Phillips,10,131,59,51,4,2,1,3,4,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,John Goble,11,133,51,45,7,4,4,0,5,1,1,8,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Josh Tiven,8,128,59,40,11,6,1,1,1,3,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Kane Fitzgerald,7,117,47,47,7,1,2,1,2,2,1,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Karl Lane,1,13,3,4,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Ken Mauer,12,175,74,58,11,6,5,0,2,5,4,2,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Kevin Cutler,1,13,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Kevin Scott,1,21,8,9,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Marc Davis,13,177,64,82,7,1,2,2,2,5,3,1,2,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2017-18,Playoffs,Mark Ayotte,4,47,27,17,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Mark Lindsay,2,18,6,9,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Mike Callahan,15,210,86,92,13,6,3,2,0,0,0,1,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Pat Fraher,7,72,34,21,5,2,2,0,0,1,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Rodney Mott,2,18,11,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Ron Garretson,4,47,17,22,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Scott Foster,13,222,70,92,14,4,10,2,7,3,2,4,1,2,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Sean Corbin,5,67,27,30,1,0,0,0,2,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Sean Wright,7,81,42,24,6,0,2,0,2,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Tom Washington,8,121,53,53,4,0,0,2,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Tony Brothers,9,134,50,56,9,4,1,0,2,3,1,3,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017-18,Playoffs,Tony Brown,4,68,37,21,4,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Playoffs,Zach Zarba,13,198,86,73,7,8,3,0,6,2,5,1,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,Aaron Smith,56,663,306,222,51,12,19,5,12,13,2,5,2,5,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,Ben Taylor,62,918,413,306,68,19,18,19,16,8,12,7,7,4,15,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2017-18,Regular Season,Bennie Adams,60,935,387,316,53,19,30,32,21,22,4,7,10,3,18,4,4,0,2,1,1,1,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,Bill Kennedy,61,765,313,255,47,17,23,26,16,16,14,7,10,4,9,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,Bill Spooner,44,536,246,156,34,13,29,11,5,6,9,11,1,2,8,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,Brandon Adair,6,52,27,16,2,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,Brent Barnaky,62,794,368,256,40,18,27,13,16,11,4,6,9,8,11,3,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0
2017-18,Regular Season,Brett Nansel,43,599,335,175,15,22,5,8,9,3,2,1,3,4,13,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2017-18,Regular Season,Brian Forte,62,847,363,279,46,18,21,13,17,30,6,22,7,9,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,C.J. Washington,41,574,271,184,32,15,16,10,6,12,4,9,7,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,Courtney Kirkland,60,853,336,302,68,22,34,32,18,9,9,2,4,4,5,1,1,1,1,2,0,0,0,1,0,1,0,0,0,0,0
2017-18,Regular Season,Curtis Blair,58,739,342,260,26,21,27,10,12,5,5,8,7,3,8,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,David Guthrie,62,957,378,341,49,21,34,12,18,35,10,14,12,8,15,3,2,1,0,2,0,0,0,1,0,0,0,1,0,0,0
2017-18,Regular Season,Dedric Taylor,61,792,381,245,39,26,35,16,16,7,5,5,4,5,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,Derek Richardson,55,725,308,238,33,29,29,10,10,3,10,19,16,4,9,0,0,1,0,3,1,0,0,2,0,0,0,0,0,0,0
2017-18,Regular Season,Derrick Collins,61,750,323,227,43,17,24,16,27,4,8,18,12,5,14,0,1,4,3,0,1,2,0,1,0,0,0,0,0,0,0
2017-18,Regular Season,Derrick Stafford,57,757,355,225,47,14,30,20,11,13,13,5,5,4,9,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0
2017-18,Regular Season,Ed Malloy,60,752,340,235,32,26,22,17,23,15,10,12,0,6,8,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0
2017-18,Regular Season,Eric Dalen,26,278,143,76,10,5,11,6,5,4,3,6,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,Eric Lewis,58,906,363,339,45,21,29,9,13,24,9,7,15,7,13,2,2,0,0,4,3,1,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,Gary Zielinski,60,797,342,290,37,18,24,8,26,5,7,3,17,9,4,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,Gediminas Petraitis,59,721,341,241,52,6,15,5,12,12,3,10,2,2,16,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0
2017-18,Regular Season,Haywoode Workman,56,734,332,238,35,15,26,21,14,6,4,9,11,6,10,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-18,Regular Season,J.B. DeRosa,37,425,195,124,23,13,11,11,14,7,4,8,0,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,J.T. Orr,60,854,361,278,58,30,22,15,28,10,6,9,9,5,14,1,1,1,1,4,0,0,1,0,0,0,0,0,0,0,0
2017-18,Regular Season,Jacyn Goble,50,593,287,183,28,10,14,14,9,21,7,6,0,2,7,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2017-18,Regular Season,James Capers Jr.,59,935,351,359,81,15,36,12,17,20,8,3,7,4,6,1,0,4,2,6,1,0,0,1,0,0,0,1,0,0,0
