Animal_Id,animal_type,animal_breed,Kennel_Number,Kennel_Status,Tag_Type,Activity_Number,Activity_Sequence,Source_Id,Census_Tract,Council_District,intake_type,Intake_Subtype,Reason,Staff_Id,intake_date,intake_time,Due_Out,intake_condition,Hold_Request,Outcome_Type,Outcome_Date,Outcome_Time,Receipt_Number,Impound_Number,Service_Request_Number,Outcome_Condition,chip_status,Animal_Origin,Additional_Information,animal_stay_days,Month,Year,,,,
A1061009,CAT,DOMESTIC SH,PSCAT 01,AVAILABLE,,,1,P0873437,20500,6,FOSTER,RETURN,OTHRINTAKS,AH,5/21/2019 0:00,15:19:00,5/21/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,EVERYDAY ADOPTION CENTER,OTHER,,0:00:00,,K19-462180,,,SCAN CHIP,OVER THE COUNTER,,1,FY2017,NEXT_FY,,,,
A1065932,CAT,DOMESTIC SH,AC 025,AVAILABLE,,,1,P0680315,20500,6,FOSTER,SURGERY,OTHER,BP,5/21/2019 0:00,10:48:00,5/21/2019 0:00,HEALTHY,ADOP RESCU,OTHER,,0:00:00,,K19-462091,,,UNABLE TO SCAN,OVER THE COUNTER,,1,FY2017,NEXT_FY,,,,
A1065934,CAT,DOMESTIC SH,AC 029,AVAILABLE,,,1,P0680315,20500,6,FOSTER,SURGERY,OTHER,BP,5/21/2019 0:00,10:51:00,5/21/2019 0:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-462093,,,UNABLE TO SCAN,OVER THE COUNTER,,1,FY2017,NEXT_FY,,,,
A1065933,CAT,DOMESTIC SH,PSCAT 01,AVAILABLE,,,1,P0680315,20500,6,FOSTER,SURGERY,OTHER,BP,5/21/2019 0:00,10:50:00,5/21/2019 0:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-462092,,,UNABLE TO SCAN,OVER THE COUNTER,,1,FY2017,NEXT_FY,,,,
A1061838,CAT,DOMESTIC MH,PSCAT 19,AVAILABLE,,,1,P0100881,20500,6,FOSTER,GENERAL,OTHRINTAKS,DF,5/22/2019 0:00,10:46:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,OTHER,,0:00:00,,K19-462321,,,SCAN CHIP,OVER THE COUNTER,,0,FY2017,NEXT_FY,,,,
A1067471,CAT,DOMESTIC SH,OFFICE,UNAVAILABLE,,,1,P0883560,20500,6,FOSTER,TREATMENT,OTHER,BP,5/22/2019 0:00,9:51:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,FOSTER,,0:00:00,,K19-462298,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN NO CHIP,OVER THE COUNTER,FOSTER,0,FY2017,NEXT_FY,,,,
A1067474,CAT,DOMESTIC SH,OFFICE,UNAVAILABLE,,,1,P0883560,20500,6,FOSTER,TREATMENT,OTHER,BP,5/22/2019 0:00,9:56:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,FOSTER,,0:00:00,,K19-462302,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN NO CHIP,OVER THE COUNTER,FOSTER,0,FY2017,NEXT_FY,,,,
A1067567,CAT,DOMESTIC SH,F3,UNAVAILABLE,,,1,P0097621,20500,6,FOSTER,TREATMENT,MEDICAL,BP,5/22/2019 0:00,10:05:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,FOSTER,,0:00:00,,K19-462310,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN NO CHIP,OVER THE COUNTER,FOSTER,0,FY2017,NEXT_FY,,,,
A1067566,CAT,DOMESTIC SH,F3,UNAVAILABLE,,,1,P0097621,6301,4,FOSTER,TREATMENT,OTHER,BP,5/22/2019 0:00,10:06:00,5/22/2019 0:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,RESC FOSTR,FOSTER,,0:00:00,,K19-462312,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN NO CHIP,OVER THE COUNTER,FOSTER,0,FY2017,NEXT_FY,,,,
A1067603,CAT,DOMESTIC SH,F1,AVAILABLE,,,1,P0045436,20500,6,FOSTER,TREATMENT,OTHER,BP,5/22/2019 0:00,10:02:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,FOSTER,,0:00:00,,K19-462308,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN NO CHIP,OVER THE COUNTER,,0,FY2017,NEXT_FY,,,,
A1067565,CAT,DOMESTIC SH,F3,UNAVAILABLE,,,1,P0097621,20500,6,FOSTER,TREATMENT,OTHER,BP,5/22/2019 0:00,10:04:00,5/22/2019 0:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,RESC FOSTR,FOSTER,,0:00:00,,K19-462309,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN NO CHIP,OVER THE COUNTER,FOSTER,0,FY2017,NEXT_FY,,,,
A1067387,CAT,DOMESTIC SH,N7,AVAILABLE,,,1,P0683645,20500,6,FOSTER,GENERAL,OTHRINTAKS,JGC,5/22/2019 0:00,8:21:00,5/22/2019 0:00,HEALTHY,RESC FOSTR,OTHER,,0:00:00,,K19-462279,,,SCAN CHIP,OVER THE COUNTER,,0,FY2017,NEXT_FY,,,,
A1067804,CAT,DOMESTIC SH,VT 06,UNAVAILABLE,,,1,P0710423,20500,6,FOSTER,TREATMENT,OTHER,BP,5/22/2019 0:00,8:38:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,FOSTER,,0:00:00,,K19-462284,,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,SCAN NO CHIP,OVER THE COUNTER,FOSTER,0,FY2017,NEXT_FY,,,,
A1067475,CAT,DOMESTIC SH,OFFICE,UNAVAILABLE,,,1,P0883560,20500,6,FOSTER,TREATMENT,OTHER,BP,5/22/2019 0:00,9:39:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,FOSTER,,0:00:00,,K19-462293,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN NO CHIP,OVER THE COUNTER,FOSTER,0,FY2017,NEXT_FY,,,,
A1061836,CAT,DOMESTIC MH,PSCAT 19,AVAILABLE,,,1,P0100881,20500,6,FOSTER,GENERAL,OTHRINTAKS,DF,5/22/2019 0:00,10:44:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,OTHER,,0:00:00,,K19-462319,,,SCAN CHIP,OVER THE COUNTER,,0,FY2017,NEXT_FY,,,,
A1064738,CAT,DOMESTIC SH,AC 021,AVAILABLE,,,1,P0791503,20500,6,FOSTER,SURGERY,OTHER,BP,5/22/2019 0:00,7:14:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,OTHER,,0:00:00,,K19-462271,,,SCAN NO CHIP,OVER THE COUNTER,AC21 - CC31,0,FY2017,NEXT_FY,,,,
A1061835,CAT,DOMESTIC MH,PSCAT 19,AVAILABLE,,,1,P0100881,20500,6,FOSTER,GENERAL,OTHRINTAKS,DF,5/22/2019 0:00,10:43:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,OTHER,,0:00:00,,K19-462318,,,SCAN CHIP,OVER THE COUNTER,,0,FY2017,NEXT_FY,,,,
A1067601,CAT,DOMESTIC SH,F1,AVAILABLE,,,1,P0045436,20500,6,FOSTER,TREATMENT,OTHER,BP,5/22/2019 0:00,10:01:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,FOSTER,,0:00:00,,K19-462307,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN NO CHIP,OVER THE COUNTER,,0,FY2017,NEXT_FY,,,,
A1061837,CAT,DOMESTIC MH,PSCAT 19,AVAILABLE,,,1,P0100881,20500,6,FOSTER,GENERAL,OTHRINTAKS,DF,5/22/2019 0:00,10:45:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,OTHER,,0:00:00,,K19-462320,,,SCAN CHIP,OVER THE COUNTER,,0,FY2017,NEXT_FY,,,,
A1067604,CAT,DOMESTIC SH,F1,AVAILABLE,,,1,P0045436,20500,6,FOSTER,TREATMENT,OTHER,BP,5/22/2019 0:00,9:59:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,FOSTER,,0:00:00,,K19-462306,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN NO CHIP,OVER THE COUNTER,,0,FY2017,NEXT_FY,,,,
A1060617,CAT,DOMESTIC SH,AK 05,AVAILABLE,,,1,P0875326,11602,8,OWNER SURRENDER,GENERAL,PERSNLISSU,AH,3/10/2019 0:00,12:23:00,3/10/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESCU ONLY,OTHER,,0:00:00,,K19-452743,,,UNABLE TO SCAN,OVER THE COUNTER,,73,FY2017,NEXT_FY,,,,
A1052075,CAT,DOMESTIC SH,LFC 008,AVAILABLE,,,1,P0881019,17102,8,OWNER SURRENDER,GENERAL,FINANCIAL,BW,4/23/2019 0:00,13:41:00,4/29/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-458041,,,SCAN NO CHIP,OVER THE COUNTER,,29,FY2017,NEXT_FY,,,,
A1065740,CAT,DOMESTIC SH,AK 06,AVAILABLE,,,1,P0881671,12100,7,OWNER SURRENDER,GENERAL,ALLERGIC,CBM,4/26/2019 0:00,14:40:00,4/27/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-458732,,,SCAN CHIP,OVER THE COUNTER,,26,FY2017,NEXT_FY,,,,
A1066034,CAT,DOMESTIC SH,PSCAT 12,AVAILABLE,,,1,P0517346,2500,2,OWNER SURRENDER,GENERAL,PERSNLISSU,BW,4/29/2019 0:00,14:34:00,4/29/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-459102,,,SCAN NO CHIP,OVER THE COUNTER,,23,FY2017,NEXT_FY,,,,
A1066403,CAT,DOMESTIC SH,AK 02,AVAILABLE,,,1,P0692676,4000,7,OWNER SURRENDER,GENERAL,OTHER,AH,5/2/2019 0:00,14:00:00,5/2/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-459553,,,SCAN NO CHIP,OVER THE COUNTER,,20,FY2017,NEXT_FY,,,,
A1066404,CAT,DOMESTIC SH,AC 059,AVAILABLE,,,1,P0692676,4000,7,OWNER SURRENDER,GENERAL,OTHER,AH,5/2/2019 0:00,14:00:00,5/2/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-459554,,,SCAN NO CHIP,OVER THE COUNTER,,20,FY2017,NEXT_FY,,,,
A1066500,CAT,DOMESTIC SH,PSCAT 03,AVAILABLE,,,1,P0692676,4000,7,OWNER SURRENDER,GENERAL,OTHER,DL,5/3/2019 0:00,12:10:00,5/3/2019 0:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-459667,,,UNABLE TO SCAN,OVER THE COUNTER,,19,FY2017,NEXT_FY,,,,
A1066843,CAT,DOMESTIC LH,PSCAT 18,AVAILABLE,,,1,P0882936,20300,7,OWNER SURRENDER,GENERAL,OTHER,IF,5/6/2019 0:00,12:37:00,5/6/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460074,,,SCAN CHIP,OVER THE COUNTER,,16,FY2017,NEXT_FY,,,,
A1066818,CAT,DOMESTIC SH,PSCAT 07,AVAILABLE,,,1,P0628194,6301,4,OWNER SURRENDER,GENERAL,FINANCIAL,IF,5/6/2019 0:00,11:59:00,5/6/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460047,,,SCAN NO CHIP,OVER THE COUNTER,AC5 - CC29,16,FY2017,NEXT_FY,,,,
A1066958,CAT,DOMESTIC SH,PSCAT 13,AVAILABLE,,,1,P0692676,4000,7,OWNER SURRENDER,GENERAL,HOUSING,BW,5/7/2019 0:00,12:03:00,5/7/2019 0:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460217,,,SCAN NO CHIP,OVER THE COUNTER,,15,FY2017,NEXT_FY,,,,
A1066960,CAT,DOMESTIC SH,QC 01,AVAILABLE,,,1,P0692676,4000,7,OWNER SURRENDER,GENERAL,HOUSING,BW,5/7/2019 0:00,12:03:00,5/7/2019 0:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,MEDICAL,OTHER,,0:00:00,,K19-460220,,,SCAN NO CHIP,OVER THE COUNTER,,15,FY2017,NEXT_FY,,,,
A1066977,CAT,DOMESTIC MH,PSCAT 15,AVAILABLE,,,1,P0883073,5200,1,OWNER SURRENDER,GENERAL,PERSNLISSU,BW,5/7/2019 0:00,13:52:00,5/7/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460245,,,SCAN NO CHIP,OVER THE COUNTER,,15,FY2017,NEXT_FY,,,,
A1067167,CAT,DOMESTIC SH,PSCAT 05,AVAILABLE,,,1,P0692676,4000,7,OWNER SURRENDER,GENERAL,FINANCIAL,AH,5/9/2019 0:00,12:33:00,5/9/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460473,,,SCAN NO CHIP,OVER THE COUNTER,,13,FY2017,NEXT_FY,,,,
A1067383,CAT,DOMESTIC SH,PSCAT 20,AVAILABLE,,,1,P0883562,9101,5,OWNER SURRENDER,GENERAL,HOUSING,IF,5/11/2019 0:00,14:02:00,5/12/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460758,,,SCAN CHIP,OVER THE COUNTER,,11,FY2017,NEXT_FY,,,,
A1067503,CAT,DOMESTIC SH,FREEZER,UNAVAILABLE,,A19-172589,1,P0883742,8701,4,OWNER SURRENDER,#NAME?,OTHER,MM1701,5/12/2019 0:00,20:54:00,5/12/2019 0:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,CRUELTY,OTHER,,0:00:00,,K19-460923,,,SCAN NO CHIP,FIELD,,10,FY2017,NEXT_FY,,,,
A1067557,CAT,DOMESTIC SH,PSCAT 16,AVAILABLE,,,1,P0653190,1204,2,OWNER SURRENDER,EUTHANASIA REQUESTED,MEDICAL,BW,5/13/2019 0:00,11:48:00,5/13/2019 0:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460987,,,SCAN NO CHIP,OVER THE COUNTER,,9,FY2017,NEXT_FY,,,,
A1067712,CAT,DOMESTIC LH,LFC 005,IMPOUNDED,,A19-173019,1,P0883932,19016,10,OWNER SURRENDER,GENERAL,HOUSING,VD1770,5/14/2019 0:00,15:51:00,5/24/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,HOLD NOTIFY,OTHER,,0:00:00,,K19-461182,,,SCAN NO CHIP,FIELD,,8,FY2017,NEXT_FY,,,,
A1067795,CAT,DOMESTIC SH,PSCAT 14,AVAILABLE,,,1,P0884007,9304,8,OWNER SURRENDER,GENERAL,OTHRINTAKS,AH,5/15/2019 0:00,12:43:00,5/15/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-461290,,,SCAN NO CHIP,OVER THE COUNTER,,7,FY2017,NEXT_FY,,,,
A1067805,CAT,DOMESTIC SH,AC 037,AVAILABLE,,,1,P0884018,13621,11,OWNER SURRENDER,GENERAL,HOUSING,AH,5/15/2019 0:00,13:35:00,5/15/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-461302,,,SCAN CHIP,OVER THE COUNTER,,7,FY2017,NEXT_FY,,,,
A1067788,CAT,DOMESTIC MH,PSCAT 11,AVAILABLE,,,1,P0655719,16510,3,OWNER SURRENDER,GENERAL,PERSNLISSU,AH,5/15/2019 0:00,12:29:00,5/15/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-461282,,,SCAN NO CHIP,OVER THE COUNTER,,7,FY2017,NEXT_FY,,,,
A1067806,CAT,DOMESTIC SH,AK 03,AVAILABLE,,,1,P0884018,13621,11,OWNER SURRENDER,GENERAL,HOUSING,AH,5/15/2019 0:00,13:35:00,5/15/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESCU ONLY,OTHER,,0:00:00,,K19-461303,,,SCAN NO CHIP,OVER THE COUNTER,,7,FY2017,NEXT_FY,,,,
A1067943,CAT,DOMESTIC SH,PSCAT 01,AVAILABLE,,,1,P0789092,6402,1,OWNER SURRENDER,GENERAL,PERSNLISSU,CBM,5/16/2019 0:00,14:11:00,5/16/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-461463,,,SCAN NO CHIP,OVER THE COUNTER,,6,FY2017,NEXT_FY,,,,
A1067922,CAT,DOMESTIC SH,LFC 009,IMPOUNDED,,,1,P0884099,6301,4,OWNER SURRENDER,GENERAL,MEDICAL,CBM,5/16/2019 0:00,11:51:00,5/16/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,OTHER,,0:00:00,,K19-461437,,,SCAN NO CHIP,OVER THE COUNTER,,6,FY2017,NEXT_FY,,,,
A1067923,CAT,DOMESTIC SH,LFC 009,IMPOUNDED,,,1,P0884099,6301,4,OWNER SURRENDER,GENERAL,MEDICAL,CBM,5/16/2019 0:00,11:51:00,5/16/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,OTHER,,0:00:00,,K19-461438,,,SCAN NO CHIP,OVER THE COUNTER,,6,FY2017,NEXT_FY,,,,
A1055873,CAT,DOMESTIC SH,LFC 031,AVAILABLE,,,1,P0872745,20500,6,OWNER SURRENDER,GENERAL,BEHAVIOR,DL,5/18/2019 0:00,12:02:00,5/18/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-461685,,,SCAN CHIP,OVER THE COUNTER,,4,FY2017,NEXT_FY,,,,
A1068228,CAT,DOMESTIC SH,K15,IMPOUNDED,,,1,P0884469,8802,4,OWNER SURRENDER,GENERAL,FINANCIAL,IF,5/19/2019 0:00,12:03:00,5/19/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,OTHER,,0:00:00,,K19-461820,,,SCAN NO CHIP,OVER THE COUNTER,,3,FY2017,NEXT_FY,,,,
A1068227,CAT,DOMESTIC SH,K15,IMPOUNDED,,,1,P0884469,8802,4,OWNER SURRENDER,GENERAL,FINANCIAL,IF,5/19/2019 0:00,12:03:00,5/19/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,OTHER,,0:00:00,,K19-461818,,,SCAN NO CHIP,OVER THE COUNTER,,3,FY2017,NEXT_FY,,,,
A1068226,CAT,DOMESTIC SH,K15,IMPOUNDED,,,1,P0884469,8802,4,OWNER SURRENDER,GENERAL,FINANCIAL,IF,5/19/2019 0:00,12:03:00,5/19/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,OTHER,,0:00:00,,K19-461817,,,SCAN NO CHIP,OVER THE COUNTER,,3,FY2017,NEXT_FY,,,,
A1068323,CAT,DOMESTIC SH,AC 014,AVAILABLE,,,1,P0068791,5100,1,OWNER SURRENDER,GENERAL,OTHRINTAKS,IF,5/20/2019 0:00,11:56:00,5/20/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-461948,,,SCAN NO CHIP,OVER THE COUNTER,,2,FY2017,NEXT_FY,,,,
A1068328,CAT,DOMESTIC SH,PSCAT 01,AVAILABLE,,,1,P0803045,11602,8,OWNER SURRENDER,GENERAL,HOUSING,IF,5/20/2019 0:00,12:25:00,5/20/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-461954,,,SCAN NO CHIP,OVER THE COUNTER,,2,FY2017,NEXT_FY,,,,
A1068472,CAT,DOMESTIC SH,AC 017,AVAILABLE,,,1,P0068791,5100,1,OWNER SURRENDER,GENERAL,HOUSING,BW,5/21/2019 0:00,13:20:00,5/21/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-462137,,,SCAN NO CHIP,OVER THE COUNTER,,1,FY2017,NEXT_FY,,,,
A1068554,CAT,DOMESTIC SH,K1,IMPOUNDED,,A19-174250,1,P0884748,3901,7,OWNER SURRENDER,GENERAL,FINANCIAL,DT1757,5/21/2019 0:00,17:40:00,5/21/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,,OTHER,,0:00:00,,K19-462230,,,SCAN NO CHIP,FIELD,,1,FY2017,NEXT_FY,,,,
A1068553,CAT,DOMESTIC SH,LFC 042,AVAILABLE,,A19-174250,1,P0884748,3901,7,OWNER SURRENDER,GENERAL,FINANCIAL,DT1757,5/21/2019 0:00,17:40:00,5/21/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-462229,,,SCAN NO CHIP,FIELD,,1,FY2017,NEXT_FY,,,,
A1068552,CAT,DOMESTIC SH,LFC 039,IMPOUNDED,,A19-174250,1,P0884748,3901,7,OWNER SURRENDER,GENERAL,FINANCIAL,DT1757,5/21/2019 0:00,17:40:00,5/27/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,HOLD NOTIFY,OTHER,,0:00:00,,K19-462228,,,SCAN CHIP,FIELD,,1,FY2017,NEXT_FY,,,,
A1068556,CAT,DOMESTIC SH,LFC 019,IMPOUNDED,,,1,P0884785,10704,3,OWNER SURRENDER,GENERAL,NOTRIGHTFT,AH,5/21/2019 0:00,17:52:00,5/21/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,,OTHER,,0:00:00,,K19-462232,,,SCAN NO CHIP,OVER THE COUNTER,,1,FY2017,NEXT_FY,,,,
A1068496,CAT,DOMESTIC SH,AC 031,IMPOUNDED,,,1,P0884741,6800,1,OWNER SURRENDER,GENERAL,FINANCIAL,DL,5/21/2019 0:00,14:28:00,5/27/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,POSSIBLY OWNED,OTHER,,0:00:00,,K19-462166,,,SCAN CHIP,OVER THE COUNTER,,1,FY2017,NEXT_FY,,,,
