mission,company,location,date,time,rocket,price,successful
Pléiades-Néo 3 & SSMS n°2,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",4/29/2021,1:50:00,Vega,19420000,TRUE
SpaceX Crew-2,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",4/23/2021,9:49:00,Falcon 9 Block 5,1760000,TRUE
Soyuz MS-18,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",4/9/2021,7:42:00,Soyuz 2.1a,23060000,TRUE
Starlink V1 L23,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",4/7/2021,16:34:00,Falcon 9 Block 5,14370000,TRUE
10-Kilometer Test Flight,SpaceX,"Suborbital Pad B, Starbase, Texas, USA",3/30/2021,13:00:00,Starship Prototype,20670000,FALSE
Starlink V1 L22,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",3/24/2021,8:28:00,Falcon 9 Block 5,19600000,TRUE
They Go Up So Fast,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",3/22/2021,22:30:00,Electron/Photon,3640000,TRUE
Starlink V1 L21,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",3/14/2021,10:01:00,Falcon 9 Block 5,9930000,TRUE
Starlink V1 L20,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",3/11/2021,8:13:00,Falcon 9 Block 5,18970000,TRUE
Starlink V1 L17,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",3/4/2021,8:24:00,Falcon 9 Block 5,7230000,TRUE
10-Kilometer Test Flight,SpaceX,"Suborbital Pad A, Starbase, Texas, USA",3/3/2021,23:14:00,Starship Prototype,10450000,FALSE
Arktika-M n°1,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2/28/2021,6:55:00,Soyuz 2.1b/Fregat-M,20150000,TRUE
Amazônia 1 & Others,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2/28/2021,4:54:00,PSLV-DL,19340000,TRUE
CRS NG-15,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2/20/2021,17:36:00,Antares 230+,17810000,TRUE
Starlink V1 L19,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2/16/2021,3:59:00,Falcon 9 Block 5,1760000,TRUE
Progress MS-16,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2/15/2021,4:45:00,Soyuz 2.1a,11670000,TRUE
Starlink V1 L18,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2/4/2021,6:19:00,Falcon 9 Block 5,1640000,TRUE
10-Kilometer Test Flight,SpaceX,"Suborbital Pad B, Starbase, Texas, USA",2/2/2021,20:25:00,Starship Prototype,7750000,FALSE
Transporter 1,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",1/24/2021,15:00:00,Falcon 9 Block 5,8190000,TRUE
Starlink V1 L16,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",1/20/2021,13:02:00,Falcon 9 Block 5,2870000,TRUE
Another One Leaves The Crust,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",1/20/2021,7:26:00,Electron/Curie,20640000,TRUE
Türksat 5A,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",1/8/2021,2:15:00,Falcon 9 Block 5,6220000,TRUE
CSO-2,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",12/29/2020,16:42:00,Soyuz ST-A/Fregat-M,16200000,TRUE
NROL-108,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",12/19/2020,14:00:00,Falcon 9 Block 5,11360000,TRUE
CMS-01,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",12/17/2020,10:09:00,PSLV-XL,22970000,TRUE
Rocket 3.2,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",12/15/2020,20:55:00,Rocket 3,3750000,FALSE
The Owl’s Night Begins,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",12/15/2020,10:09:00,Electron/Curie,6050000,TRUE
SXM-7,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",12/13/2020,17:30:00,Falcon 9 Block 5,12090000,TRUE
12.5-Kilometer Test Flight,SpaceX,"Suborbital Pad A, Starbase, Texas, USA",12/9/2020,22:45:00,Starship Prototype,2600000,FALSE
CRS SpX-21,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",12/6/2020,16:17:00,Falcon 9 Block 5,22030000,TRUE
Falcon Eye 2,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",12/2/2020,1:33:00,Soyuz ST-A/Fregat-M,6810000,TRUE
Starlink V1 L15,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",11/25/2020,2:13:00,Falcon 9 Block 5,2220000,TRUE
Sentinel-6A Michael Freilich,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",11/21/2020,17:17:00,Falcon 9 Block 5,13840000,TRUE
Return To Sender,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",11/20/2020,2:20:00,Electron/Curie,6370000,TRUE
Taranis & Seosat,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",11/17/2020,1:52:00,Vega,6400000,FALSE
SpaceX Crew-1,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",11/16/2020,0:27:00,Falcon 9 Block 5,5980000,TRUE
EOS-01 & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",11/7/2020,9:41:00,PSLV-DL,12820000,TRUE
GPS III-4,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",11/5/2020,23:24:00,Falcon 9 Block 5,4540000,TRUE
In Focus,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",10/28/2020,21:21:00,Electron/Curie,20900000,TRUE
Starlink V1 L14,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",10/24/2020,15:31:00,Falcon 9 Block 5,1400000,TRUE
Starlink V1 L13,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",10/18/2020,12:25:00,Falcon 9 Block 5,9900000,TRUE
Soyuz MS-17,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",10/14/2020,5:45:00,Soyuz 2.1a,14470000,TRUE
Starlink V1 L12,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",10/6/2020,11:29:00,Falcon 9 Block 5,3210000,TRUE
CRS NG-14,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",10/3/2020,1:16:00,Antares 230+,8430000,TRUE
Rocket 3.1,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",9/12/2020,3:19:00,Rocket 3,4940000,FALSE
Starlink V1 L11,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",9/3/2020,12:46:00,Falcon 9 Block 5,3510000,TRUE
SSMS n°1 PoC,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",9/3/2020,1:51:00,Vega,1200000,TRUE
I Can’t Believe It’s Not Optical,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",8/31/2020,3:05:00,Electron/Photon,22300000,TRUE
SAOCOM 1B & Rideshares,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",8/30/2020,23:18:00,Falcon 9 Block 5,13510000,TRUE
Starlink V1 L10 & SkySat 19 to 21,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",8/18/2020,14:31:00,Falcon 9 Block 5,3810000,TRUE
"BSat 4b & Galaxy 30, MEV-2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",8/15/2020,22:04:00,Ariane 5 ECA,9170000,TRUE
Starlink V1 L9 & BlackSky,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",8/7/2020,5:12:00,Falcon 9 Block 5,24140000,TRUE
150 Meter Hop,SpaceX,"Pad A, Boca Chica, Texas, USA",8/4/2020,23:57:00,Starship Prototype,16110000,TRUE
Ekspress-80 & Ekspress-103,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",7/30/2020,21:25:00,Proton-M/Briz-M,6430000,TRUE
Progress MS-15,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",7/23/2020,14:26:00,Soyuz 2.1a,15570000,TRUE
ANASIS-II,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",7/20/2020,21:30:00,Falcon 9 Block 5,16260000,TRUE
NROL-129,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",7/15/2020,13:46:00,Minotaur IV,3100000,TRUE
Pics Or It Didn't Happen,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",7/4/2020,21:19:00,Electron/Curie,19030000,FALSE
GPS III SV03,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",6/30/2020,20:10:00,Falcon 9 Block 5,18810000,TRUE
Starlink V1 L8 & SkySat 16 to 18,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",6/13/2020,9:21:00,Falcon 9 Block 5,4590000,TRUE
Don't stop me now!,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",6/13/2020,5:12:00,Electron/Curie,12180000,TRUE
Starlink V1 L7,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",6/4/2020,1:25:00,Falcon 9 Block 5,17890000,TRUE
SpaceX Demo-2,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",5/30/2020,19:22:00,Falcon 9 Block 5,4080000,TRUE
Progress MS-14,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",4/25/2020,1:51:00,Soyuz 2.1a,13820000,TRUE
Starlink V1 L6,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",4/22/2020,19:30:00,Falcon 9 Block 5,4180000,TRUE
Soyuz MS-16,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",4/9/2020,8:05:00,Soyuz 2.1a,4850000,TRUE
OneWeb #3,Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",3/21/2020,17:06:00,Soyuz 2.1b/Fregat,7680000,TRUE
Starlink V1 L5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",3/18/2020,12:16:00,Falcon 9 Block 5,16280000,TRUE
CRS-20,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",3/7/2020,4:50:00,Falcon 9 Block 5,22300000,TRUE
JCSAT-17 & GEO-KOMPSAT 2B,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2/18/2020,22:18:00,Ariane 5 ECA,6050000,TRUE
Starlink V1 L4,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2/17/2020,15:05:00,Falcon 9 Block 5,8380000,TRUE
CRS NG-13,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2/15/2020,20:21:00,Antares 230+,22880000,TRUE
OneWeb #2,Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2/6/2020,21:42:00,Soyuz 2.1b/Fregat,3030000,TRUE
Birds of a Feather / NROL-151,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",1/31/2020,2:56:00,Electron/Curie,19740000,TRUE
Starlink V1 L3,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",1/29/2020,14:06:00,Falcon 9 Block 5,12200000,TRUE
Crew Dragon Inflight Abort Test,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",1/19/2020,15:30:00,Falcon 9 Block 5,14620000,TRUE
Eutelsat Konnect BB4A & GSAT-30,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",1/16/2020,21:05:00,Ariane 5 ECA,17850000,TRUE
Starlink V1 L2,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",1/7/2020,2:19:00,Falcon 9 Block 5,12050000,TRUE
Elektro-L n†­3,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",12/24/2019,12:03:00,Proton-M/DM-3,15470000,TRUE
"CSG-1, CHEOPS & Others",Arianespace,"ELS, Guiana Space Centre, French Guiana, France",12/18/2019,8:54:00,Soyuz ST-A/Fregat-M,6750000,TRUE
JCSAT-18 / Kacific-1,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",12/17/2019,0:10:00,Falcon 9 Block 5,15340000,TRUE
RISAT 2BR1,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",12/11/2019,9:55:00,PSLV-QL,18310000,TRUE
Progress MS-13 (74P),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",12/6/2019,9:34:00,Soyuz 2.1a,16490000,TRUE
Running Out Of Fingers,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",12/6/2019,8:18:00,Electron/Curie,22350000,TRUE
CRS-19,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",12/5/2019,17:29:00,Falcon 9 Block 5,24610000,TRUE
Cartosat-3 & Rideshares,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",11/27/2019,3:58:00,PSLV-XL,12610000,TRUE
Inmarsat 5 F5 & TIBA-1,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",11/26/2019,21:23:00,Ariane 5 ECA,17420000,TRUE
Starlink V1 L1,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",11/11/2019,14:56:00,Falcon 9 Block 5,9210000,TRUE
CRS NG-12,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",11/2/2019,13:59:00,Antares 230+,21070000,TRUE
As The Crow Flies,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",10/17/2019,1:22:00,Electron/Curie,3460000,TRUE
ICON,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",10/11/2019,1:59:00,Pegasus XL,18550000,TRUE
Eutelsat 5 West B & MEV-1,ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",10/9/2019,10:17:00,Proton-M/Briz-M,22140000,TRUE
